date,bdi_value,source
2026-07-27,1825.06,investing.com
2026-07-28,1890.5,investing.com
2026-07-29,1947.65,investing.com
2026-07-30,1875.25,investing.com
2026-07-31,1822.23,investing.com
2026-08-03,1853.14,investing.com
2026-08-04,1808.57,investing.com
2026-08-05,1730.83,investing.com
2026-08-06,1725.41,investing.com
2026-08-07,1724.13,investing.com
2026-08-10,1690.63,investing.com
2026-08-11,1648.73,investing.com
2026-08-12,1697.46,investing.com
2026-08-13,1757.85,investing.com
2026-08-14,1692.32,investing.com
2026-08-17,1766.94,investing.com
2026-08-18,1786.8,investing.com
2026-08-19,1819.44,investing.com
2026-08-20,1834.11,investing.com
2026-08-21,1798.89,investing.com
2026-08-24,1791.5,investing.com
2026-08-25,1829.27,investing.com
2026-08-26,1906.55,investing.com
2026-08-27,1942.93,investing.com
2026-08-28,1875.45,investing.com
