vessel_class,capacity_tonnes,draft_m,loa_m,beam_m,date,demand_index
Supramax/Ultramax,57000,12.8,190.0,32.0,2026-04-01,138.82
Supramax/Ultramax,57000,12.8,190.0,32.0,2026-05-01,126.05
Supramax/Ultramax,57000,12.8,190.0,32.0,2026-06-01,114.35
Supramax/Ultramax,57000,12.8,190.0,32.0,2026-07-01,116.63
Panamax/Kamsarmax,82000,14.2,229.0,36.3,2026-04-01,122.21
Panamax/Kamsarmax,82000,14.2,229.0,36.3,2026-05-01,105.25
Panamax/Kamsarmax,82000,14.2,229.0,36.3,2026-06-01,85.39
Panamax/Kamsarmax,82000,14.2,229.0,36.3,2026-07-01,97.03
Capesize,180000,18.2,295.0,47.0,2026-04-01,80.58
Capesize,180000,18.2,295.0,47.0,2026-05-01,128.38
Capesize,180000,18.2,295.0,47.0,2026-06-01,89.93
Capesize,180000,18.2,295.0,47.0,2026-07-01,80.9
