route,vessel_class,observed_at,note
SouthAfrica-Dhamra,Supramax/Ultramax,2026-08-09,Broker fixture/position report #1 — sample ShipOffer data.
Indonesia-Gangavaram,Supramax/Ultramax,2026-08-09,Broker fixture/position report #2 — sample ShipOffer data.
Australia-Paradip,Panamax/Kamsarmax,2026-08-27,Broker fixture/position report #3 — sample ShipOffer data.
Australia-Paradip,Supramax/Ultramax,2026-08-27,Broker fixture/position report #4 — sample ShipOffer data.
SouthAfrica-Dhamra,Capesize,2026-08-21,Broker fixture/position report #5 — sample ShipOffer data.
Indonesia-Gangavaram,Panamax/Kamsarmax,2026-08-18,Broker fixture/position report #6 — sample ShipOffer data.
Indonesia-Gangavaram,Supramax/Ultramax,2026-08-10,Broker fixture/position report #7 — sample ShipOffer data.
Australia-Paradip,Capesize,2026-08-23,Broker fixture/position report #8 — sample ShipOffer data.
Australia-Paradip,Capesize,2026-08-05,Broker fixture/position report #9 — sample ShipOffer data.
Indonesia-Gangavaram,Panamax/Kamsarmax,2026-08-27,Broker fixture/position report #10 — sample ShipOffer data.
