date,route,vessel_class,rate,tier,source
2026-07-27,C2,Capesize,12495.33,A,clarksons_nlp_extract
2026-07-27,C3,Capesize,21112.2,A,clarksons_nlp_extract
2026-07-27,C4,Capesize,21943.64,A,clarksons_nlp_extract
2026-07-27,C5,Capesize,8031.11,A,clarksons_nlp_extract
2026-07-27,C10,Capesize,9877.69,B,clarksons_nlp_extract
2026-07-28,C2,Capesize,29207.16,A,clarksons_nlp_extract
2026-07-28,C3,Capesize,18413.47,A,clarksons_nlp_extract
2026-07-28,C4,Capesize,17733.46,B,clarksons_nlp_extract
2026-07-28,C5,Capesize,29672.72,A,clarksons_nlp_extract
2026-07-28,C10,Capesize,26260.47,B,clarksons_nlp_extract
2026-07-29,C2,Capesize,25313.59,B,clarksons_nlp_extract
2026-07-29,C3,Capesize,15073.01,A,clarksons_nlp_extract
2026-07-29,C4,Capesize,9640.35,A,clarksons_nlp_extract
2026-07-29,C5,Capesize,23282.54,B,clarksons_nlp_extract
2026-07-29,C10,Capesize,17535.04,B,clarksons_nlp_extract
2026-07-30,C2,Capesize,19341.54,B,clarksons_nlp_extract
2026-07-30,C3,Capesize,20930.09,B,clarksons_nlp_extract
2026-07-30,C4,Capesize,14254.33,A,clarksons_nlp_extract
2026-07-30,C5,Capesize,12347.08,A,clarksons_nlp_extract
2026-07-30,C10,Capesize,21190.65,A,clarksons_nlp_extract
2026-07-31,C2,Capesize,23275.2,A,clarksons_nlp_extract
2026-07-31,C3,Capesize,17680.76,A,clarksons_nlp_extract
2026-07-31,C4,Capesize,31482.3,A,clarksons_nlp_extract
2026-07-31,C5,Capesize,12098.64,A,clarksons_nlp_extract
2026-07-31,C10,Capesize,18994.56,A,clarksons_nlp_extract
2026-08-03,C2,Capesize,28579.27,A,clarksons_nlp_extract
2026-08-03,C3,Capesize,13652.13,A,clarksons_nlp_extract
2026-08-03,C4,Capesize,27915.71,B,clarksons_nlp_extract
2026-08-03,C5,Capesize,29013.61,A,clarksons_nlp_extract
2026-08-03,C10,Capesize,11071.95,B,clarksons_nlp_extract
2026-08-04,C2,Capesize,18359.87,A,clarksons_nlp_extract
2026-08-04,C3,Capesize,23065.3,B,clarksons_nlp_extract
2026-08-04,C4,Capesize,25171.23,A,clarksons_nlp_extract
2026-08-04,C5,Capesize,14126.48,A,clarksons_nlp_extract
2026-08-04,C10,Capesize,18417.92,A,clarksons_nlp_extract
2026-08-05,C2,Capesize,24601.83,A,clarksons_nlp_extract
2026-08-05,C3,Capesize,19258.03,A,clarksons_nlp_extract
2026-08-05,C4,Capesize,17191.8,B,clarksons_nlp_extract
2026-08-05,C5,Capesize,30427.99,A,clarksons_nlp_extract
2026-08-05,C10,Capesize,31795.2,A,clarksons_nlp_extract
2026-08-06,C2,Capesize,18091.38,A,clarksons_nlp_extract
2026-08-06,C3,Capesize,10788.27,B,clarksons_nlp_extract
2026-08-06,C4,Capesize,26492.6,A,clarksons_nlp_extract
2026-08-06,C5,Capesize,30927.01,B,clarksons_nlp_extract
2026-08-06,C10,Capesize,10230.31,A,clarksons_nlp_extract
2026-08-07,C2,Capesize,15477.81,A,clarksons_nlp_extract
2026-08-07,C3,Capesize,29678.6,A,clarksons_nlp_extract
2026-08-07,C4,Capesize,9342.31,B,clarksons_nlp_extract
2026-08-07,C5,Capesize,23889.2,A,clarksons_nlp_extract
2026-08-07,C10,Capesize,25003.77,B,clarksons_nlp_extract
2026-08-10,C2,Capesize,8474.88,A,clarksons_nlp_extract
2026-08-10,C3,Capesize,30430.98,A,clarksons_nlp_extract
2026-08-10,C4,Capesize,16340.21,A,clarksons_nlp_extract
2026-08-10,C5,Capesize,15701.94,A,clarksons_nlp_extract
2026-08-10,C10,Capesize,29486.01,B,clarksons_nlp_extract
2026-08-11,C2,Capesize,17439.68,A,clarksons_nlp_extract
2026-08-11,C3,Capesize,11809.77,B,clarksons_nlp_extract
2026-08-11,C4,Capesize,10471.63,B,clarksons_nlp_extract
2026-08-11,C5,Capesize,10376.77,B,clarksons_nlp_extract
2026-08-11,C10,Capesize,13496.78,B,clarksons_nlp_extract
2026-08-12,C2,Capesize,15395.36,B,clarksons_nlp_extract
2026-08-12,C3,Capesize,10885.1,A,clarksons_nlp_extract
2026-08-12,C4,Capesize,9984.24,A,clarksons_nlp_extract
2026-08-12,C5,Capesize,13454.17,A,clarksons_nlp_extract
2026-08-12,C10,Capesize,20237.35,A,clarksons_nlp_extract
2026-08-13,C2,Capesize,18342.43,A,clarksons_nlp_extract
2026-08-13,C3,Capesize,13064.71,A,clarksons_nlp_extract
2026-08-13,C4,Capesize,18067.48,A,clarksons_nlp_extract
2026-08-13,C5,Capesize,18475.19,B,clarksons_nlp_extract
2026-08-13,C10,Capesize,8858.41,B,clarksons_nlp_extract
2026-08-14,C2,Capesize,15777.82,A,clarksons_nlp_extract
2026-08-14,C3,Capesize,9612.06,A,clarksons_nlp_extract
2026-08-14,C4,Capesize,25365.2,A,clarksons_nlp_extract
2026-08-14,C5,Capesize,11316.12,B,clarksons_nlp_extract
2026-08-14,C10,Capesize,29331.86,A,clarksons_nlp_extract
2026-08-17,C2,Capesize,22872.3,A,clarksons_nlp_extract
2026-08-17,C3,Capesize,9682.11,A,clarksons_nlp_extract
2026-08-17,C4,Capesize,23797.74,A,clarksons_nlp_extract
