date,target_date,days_until_target,lag_1,lag_2,lag_3,lag_4,mean_4,std_4,target_5tc
2019-08-19,2019-08-27,8.0,32765.0,15007.0,12243.0,5737.0,16438.0,11557.510054794098,30437.0
2019-08-27,2019-09-02,6.0,29624.0,32765.0,15007.0,12243.0,22409.75,10286.562735757105,34583.0
2020-01-13,2020-01-20,7.0,23704.0,23675.0,34583.0,30437.0,28099.75,5366.448196898952,8352.0
2020-02-17,2020-02-24,7.0,8352.0,9438.0,23704.0,23675.0,16292.25,8553.115392455937,2787.0
2020-03-09,2020-03-16,7.0,2787.0,2445.0,8352.0,9438.0,5755.5,3654.8607360609553,2797.0
2020-03-16,2020-03-23,7.0,2542.0,2787.0,2445.0,8352.0,4031.5,2883.9263166731616,4067.0
2020-03-23,2020-03-30,7.0,2797.0,2542.0,2787.0,2445.0,2642.75,176.87731152796934,3675.0
2020-03-30,2020-04-06,7.0,4067.0,2797.0,2542.0,2787.0,3048.25,689.3278731247531,5949.0
2021-01-11,2021-01-18,7.0,12712.0,19952.0,15761.0,9875.0,14575.0,4315.842675538583,23989.0
2021-02-15,2021-02-22,7.0,15675.0,23989.0,16633.0,12712.0,17252.25,4791.271882287629,14224.0
2021-06-07,2021-06-14,7.0,34542.0,19437.0,14794.0,14224.0,20749.25,9486.93562660427,27752.0
2021-07-19,2021-07-26,7.0,29106.0,27752.0,20933.0,34542.0,28083.25,5597.537278422841,4000.0
2021-07-26,2021-08-02,7.0,28572.0,29106.0,27752.0,20933.0,26590.75,3812.718660396198,35713.0
2022-01-10,2022-01-17,7.0,40035.0,29938.0,27199.0,83865.0,45259.25,26322.42423454445,12407.0
2022-02-07,2022-02-14,7.0,12407.0,19176.0,40035.0,29938.0,25389.0,12142.657726653852,15397.0
2022-02-14,2022-02-21,7.0,10302.0,12407.0,19176.0,40035.0,20480.0,13575.264932958024,13888.0
2022-02-21,2022-02-28,7.0,15397.0,10302.0,12407.0,19176.0,14320.5,3853.3343569779295,14026.0
2026-02-09,2026-02-16,7.0,17965.0,24209.0,24776.0,37538.0,26122.0,8212.44969543192,28849.0
