report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category,capesize_5tc_usd_per_day,c5_usd_per_mt,validation_score,validation_status,validation_reason,validated_source,source_context,evidence_text,mentions_5tc,mentions_capesize,mentions_bci,mentions_ultramax,mentions_supramax,has_direct_5tc_signal,promotion_candidate,extracted_source_value,value_matches_target,revalidation_status,target_value_present_in_evidence,has_5tc_semantic,has_capesize_semantic,has_bci_semantic,has_wrong_segment_semantic,corrected_validation_status,corrected_target_tier,target_date,target_next_5tc,days_to_target,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4
2019-06-10,15007.0,GOOD_EXPLICIT,"The Cape 5TC opened the week at $12,987 and closed out Friday at $15,007.",https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,12987.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-06-17,14203.0,7.0,12243.0,11621.0,5737.0,4881.0,8620.5,3848.113780369113
2019-06-17,14203.0,GOOD_EXPLICIT,"The 5TC average closed Friday at $14,203.",https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,,,,,,,,,,,,,,,,14203.0,True,REVALIDATED_5TC_ONLY,True,True,False,False,False,CORRECTED_REVALIDATED_5TC_ONLY,B_REVALIDATED,2019-06-24,17947.0,7.0,15007.0,12243.0,11621.0,5737.0,11152.0,3898.4395168665455
2019-06-24,17947.0,GOOD_EXPLICIT,"The C5TC market opened Monday at $14,203 and closed Friday at $17,947.",https://www.drycargomag.com/dry-bulk-week-25-the-baltic-briefing,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,,,,,,,,,,,,,,,,14203.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,False,False,False,CORRECTED_REVALIDATED_5TC_ONLY,B_REVALIDATED,2019-07-01,19360.0,7.0,14203.0,15007.0,12243.0,11621.0,13268.5,1598.0799938259245
2019-07-15,27389.0,REVIEW_NO_DIRECT_EVIDENCE,"The C5TC continued its rise, closing out on Friday at $27,389 surpassing highs of 2018 while still looking stable and supported.",https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing,,,,,,,27389.0,9.15,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing,,"The C5TC continued its rise, closing out on Friday at $27,389 surpassing highs of 2018 while still looking stable and supported.",True,False,False,False,False,False,POTENTIAL_TIER_B_REVIEW,27389.0,True,REVALIDATED_5TC_ONLY,True,True,False,False,False,CORRECTED_REVALIDATED_5TC_ONLY,B_REVALIDATED,2019-07-22,32765.0,7.0,19360.0,17947.0,14203.0,15007.0,16629.25,2429.8041587749412
2019-07-22,32765.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $26,705 to close Friday at $32,765, an increase of more than 22%.",https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,26705.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-07-29,27145.0,7.0,27389.0,19360.0,17947.0,14203.0,19724.75,5553.494057798208
2019-07-29,27145.0,GOOD_EXPLICIT,"The 5TC opened the week at $32,765 and closed on Friday at $27,145.",https://www.drycargomag.com/dry-bulk-week-30-the-baltic-briefing,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,,,,,,,,,,,,,,,,32765.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,False,False,False,CORRECTED_REVALIDATED_5TC_ONLY,B_REVALIDATED,2019-08-05,25749.0,7.0,32765.0,27389.0,19360.0,17947.0,24365.25,6974.84348092008
2019-08-05,25749.0,REVIEW_LEVEL,"Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,,,,,,,25749.0,,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,,"Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,25749.0,True,REVALIDATED_CLEAR,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-08-12,24022.0,7.0,27145.0,32765.0,27389.0,19360.0,26664.75,5517.47529068625
2019-08-12,24022.0,REVIEW_LEVEL,"The Cape 5TC was published at $24,022.",https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,,,,,,,24022.0,,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,,"The Cape 5TC was published at $24,022.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,24022.0,True,REVALIDATED_CLEAR,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-08-19,29624.0,7.0,25749.0,27145.0,32765.0,27389.0,28262.0,3087.7173877585783
2019-08-19,29624.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $24,022 to close at $29,624.",https://www.drycargomag.com/dry-bulk-week-33-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,24022.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-08-27,30437.0,8.0,24022.0,25749.0,27145.0,32765.0,27420.25,3785.203418135762
2019-08-27,30437.0,REVIEW_LEVEL,"The Capesize 5TC routes opened the week at $29,624, dropped down to $28,431, before closing the week out at $30,437.",https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing,,,,,,,29624.0,10.498,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing,,"The Capesize 5TC routes opened the week at $29,624, dropped down to $28,431, before closing the week out at $30,437.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,29624.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-09-02,34583.0,6.0,29624.0,24022.0,25749.0,27145.0,26635.0,2366.9238827361264
2019-09-02,34583.0,REVIEW_NO_DIRECT_EVIDENCE,"Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week.",https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing,,,,,,,34583.0,10.359,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing,,"Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,34583.0,True,REVALIDATED_CLEAR,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-09-09,37921.0,7.0,30437.0,29624.0,24022.0,25749.0,27458.0,3070.981059314215
