date,target_date,actual,naive,xgboost,naive_error,xgb_error,naive_abs_error,xgb_abs_error
2020-03-09,2020-03-16,2797.0,2542.0,7424.8662109375,255.0,-4627.8662109375,255.0,4627.8662109375
2020-03-16,2020-03-23,4067.0,2797.0,5268.50634765625,1270.0,-1201.50634765625,1270.0,1201.50634765625
2020-03-23,2020-03-30,3675.0,4067.0,4902.77490234375,-392.0,-1227.77490234375,392.0,1227.77490234375
2020-03-30,2020-04-06,5949.0,3675.0,4336.39208984375,2274.0,1612.60791015625,2274.0,1612.60791015625
2020-04-20,2020-04-27,8381.0,9875.0,5690.9794921875,-1494.0,2690.0205078125,1494.0,2690.0205078125
2020-06-08,2020-06-15,12410.0,7307.0,5569.6904296875,5103.0,6840.3095703125,5103.0,6840.3095703125
2021-01-11,2021-01-18,23989.0,16633.0,13807.4677734375,7356.0,10181.5322265625,7356.0,10181.5322265625
2021-02-15,2021-02-22,14224.0,10304.0,16538.189453125,3920.0,-2314.189453125,3920.0,2314.189453125
2021-02-22,2021-03-01,11934.0,14224.0,7569.9775390625,-2290.0,4364.0224609375,2290.0,4364.0224609375
2021-03-01,2021-03-08,14794.0,11934.0,17179.912109375,2860.0,-2385.912109375,2860.0,2385.912109375
2021-03-08,2021-03-15,16741.0,14794.0,11522.0859375,1947.0,5218.9140625,1947.0,5218.9140625
2021-03-15,2021-03-22,19437.0,16741.0,16479.8828125,2696.0,2957.1171875,2696.0,2957.1171875
2021-03-22,2021-03-29,19014.0,19437.0,18189.50390625,-423.0,824.49609375,423.0,824.49609375
2021-05-10,2021-05-17,34542.0,41514.0,24672.337890625,-6972.0,9869.662109375,6972.0,9869.662109375
2021-06-07,2021-06-14,27752.0,20933.0,27325.912109375,6819.0,426.087890625,6819.0,426.087890625
2021-07-19,2021-07-26,32469.0,28572.0,30577.421875,3897.0,1891.578125,3897.0,1891.578125
2021-07-26,2021-08-02,35713.0,32469.0,25855.69140625,3244.0,9857.30859375,3244.0,9857.30859375
2021-08-02,2021-08-09,36150.0,35713.0,33571.8515625,437.0,2578.1484375,437.0,2578.1484375
2021-08-09,2021-08-16,39526.0,36150.0,33057.50390625,3376.0,6468.49609375,3376.0,6468.49609375
2021-08-31,2021-09-06,46647.0,51099.0,34393.953125,-4452.0,12253.046875,4452.0,12253.046875
2021-11-01,2021-11-08,27199.0,36065.0,35929.78515625,-8866.0,-8730.78515625,8866.0,8730.78515625
2022-01-10,2022-01-17,12407.0,19176.0,31940.0859375,-6769.0,-19533.0859375,6769.0,19533.0859375
2022-01-17,2022-01-24,7390.0,12407.0,25969.078125,-5017.0,-18579.078125,5017.0,18579.078125
2022-01-24,2022-01-31,8918.0,7390.0,19077.36328125,1528.0,-10159.36328125,1528.0,10159.36328125
2022-01-31,2022-02-07,10302.0,8918.0,10573.8798828125,1384.0,-271.8798828125,1384.0,271.8798828125
2022-02-07,2022-02-14,15397.0,10302.0,8264.9619140625,5095.0,7132.0380859375,5095.0,7132.0380859375
2022-02-14,2022-02-21,13888.0,15397.0,11212.486328125,-1509.0,2675.513671875,1509.0,2675.513671875
2022-02-21,2022-02-28,14026.0,13888.0,16334.875,138.0,-2308.875,138.0,2308.875
2022-03-28,2022-04-04,15460.0,15648.0,24550.927734375,-188.0,-9090.927734375,188.0,9090.927734375
2022-05-03,2022-05-09,24002.0,17713.0,16658.294921875,6289.0,7343.705078125,6289.0,7343.705078125
2022-05-09,2022-05-16,32733.0,24002.0,17842.46875,8731.0,14890.53125,8731.0,14890.53125
2022-05-16,2022-05-23,37538.0,32733.0,23418.716796875,4805.0,14119.283203125,4805.0,14119.283203125
2022-06-13,2022-06-20,24776.0,19665.0,27075.71875,5111.0,-2299.71875,5111.0,2299.71875
2022-06-20,2022-06-27,19875.0,24776.0,16726.22265625,-4901.0,3148.77734375,4901.0,3148.77734375
2023-02-20,2023-02-27,5271.0,2246.0,20953.06640625,3025.0,-15682.06640625,3025.0,15682.06640625
2026-02-09,2026-02-16,28849.0,26468.0,23243.0234375,2381.0,5605.9765625,2381.0,5605.9765625
2026-06-08,2026-06-15,37251.0,44374.0,34004.34765625,-7123.0,3246.65234375,7123.0,3246.65234375
2026-06-15,2026-06-22,37631.0,37251.0,27169.728515625,380.0,10461.271484375,380.0,10461.271484375
2026-06-22,2026-06-29,33014.0,37631.0,30008.51953125,-4617.0,3005.48046875,4617.0,3005.48046875
2026-06-29,2026-07-06,37181.0,33014.0,31338.916015625,4167.0,5842.083984375,4167.0,5842.083984375
2026-07-06,2026-07-13,21153.0,37181.0,28461.85546875,-16028.0,-7308.85546875,16028.0,7308.85546875
2026-07-13,2026-07-20,37156.0,21153.0,28909.080078125,16003.0,8246.919921875,16003.0,8246.919921875
2026-07-20,2026-07-27,38860.0,37156.0,16768.728515625,1704.0,22091.271484375,1704.0,22091.271484375
2026-08-10,2026-08-17,41155.0,46512.0,29007.857421875,-5357.0,12147.142578125,5357.0,12147.142578125
