report_date,target_date,actual,naive,xgboost,naive_abs_error,xgb_abs_error
2021-02-22,2021-03-01,11934.0,14224.0,6762.64306640625,2290.0,5171.35693359375
2021-03-01,2021-03-08,14794.0,11934.0,14880.8525390625,2860.0,86.8525390625
2021-03-22,2021-03-29,19014.0,19437.0,18073.69140625,423.0,940.30859375
2021-06-07,2021-06-14,27752.0,20933.0,15143.4697265625,6819.0,12608.5302734375
2021-07-19,2021-07-26,32469.0,28572.0,19439.134765625,3897.0,13029.865234375
2021-07-26,2021-08-02,35713.0,32469.0,25888.59375,3244.0,9824.40625
2022-01-10,2022-01-17,12407.0,19176.0,29468.083984375,6769.0,17061.083984375
2022-01-31,2022-02-07,10302.0,8918.0,11893.01171875,1384.0,1591.01171875
2022-02-07,2022-02-14,15397.0,10302.0,4469.1796875,5095.0,10927.8203125
2022-02-14,2022-02-21,13888.0,15397.0,6991.9365234375,1509.0,6896.0634765625
2022-02-21,2022-02-28,14026.0,13888.0,14474.796875,138.0,448.796875
2022-03-28,2022-04-04,15460.0,15648.0,25952.25,188.0,10492.25
2022-05-16,2022-05-23,37538.0,32733.0,18378.203125,4805.0,19159.796875
2026-06-08,2026-06-15,37251.0,44374.0,26968.302734375,7123.0,10282.697265625
2026-06-15,2026-06-22,37631.0,37251.0,25030.083984375,380.0,12600.916015625
2026-06-22,2026-06-29,33014.0,37631.0,28948.615234375,4617.0,4065.384765625
2026-06-29,2026-07-06,37181.0,33014.0,24925.6640625,4167.0,12255.3359375
2026-07-06,2026-07-13,21153.0,37181.0,26311.767578125,16028.0,5158.767578125
2026-07-13,2026-07-20,37156.0,21153.0,27461.30078125,16003.0,9694.69921875
