report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category,capesize_5tc_usd_per_day,c5_usd_per_mt,validation_score,validation_status,validation_reason,validated_source,source_context,evidence_text,mentions_5tc,mentions_capesize,mentions_bci,mentions_ultramax,mentions_supramax,has_direct_5tc_signal,promotion_candidate,extracted_source_value,value_matches_target,revalidation_status,target_tier
2019-05-27,12243.0,GOOD_EXPLICIT,"The Capesize 5TC closed on Friday at $12,243, a gain of $334 from the previous week.",https://www.drycargomag.com/dry-bulk-market-capesize-market-in-full-swing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,12243.0,True,REVALIDATED_CLEAR,A_REVALIDATED
2019-06-17,14203.0,GOOD_EXPLICIT,"The 5TC average closed Friday at $14,203.",https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,,,,,,,,,,,,,,,,14203.0,True,REVALIDATED_5TC_ONLY,B_REVALIDATED
2019-07-15,27389.0,REVIEW_NO_DIRECT_EVIDENCE,"The C5TC continued its rise, closing out on Friday at $27,389 surpassing highs of 2018 while still looking stable and supported.",https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing,,,,,,,27389.0,9.15,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing,,"The C5TC continued its rise, closing out on Friday at $27,389 surpassing highs of 2018 while still looking stable and supported.",True,False,False,False,False,False,POTENTIAL_TIER_B_REVIEW,27389.0,True,REVALIDATED_5TC_ONLY,B_REVALIDATED
2019-08-05,25749.0,REVIEW_LEVEL,"Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,,,,,,,25749.0,,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,,"Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,25749.0,True,REVALIDATED_CLEAR,A_REVALIDATED
2019-08-12,24022.0,REVIEW_LEVEL,"The Cape 5TC was published at $24,022.",https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,,,,,,,24022.0,,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,,"The Cape 5TC was published at $24,022.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,24022.0,True,REVALIDATED_CLEAR,A_REVALIDATED
2019-09-02,34583.0,REVIEW_NO_DIRECT_EVIDENCE,"Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week.",https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing,,,,,,,34583.0,10.359,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing,,"Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,34583.0,True,REVALIDATED_CLEAR,A_REVALIDATED
2019-12-02,23865.0,REVIEW_NO_DIRECT_EVIDENCE,"Opening the week at $18,930 on the Capesize 5TC, it has now lifted to $23,865.",https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing,,,,,,,23865.0,9.95,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing,,"Opening the week at $18,930 on the Capesize 5TC, it has now lifted to $23,865.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,23865.0,True,REVALIDATED_CLEAR,A_REVALIDATED
2020-01-06,10825.0,GOOD_EXPLICIT,"A Pacific round voyage at week’s end was assessed at $6,200 and the 5TC average at $10,825 which, on 24 December 2019, were at $11,525 and $14,337 respectively.",https://www.drycargomag.com/dry-bulk-week-1,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,,,,,,,,,,,,,,,,10825.0,True,REVALIDATED_5TC_ONLY,B_REVALIDATED
2020-01-27,4772.0,REVIEW_NO_DIRECT_EVIDENCE,"Dry Bulk: Week 4 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 4 27 January 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 4 Capesize The market endured heavy losses throughout the past week, with the Capesize 5TC dropping from $8,352 to $4,772.",https://www.drycargomag.com/dry-bulk-week-4,,,,,,,4772.0,6.832,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-4,,"Dry Bulk: Week 4 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 4 27 January 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 4 Capesize The market endured heavy losses throughout the past week, with the Capesize 5TC dropping from $8,352 to $4,772.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,4772.0,True,REVALIDATED_CLEAR,A_REVALIDATED
2020-03-02,2274.0,REVIEW_NO_DIRECT_EVIDENCE,"The Capesize 5TC, now $2,274, has remained below $3,000 for three weeks straight, whilst market conditions seemingly continue to deteriorate.",https://www.drycargomag.com/dry-bulk-week-9,,,,,,,2274.0,5.99,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-9,,"The Capesize 5TC, now $2,274, has remained below $3,000 for three weeks straight, whilst market conditions seemingly continue to deteriorate.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,2274.0,True,REVALIDATED_CLEAR,A_REVALIDATED
