route_id,assessment_date,origin,destination,vessel_class,cargo_type,mvp_core,is_east_coast_india,latest_observed_freight_rate,freight_rate_unit,source_name,origin_normalized,destination_normalized,origin_latitude,origin_longitude,destination_latitude,destination_longitude,geodesic_proxy_nm,distance_nm,distance_source,distance_quality,typical_dwt_min,typical_dwt_max,average_dwt_assumption,cargo_quantity_mt,typical_loa_m,typical_beam_m,typical_draft_m,speed_knots,bunker_mt_per_day,port_days,daily_opex_usd,other_voyage_cost_usd,cargo_utilization,physics_status,production_ready,assumption_flag,sea_route_duration_hours,distance_ratio_to_geodesic
0,2008-10-07,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,No,Yes,47.0,$/mt,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),"Hay Point, Queensland, Australia","Visakhapatnam, Andhra Pradesh, India",-21.298313,149.2693543,17.6935526,83.2921297,4530.993056611106,4926.710066752748,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,205.27958611469785,1.0873356028573598
1,2020-12-15,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,No,No,19.35,$/mt,The Shipping Tribune,"Richards Bay, South Africa","Navlakhi, Gujarat, India",-28.7707857,32.0577775,22.9582815,70.4496687,3817.684877617077,3938.9061722773463,SEAROUTE,SEAROUTE_CALCULATED,50000.0,65000.0,57500.0,54625.0,190.0,32.2,13.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,164.1210905115561,1.03175256694731
2,2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,coking coal,Yes,Yes,13.8,$/mt,The Shipping Tribune,"Hay Point, Queensland, Australia","Paradip, Odisha, India",-21.298313,149.2693543,20.286946,86.6739979,4440.633846627734,4899.001585207413,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,204.12506605030887,1.1032212414738425
3,2021-08-06,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,No,No,18.45,$/mt,The Shipping Tribune / Platts,"East Kalimantan, Indonesia","Navlakhi, Gujarat, India",0.7884397,116.2419977,22.9582815,70.4496687,2981.5417459719065,4102.581709223877,SEAROUTE,SEAROUTE_CALCULATED,50000.0,65000.0,57500.0,54625.0,190.0,32.2,13.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,170.94090455099484,1.375993381533734
4,2021-08-06,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,No,Yes,23.3,$/mt,The Shipping Tribune,"Hay Point, Queensland, Australia","Visakhapatnam, Andhra Pradesh, India",-21.298313,149.2693543,17.6935526,83.2921297,4530.993056611106,4926.710066752748,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,205.27958611469785,1.0873356028573598
5,2021-08-12,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,Yes,Yes,21.1,$/mt,The Shipping Tribune / Platts,"Hay Point, Queensland, Australia","Paradip, Odisha, India",-21.298313,149.2693543,20.286946,86.6739979,4440.633846627734,4899.001585207413,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,204.12506605030887,1.1032212414738425
6,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,No,Yes,11.8,$/mt,The Shipping Tribune / Platts,"Banjarmasin, South Kalimantan, Indonesia","Krishnapatnam, Andhra Pradesh, India",-3.3187496,114.5925828,14.2592415,80.0564758,2310.543051335614,2408.301246605427,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,100.34588527522612,1.0423096186038618
7,2021-08-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,Yes,Yes,16.05,$/mt,The Shipping Tribune / Platts,"East Kalimantan, Indonesia","Paradip, Odisha, India",0.7884397,116.2419977,20.286946,86.6739979,2093.2529621941667,2752.598463285374,SEAROUTE,SEAROUTE_CALCULATED,50000.0,65000.0,57500.0,54625.0,190.0,32.2,13.0,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,114.69160263689058,1.3149860590189133
8,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,No,No,13.1,$/mt,The Shipping Tribune / Platts,"Banjarmasin, South Kalimantan, Indonesia","Dahej, Gujarat, India",-3.3187496,114.5925828,21.709301,72.5893963,2887.960832388219,3443.2178891213243,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,143.46741204672185,1.1922661313498257
9,2021-08-12,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,No,Yes,18.6,$/mt,The Shipping Tribune / Platts,"Richards Bay, South Africa","Paradip, Odisha, India",-28.7707857,32.0577775,20.286946,86.6739979,4322.241130553623,4667.806005082153,SEAROUTE,SEAROUTE_CALCULATED,70000.0,85000.0,77500.0,73625.0,225.0,32.3,14.5,12.0,30.0,2.0,12000.0,25000.0,0.95,READY_FOR_DISTANCE_VALIDATION,False,SEAROUTE_DISTANCE_ONLY; OPERATING_ASSUMPTIONS_STILL_REQUIRE_VALIDATION,194.49191687842307,1.0799503924215972
