record_type,report_date,source_file,vessel_name,build_year,dwt,vessel_class,delivery_raw,delivery_start,delivery_end,prompt_flag,trip_via,redelivery,cargo_intention,rate_usd_per_day,raw_text,parse_status,parse_reason,report_age_days,latest_report_observation,current_availability_evidence
TONNAGE,08.06.2026,report_00000.html,Nord Eagle,2025,87359.0,Panamax,Bahudopi 6/8 Jun,2026-06-06,2026-06-08,False,via Gladstone,Go Gia,coal,21900.0,"'Nord Eagle' 2025 87359 dwt dely Bahudopi 6/8 Jun trip via Gladstone redel Go Gia intention coal $21,900 - Huadian",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,GW Delta,2010,83476.0,Panamax,Hong Kong 10 Jun,2026-06-10,2026-06-10,False,via Indonesia,Singapore-Japan,,18000.0,"'GW Delta' 2010 83476 dwt dely Hong Kong 10 Jun trip via Indonesia redel Singapore-Japan $18,000 - cnr",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Cotinga,2019,82061.0,Panamax,Rio Grande 15/20 Jun,2026-06-15,2026-06-20,False,via EC South America,Passero,,32000.0,"'Cotinga' 2019 82061 dwt dely Rio Grande 15/20 Jun trip via EC South America redel Passero $32,000 - Cofco",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Diamond Globe,2018,82027.0,Panamax,Phu My 11 Jun,2026-06-11,2026-06-11,False,via Indonesia,South Korea,,20500.0,"'Diamond Globe' 2018 82027 dwt dely Phu My 11 Jun trip via Indonesia redel South Korea $20,500 - Panocean",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Energy Cosmos,2020,81982.0,Panamax,Campha 6 Jun,2026-06-06,2026-06-06,False,via Australia,South Korea,,26000.0,"'Energy Cosmos' 2020 81982 dwt dely Campha 6 Jun trip via Australia redel South Korea $26,000 - cnr - <scrubber fitted>",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Alcor,2015,81118.0,Panamax,Guangzhou 10 Jun,2026-06-10,2026-06-10,False,via Australia,Japan,,22000.0,"'Alcor' 2015 81118 dwt dely Guangzhou 10 Jun trip via Australia redel Japan $22,000 - cnr",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Graecia Nautica,2014,81001.0,Panamax,Nansha 30 Apr,2026-04-30,2026-04-30,False,via EC South America,Singapore-Japan,,18750.0,"'Graecia Nautica' 2014 81001 dwt dely Nansha 30 Apr trip via EC South America redel Singapore-Japan $18,750 - Refined Success",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Wan Ying B,2006,75356.0,Panamax,Hong Kong 8/10 Jun,2026-06-08,2026-06-10,False,via Indonesia,South China,,17800.0,"'Wan Ying B' 2006 75356 dwt dely Hong Kong 8/10 Jun trip via Indonesia redel South China $17,800 - cnr",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Sakizaya Brave,2013,74940.0,Panamax,Zhoushan 7 Jun,2026-06-07,2026-06-07,False,via NoPac,SE Asia,,18250.0,"'Sakizaya Brave' 2013 74940 dwt dely Zhoushan 7 Jun trip via NoPac redel SE Asia $18,250 - Cargill",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,Pearl Island,2018,63878.0,Supramax,US Gulf,,,True,redel E Mediterranean intention petcoke,E Mediterranean,petcoke,32500.0,"'Pearl Island' 2018 63878 dwt dely US Gulf prompt trip redel E Mediterranean intention petcoke $32,500 - cnr",PARSED,DELIVERY_DATE_NOT_PARSEABLE,81,False,False
TONNAGE,08.06.2026,report_00000.html,Guo Giang 8,2018,63376.0,Supramax,Huanghua 4/6 Jun,2026-06-04,2026-06-06,False,redel West Africa,West Africa,,23000.0,"'Guo Giang 8' 2018 63376 dwt dely Huanghua 4/6 Jun trip redel West Africa $23,000 - Lynux - <recent>",PARSED,OK,81,False,False
TONNAGE,08.06.2026,report_00000.html,GR Istanbul,2010,57373.0,Supramax,Indonesia,,,True,via Philippines,China,nickel ore,21000.0,"'GR Istanbul' 2010 57373 dwt dely Indonesia prompt trip via Philippines redel China intention nickel ore $21,000 - Refined Success",PARSED,DELIVERY_DATE_NOT_PARSEABLE,81,False,False
TONNAGE,08.06.2026,report_00000.html,V Star,2013,56734.0,Supramax,Kandla,,,True,redel South Korea intention salt,South Korea,salt,12000.0,"'V Star' 2013 56734 dwt dely Kandla prompt trip redel South Korea intention salt $12,000 - Norden",PARSED,DELIVERY_DATE_NOT_PARSEABLE,81,False,False
TONNAGE,08.06.2026,report_00000.html,Viet Thuan 56-05,2004,56024.0,Supramax,Chittagong,,,True,via Indonesia,China,,17000.0,"'Viet Thuan 56-05 ' 2004 56024 dwt dely Chittagong prompt trip via Indonesia redel China $17,000 - Fullinks",PARSED,DELIVERY_DATE_NOT_PARSEABLE,81,False,False
TONNAGE,08.06.2026,report_00000.html,Ocean Spring,2010,33633.0,Handysize,Sakata 11/12 Jun,2026-06-11,2026-06-12,False,redel SE Asia intention steels,SE Asia,steels,14000.0,"'Ocean Spring' 2010 33633 dwt dely Sakata 11/12 Jun trip redel SE Asia intention steels $14,000 - Panocean",PARSED,OK,81,False,False
TONNAGE,10.06.2026,report_00001.html,Xing Huan Hai,2022,84998.0,Panamax,Phu My 16/18 Jun,2026-06-16,2026-06-18,False,via WC Australia,China,iron ore,27250.0,"'Xing Huan Hai' 2022 84998 dwt dely Phu My 16/18 Jun trip via WC Australia redel China intention iron ore $27,250 - Cosco",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Ionic Pride,2017,84992.0,Panamax,Nagoya 11/12 Jun,2026-06-11,2026-06-12,False,via EC Australia,Japan,coal,23750.0,"'Ionic Pride' 2017 84992 dwt dely Nagoya 11/12 Jun trip via EC Australia redel Japan intention coal $23,750 - Jera - <recent>",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,One Ocean,2009,82654.0,Panamax,Paradip,,,False,via EC South America opt NC South America,Singapore-Japan,,18500.0,"'One Ocean' 2009 82654 dwt dely Paradip trip via EC South America opt NC South America redel Singapore-Japan $18,500 - Cargill",PARSED,DELIVERY_DATE_NOT_PARSEABLE,79,False,False
TONNAGE,10.06.2026,report_00001.html,Shine Pearl,2024,82427.0,Panamax,Zhanjiang 11/12 Jun,2026-06-11,2026-06-12,False,via Australia,South China,coal,24500.0,"'Shine Pearl' 2024 82427 dwt dely Zhanjiang 11/12 Jun trip via Australia redel South China intention coal $24,500 - cnr",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,BH Assemble,2015,81841.0,Panamax,Mizushima 10/11 Jun,2026-06-10,2026-06-11,False,via Australia,China,coal,24250.0,"'BH Assemble' 2015 81841 dwt dely Mizushima 10/11 Jun trip via Australia redel China intention coal $24,250 - cnr - <scrubber benefit charterers'>",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Caravos Triumph,2012,81664.0,Panamax,EC South America 16/17 Jun,2026-06-16,2026-06-17,False,redel Singapore-Japan,Singapore-Japan,,20000.0,"'Caravos Triumph' 2012 81664 dwt dely EC South America 16/17 Jun trip redel Singapore-Japan $20,000+$1,000,000bb - comerge",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Darya Aum,2018,81109.0,Panamax,Cai Lan 12/17 Jun,2026-06-12,2026-06-17,False,via South China,India,limestone,22000.0,"'Darya Aum' 2018 81109 dwt dely Cai Lan 12/17 Jun trip via South China redel India intention limestone $22,000 - Adhart",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Flag Lama,2017,80891.0,Panamax,Jaigarh 22 May,2026-05-22,2026-05-22,False,via EC South America,Singapore-Japan,,21750.0,"'Flag Lama' 2017 80891 dwt dely Jaigarh 22 May trip via EC South America redel Singapore-Japan $21,750 - Cofco",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,New Bonanza,2006,76596.0,Panamax,Abidjan 23/27 Jun,2026-06-23,2026-06-27,False,via EC South America,Singapore-Japan,,27750.0,"'New Bonanza' 2006 76596 dwt dely Abidjan 23/27 Jun trip via EC South America redel Singapore-Japan $27,750 - cnr",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Great Mind,2011,75474.0,Panamax,Port Kelang 26 May,2026-05-26,2026-05-26,False,via EC South America,Singapore-Japan,,18600.0,"'Great Mind' 2011 75474 dwt dely Port Kelang 26 May trip via EC South America redel Singapore-Japan $18,600 - Reachy",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Dagher,2014,55757.0,Supramax,Hong Kong,,,True,via Vietnam,Yanbu,barites,26000.0,"'Dagher' 2014 55757 dwt dely Hong Kong prompt trip via Vietnam redel Yanbu intention barites $26,000 - Centurion",PARSED,DELIVERY_DATE_NOT_PARSEABLE,79,False,False
TONNAGE,10.06.2026,report_00001.html,Kang Yu,2004,52988.0,Supramax,Ningde 13 Jun,2026-06-13,2026-06-13,False,via Philippines,China,nickel ore,19500.0,"'Kang Yu' 2004 52988 dwt dely Ningde 13 Jun trip via Philippines redel China intention nickel ore $19,500 - cnr",PARSED,OK,79,False,False
TONNAGE,10.06.2026,report_00001.html,Bunun Wisdom,2012,38168.0,Handysize,Cape Henry,,,True,redel Nador intention coal,Nador,coal,22000.0,"'Bunun Wisdom' 2012 38168 dwt dely Cape Henry prompt trip redel Nador intention coal $22,000 - Novalevantina",PARSED,DELIVERY_DATE_NOT_PARSEABLE,79,False,False
TONNAGE,10.06.2026,report_00001.html,Crystal Confidence,2016,34874.0,Handysize,Richards Bay,,,True,redel US Gulf,US Gulf,,14850.0,"'Crystal Confidence' 2016 34874 dwt dely Richards Bay prompt trip redel US Gulf $14,850 - cnr",PARSED,DELIVERY_DATE_NOT_PARSEABLE,79,False,False
TONNAGE,10.06.2026,report_00001.html,Lian Yi da 1 Hao,2011,32906.0,Handysize,Jeddah,,,True,via Adabiya,Kakinada,,13000.0,"'Lian Yi da 1 Hao' 2011 32906 dwt dely Jeddah prompt trip via Adabiya redel Kakinada $13,000 - Bainbridge",PARSED,DELIVERY_DATE_NOT_PARSEABLE,79,False,False
TONNAGE,10.06.2026,report_00001.html,GR Athens,2012,32503.0,Handysize,Richards Bay,,,True,redel China,China,,14250.0,"'GR Athens' 2012 32503 dwt dely Richards Bay prompt trip redel China $14,250 - cnr",PARSED,DELIVERY_DATE_NOT_PARSEABLE,79,False,False
TONNAGE,10.06.2026,report_00001.html,Lucky River,2009,28343.0,Handysize,Gwangyang 8 Jun,2026-06-08,2026-06-08,False,via China and Oman,China,,14500.0,"'Lucky River' 2009 28343 dwt dely Gwangyang 8 Jun trip via China and Oman redel China $14,500 - cnr",PARSED,OK,79,False,False
