record_type,report_date,source_file,vessel_or_tbn,build_year,vessel_dwt,vessel_class,cargo_section,cargo_quantity_mt,origin_raw,destination_raw,laycan_raw,laycan_start,laycan_end,freight_rate,rate_unit,charterer,raw_text,parse_status,parse_reason,report_age_days,latest_report_observation,current_operational_evidence,laycan_after_planning_date
VOYAGE,08.06.2026,report_00000.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,20/29 Jun,2026-06-20,2026-06-29,13.05,$/mt,,'TBN' 170000/10 Dampier/Qingdao 20/29 Jun $13.05 fio 90000shinc/30000shinc - NYK,PARSED,OK,81,False,False,False
VOYAGE,08.06.2026,report_00000.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,22/24 Jun,2026-06-22,2026-06-24,13.15,$/mt,,'TBN' 170000/10 Dampier/Qingdao 22/24 Jun $13.15 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,81,False,False,False
VOYAGE,08.06.2026,report_00000.html,TBN,,,,ORE,75000.0,APCT-HPCT-DBCT,EC India,5/14 Jul,2026-07-05,2026-07-14,25.1,$/mt,,COAL 'TBN' 75000/10 APCT-HPCT-DBCT/EC India 5/14 Jul $25.10 fio 40000shinc/20000sshex - SAIL,PARSED,OK,81,False,False,False
VOYAGE,08.06.2026,report_00000.html,TBN,,,,ORE,59000.0,NoPac,Taiwan,1/15 Aug,2026-08-01,2026-08-15,47.95,$/mt,,GRAIN 'TBN' 59000/10 NoPac/Taiwan 1/15 Aug $47.95 fio 11 daps shex - cnr,PARSED,OK,81,False,False,False
VOYAGE,10.06.2026,report_00001.html,Oldendorff TBN,,,,ORE,180000.0,Ponta Da Madeira,Rotterdam,1/7 Jul,2026-07-01,2026-07-07,15.85,$/mt,,'Oldendorff TBN' 180000/10 Ponta Da Madeira/Rotterdam 1/7 Jul $15.85 fio 3 days shinc/40000shinc - Vale - <10/6 fixture>,PARSED,OK,79,False,False,False
VOYAGE,10.06.2026,report_00001.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,27/29 Jun,2026-06-27,2026-06-29,12.0,$/mt,,'TBN' 170000/10 Dampier/Qingdao 27/29 Jun $12.00 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,79,False,False,False
VOYAGE,10.06.2026,report_00001.html,TBN,,,,ORE,160000.0,Port Hedland,Qingdao,27/29 Jun,2026-06-27,2026-06-29,11.95,$/mt,,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jun $11.95 fio 80000shinc/30000shinc - BHP,PARSED,OK,79,False,False,False
VOYAGE,10.06.2026,report_00001.html,TBN,,,,ORE,160000.0,Port Hedland,Qingdao,27/29 Jun,2026-06-27,2026-06-29,11.9,$/mt,,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jun $11.90 fio 80000shinc/30000shinc - BHP,PARSED,OK,79,False,False,False
VOYAGE,10.06.2026,report_00001.html,TBN,,,,ORE,160000.0,Port Hedland,Qingdao,22/23 Jun,2026-06-22,2026-06-23,12.3,$/mt,,'TBN' 160000/10 Port Hedland/Qingdao 22/23 Jun $12.30 fio 80000shinc/30000shinc - FMG,PARSED,OK,79,False,False,False
VOYAGE,10.06.2026,report_00001.html,TBN,,,,ORE,75000.0,Nacala,EC India,5/14 Jul,2026-07-05,2026-07-14,21.35,$/mt,,COAL 'TBN' 75000/10 Nacala/EC India 5/14 Jul $21.35 fio 33000sshex/40000shinc - SAIL,PARSED,OK,79,False,False,False
VOYAGE,18.06.2026,report_00002.html,TBN,,,,ORE,180000.0,Itaguai,Qingdao,20/22 Jul,2026-07-20,2026-07-22,31.0,$/mt,,'TBN' 180000/10 Itaguai/Qingdao 20/22 Jul $31.00 fio 60000shinc/30000shinc - CSN - <17/6 fixture>,PARSED,OK,71,False,False,False
VOYAGE,18.06.2026,report_00002.html,TBN,,,,ORE,160000.0,Port Hedland,Qingdao,3/5 Jul,2026-07-03,2026-07-05,11.7,$/mt,,'TBN' 160000/10 Port Hedland/Qingdao 3/5 Jul $11.70 fio 80000shinc/30000shinc - BHP,PARSED,OK,71,False,False,False
VOYAGE,18.06.2026,report_00002.html,Pan Ocean TBN,,,,ORE,80000.0,Newcastle,Boryeong,7/16 Jul,2026-07-07,2026-07-16,16.98,$/mt,,COAL 'Pan Ocean TBN' 80000/10 Newcastle/Boryeong 7/16 Jul $16.98 fio 30000mtsatpmxshexuu/19000ltshinc - Kepco,PARSED,OK,71,False,False,False
VOYAGE,22.06.2026,report_00003.html,ES Broad Sea,,,,ORE,2009.0,185000/10 Nouadibou/Qingdao,,1/10 Jul,2026-07-01,2026-07-10,34.35,$/mt,,'ES Broad Sea' 2009 185000/10 Nouadibou/Qingdao 1/10 Jul $34.35 fio 30000shinc/30000shinc - Vitol - <19/6 fixture>,REVIEW,DESTINATION_NOT_PARSED,67,False,False,False
