route_id,assessment_date,origin,destination,vessel_class,cargo_type,freight_rate,freight_rate_unit,source_name,data_type,mvp_core,is_east_coast_india,origin_constraint_status,origin_constraint_result,destination_constraint_status,destination_constraint_result,route_feasibility_status,cargo_quantity_mt,distance_nm,distance_source,sea_days,port_days,total_voyage_days,fuel_consumption_mt,bunker_price_usd_per_mt,bunker_cost_usd,daily_opex_usd,opex_cost_usd,other_voyage_cost_usd,base_voyage_cost_usd,bunker_reference_date
0,2008-04-10,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,60.0,$/mt,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
1,2008-08-21,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,55.0,$/mt,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
2,2008-10-07,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,47.0,$/mt,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
3,2020-03-26,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,8.3,$/mt,S&P Global Platts,formal assessment,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
4,2020-04-09,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,9.9,$/mt,S&P Global Platts,formal assessment,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
5,2020-12-12,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,15.1,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
6,2020-12-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,8.8,$/mt,The Shipping Tribune,estimate,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
7,2020-12-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,11.6,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
8,2020-12-12,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,14.9,$/mt,The Shipping Tribune,estimate,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
9,2020-12-15,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,19.35,$/mt,The Shipping Tribune,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
10,2020-12-15,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,14.65,$/mt,The Shipping Tribune,estimate,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
11,2020-12-15,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,12.6,$/mt,The Shipping Tribune,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
12,2020-12-15,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,9.05,$/mt,The Shipping Tribune,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
13,2020-12-15,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,11.65,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
14,2020-12-15,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,8.5,$/mt,The Shipping Tribune,estimate,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
15,2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,coking coal,13.8,$/mt,The Shipping Tribune,reported fixture,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
16,2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,14.3,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
17,2021-08-05,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,20.7,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
18,2021-08-05,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,10.8,$/mt,The Shipping Tribune / Platts,estimate,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
19,2021-08-05,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,15.9,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
20,2021-08-05,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,11.95,$/mt,The Shipping Tribune / Platts,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
21,2021-08-05,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,18.5,$/mt,The Shipping Tribune / Platts,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
22,2021-08-05,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,18.45,$/mt,The Shipping Tribune / Platts,estimate,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
23,2021-08-06,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,18.45,$/mt,The Shipping Tribune / Platts,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
24,2021-08-06,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,12.3,$/mt,The Shipping Tribune / Platts,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
25,2021-08-06,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,15.9,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
