route_id,origin,destination,vessel_class,cargo_type,observed_route_freight_rate,cargo_quantity_mt,total_voyage_days,total_voyage_cost_usd,current_5tc,break_even_freight_rate_usd_per_mt,break_even_market_multiplier,break_even_5tc,bear_rate,bear_profit_usd,bear_decision,base_rate,base_profit_usd,base_decision,bull_rate,bull_profit_usd,bull_decision,overall_decision,base_profit_margin_pct,bear_profit_margin_pct,bull_profit_margin_pct,base_rate_above_break_even_pct
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,47.00000000000001,73625.0,19.10663217622482,541850.6263131252,41155.0,7.359601036511039,0.15658725609597954,6444.348524630038,36.09587900705407,2115708.4655812304,SAIL,47.0,2918524.3736868748,SAIL,67.20481298309544,4406103.729567276,SAIL,ROBUST_SAIL,538.6215742787217,390.4597250310454,813.1583716249253,538.6215742787228
23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,19.55,166250.0,16.460535121139962,465615.2471076028,41155.0,2.8006932156848285,0.1432579649966664,5895.781549437806,15.01434967208313,2030520.3858762176,SAIL,19.55,2784572.2528923973,SAIL,27.954342421691823,4181794.1804986633,SAIL,ROBUST_SAIL,598.0414666809402,436.0940494302508,898.1222600582602,598.0414666809415
19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,17.45,166250.0,15.676757542629671,443034.2231819321,41155.0,2.6648675078612456,0.1527144703645413,6284.964027852698,13.401555078150926,1784974.3085606592,SAIL,17.45,2458028.276818068,SAIL,24.9515741820216,3705164.984579159,SAIL,ROBUST_SAIL,554.8167947758458,402.897612681189,836.3157495978868,554.8167947758469
24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,44.35,73625.0,36.42167141299969,1040705.5642442276,41155.0,14.135219887867269,0.31871972689666894,13116.91036043241,34.06068582899677,1467012.4299156594,SAIL,44.35,2224563.1857557725,SAIL,63.415605442559205,3628268.3864641935,SAIL,ROBUST_SAIL,213.7552889295133,140.96325419197882,348.63543648861724,213.75528892951348
16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,13.999999999999998,166250.0,16.460535121139962,465615.2471076028,41155.0,2.8006932156848285,0.2000495154060592,8233.037806536366,10.75196395954802,1321898.7611672557,SAIL,14.0,1861884.752892397,SAIL,20.01845493113481,2862452.88519356,SAIL,ROBUST_SAIL,399.87624212445843,283.903667111177,614.7678588652502,399.87624212445934
11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,27.850000000000005,73625.0,19.10663217622482,541850.6263131252,41155.0,7.359601036511039,0.2642585650452796,10875.561244438482,21.388728305243745,1032894.4951604452,SAIL,27.85,1508605.6236868748,SAIL,39.82242641657889,2390075.518607496,SAIL,ROBUST_SAIL,278.41725199281717,190.62347536414086,441.09490744157813,278.41725199281774
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,23.300000000000004,73625.0,19.10663217622482,541850.6263131252,41155.0,7.359601036511039,0.3158627054296583,12999.329641957585,17.894340018390636,775620.1575408853,SAIL,23.3,1173611.8736868748,SAIL,33.31642856396007,1911071.4267084352,SAIL,ROBUST_SAIL,216.593248525409,143.14279985581626,352.6934055076757,216.5932485254094
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,21.099999999999998,73625.0,19.010422170859076,539078.7679535353,41155.0,7.321952705650734,0.34701197657112487,14281.277895784644,16.20474568189023,653995.632875633,SAIL,21.1,1014408.7320464648,SAIL,30.17067136049604,1682236.9109629856,SAIL,ROBUST_SAIL,188.17449180894053,121.31726785648537,312.05771975571093,188.1744918089409
13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,26.5,54625.0,15.631610646559755,441733.5185327099,41155.0,8.08665480151414,0.30515678496279774,12558.727485143942,20.35193178057304,669990.7549810924,SAIL,26.5,1005828.98146729,SAIL,37.89207540536232,1628121.1004852068,SAIL,ROBUST_SAIL,227.70039837780774,151.67306234912277,368.5754039886476,227.7003983778083
17,"Queensland, Australia","Haldia, India",Panamax,coking coal,20.3,73625.0,18.43177285723718,522407.5919034318,41155.0,7.095519075089057,0.3495329593639929,14385.02894262513,15.59034774134463,625431.7605530666,SAIL,20.3,972179.9080965682,SAIL,29.026759650145475,1614687.5873385286,SAIL,ROBUST_SAIL,186.09605280703423,119.72103205358428,309.08578136379845,186.09605280703457
10,Indonesia,"Paradip, India",Supramax,thermal coal,21.3,54625.0,10.95508327835536,307000.4267910571,41155.0,5.620145112879764,0.2638565780694725,10859.01747044914,16.35834516702663,586574.1779577726,SAIL,21.3,856512.0732089429,SAIL,30.456649288083675,1356694.0405705138,SAIL,ROBUST_SAIL,278.99377279754657,191.0662418580252,441.91926856631653,278.9937727975475
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,18.6,73625.0,18.20765973986859,515950.780935484,41155.0,7.007820454132211,0.37676454054474245,15505.744666118875,14.284752117685228,535764.0937290909,SAIL,18.6,853474.219064516,SAIL,26.595947265650533,1442175.8364980365,SAIL,ROBUST_SAIL,165.41775894147457,103.84015559733852,279.5181032351936,165.4177589414749
15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,19.5,73625.0,21.325952452360035,605790.3531287188,41155.0,8.228052334515706,0.4219514017700362,17365.40993984584,14.975949800799029,496813.9509551098,SAIL,19.5,829897.1468712812,SAIL,27.882847939794917,1447084.3264386817,SAIL,ROBUST_SAIL,136.99411728581003,82.01087197728049,238.8754325592903,136.99411728581026
20,East Coast Australia,East Coast India,Panamax,coal,17.699999999999996,73625.0,20.506163542591903,582171.8247438441,41155.0,7.907257381919784,0.44673770519320827,18385.490257226487,13.593554434571423,418653.620501477,SAIL,17.7,720990.6752561559,SAIL,25.30904659150615,1281206.730555796,SAIL,ROBUST_SAIL,123.84499637600821,71.91238096857127,220.0736408223681,123.84499637600841
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,19.35,54625.0,15.676757542629671,443034.2231819321,41155.0,8.110466328273358,0.4191455466807936,17249.93497364806,14.86075018694673,368734.25578003295,SAIL,19.35,613959.5268180679,SAIL,27.668364494104186,1068350.187308509,SAIL,ROBUST_SAIL,138.5806095087927,83.22929392039569,241.14394134960273,138.580609508793
