route_id,origin,destination,vessel_class,cargo_type,assessment_date,observed_route_freight_rate,freight_rate_unit,scenario,current_5tc,scenario_5tc,market_multiplier,scenario_route_freight_rate,distance_nm,distance_source,distance_quality,speed_knots,sea_days,port_days,total_voyage_days,average_dwt,cargo_quantity_mt,bunker_mt_per_day,fuel_consumption_mt,bunker_price_usd_per_mt,bunker_reference_date,bunker_cost_usd,daily_opex_usd,opex_cost_usd,other_voyage_cost_usd,total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,economics_status,distance_status,physical_assumptions,market_scaling_assumption,production_ready,mvp_core,contract_id,contract_volume_mt,contract_freight_usd_per_mt,kill_penalty_usd,kill_alternative_value_usd,sail_contract_revenue_usd,sail_voyage_cost_usd,sail_net_value_usd,kill_net_value_usd,incremental_sail_value_usd,decision
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,2008-10-07,47.0,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,36.09587900705407,4926.710066752748,SEAROUTE,SEAROUTE_CALCULATED,12.0,17.10663217622482,2.0,19.10663217622482,77500.0,73625.0,30.0,513.1989652867446,560.35,2026-08-14,287571.04019842733,12000.0,229279.58611469783,25000.0,541850.6263131252,2657559.091894356,2115708.4655812304,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_000,69943.75,47.0,100000.0,0.0,2524681.1372996382,541850.6263131252,1982830.510986513,-100000.0,2082830.510986513,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,2008-10-07,47.0,$/mt,base,41155.0,41155.0,1.0,47.0,4926.710066752748,SEAROUTE,SEAROUTE_CALCULATED,12.0,17.10663217622482,2.0,19.10663217622482,77500.0,73625.0,30.0,513.1989652867446,560.35,2026-08-14,287571.04019842733,12000.0,229279.58611469783,25000.0,541850.6263131252,3460375.0,2918524.3736868748,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_000,69943.75,47.0,100000.0,0.0,3287356.25,541850.6263131252,2745505.6236868748,-100000.0,2845505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,2008-10-07,47.0,$/mt,bull,41155.0,58847.10804934665,1.429889637938201,67.20481298309544,4926.710066752748,SEAROUTE,SEAROUTE_CALCULATED,12.0,17.10663217622482,2.0,19.10663217622482,77500.0,73625.0,30.0,513.1989652867446,560.35,2026-08-14,287571.04019842733,12000.0,229279.58611469783,25000.0,541850.6263131252,4947954.355880401,4406103.729567276,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_000,69943.75,47.0,100000.0,0.0,4700556.638086381,541850.6263131252,4158706.011773256,-100000.0,4258706.011773257,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,2020-12-15,19.35,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,14.86075018694673,3938.9061722773454,SEAROUTE,SEAROUTE_CALCULATED,12.0,13.676757542629671,2.0,15.676757542629671,57500.0,54625.0,30.0,410.3027262788901,560.35,2026-08-14,229913.1326703761,12000.0,188121.09051155605,25000.0,443034.2231819321,811768.4789619651,368734.25578003295,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_001,51893.75,19.35,100000.0,0.0,771180.0550138669,443034.2231819321,328145.83183193475,-100000.0,428145.83183193475,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,2020-12-15,19.35,$/mt,base,41155.0,41155.0,1.0,19.35,3938.9061722773454,SEAROUTE,SEAROUTE_CALCULATED,12.0,13.676757542629671,2.0,15.676757542629671,57500.0,54625.0,30.0,410.3027262788901,560.35,2026-08-14,229913.1326703761,12000.0,188121.09051155605,25000.0,443034.2231819321,1056993.75,613959.5268180679,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_001,51893.75,19.35,100000.0,0.0,1004144.0625000001,443034.2231819321,561109.839318068,-100000.0,661109.839318068,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,2020-12-15,19.35,$/mt,bull,41155.0,58847.10804934665,1.429889637938201,27.668364494104186,3938.9061722773454,SEAROUTE,SEAROUTE_CALCULATED,12.0,13.676757542629671,2.0,15.676757542629671,57500.0,54625.0,30.0,410.3027262788901,560.35,2026-08-14,229913.1326703761,12000.0,188121.09051155605,25000.0,443034.2231819321,1511384.4104904411,1068350.187308509,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_001,51893.75,19.35,100000.0,0.0,1435815.1899659191,443034.2231819321,992780.966783987,-100000.0,1092780.966783987,SAIL
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,2020-12-15,13.8,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,10.59836447441162,4899.001585207413,SEAROUTE,SEAROUTE_CALCULATED,12.0,17.010422170859073,2.0,19.010422170859076,77500.0,73625.0,30.0,510.3126651257722,560.35,2026-08-14,285953.70190322644,12000.0,228125.06605030887,25000.0,539078.7679535353,780304.5844285556,241225.81647502023,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,Yes,CONTRACT_002,69943.75,13.8,100000.0,0.0,741289.3552071278,539078.7679535353,202210.58725359244,-100000.0,302210.58725359244,SAIL
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,2020-12-15,13.8,$/mt,base,41155.0,41155.0,1.0,13.8,4899.001585207413,SEAROUTE,SEAROUTE_CALCULATED,12.0,17.010422170859073,2.0,19.010422170859076,77500.0,73625.0,30.0,510.3126651257722,560.35,2026-08-14,285953.70190322644,12000.0,228125.06605030887,25000.0,539078.7679535353,1016025.0,476946.2320464647,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,Yes,CONTRACT_002,69943.75,13.8,100000.0,0.0,965223.75,539078.7679535353,426144.9820464647,-100000.0,526144.9820464647,SAIL
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,2020-12-15,13.8,$/mt,bull,41155.0,58847.10804934665,1.429889637938201,19.73247700354717,4899.001585207413,SEAROUTE,SEAROUTE_CALCULATED,12.0,17.010422170859073,2.0,19.010422170859076,77500.0,73625.0,30.0,510.3126651257722,560.35,2026-08-14,285953.70190322644,12000.0,228125.06605030887,25000.0,539078.7679535353,1452803.6193861605,913724.8514326252,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,Yes,CONTRACT_002,69943.75,13.8,100000.0,0.0,1380163.4384168524,539078.7679535353,841084.6704633171,-100000.0,941084.6704633171,SAIL
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,2021-08-06,18.45,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,14.169552503832929,4102.581709223877,SEAROUTE,SEAROUTE_CALCULATED,12.0,14.245075379249572,2.0,16.24507537924957,57500.0,54625.0,30.0,427.3522613774872,560.35,2026-08-14,239466.83966287493,12000.0,194940.90455099483,25000.0,459407.7442138698,774011.8055218736,314604.06130800385,MVP_SCENARIO_ECONOMICS,SEAROUTE_ESTIMATE,True,True,False,No,CONTRACT_003,51893.75,18.45,100000.0,0.0,735311.2152457801,459407.7442138698,275903.4710319103,-100000.0,375903.4710319103,SAIL
