contract_id,route_id,origin,destination,vessel_class,cargo_type,decision,sail_binary,expected_value_usd,bear_value_usd,base_value_usd,bull_value_usd,robust_score_usd,worst_case_value_usd,best_case_value_usd,downside_ratio
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,SAIL,1,3008136.94253338,2082830.510986513,2845505.6236868748,4258706.011773257,2545483.7267599464,2082830.510986513,4258706.011773257,0.6923988338218418
CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,KILL,0,710786.6193130144,428145.8318319348,661109.839318068,1092780.966783987,569466.2255724747,428145.8318319348,1092780.966783987,0.602354940566754
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,KILL,0,573896.3054524597,302210.58725359244,526144.9820464647,941084.6704633172,438053.4463530261,302210.58725359244,941084.6704633172,0.5265944115380385
CONTRACT_003,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,KILL,0,645398.1753743349,375903.4710319103,598031.9432861302,1009625.3438931692,510650.8232031226,375903.4710319103,1009625.3438931692,0.5824365258142913
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,SAIL,1,1268462.3599448227,809746.6183481847,1187838.7486868748,1888425.324057357,1039104.4891465037,809746.6183481847,1888425.324057357,0.6383686610798669
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,SAIL,1,1109745.438486066,694341.9128341745,1036734.3570464648,1671171.1270171597,902043.6756601202,694341.9128341745,1671171.1270171597,0.6256767441922607
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,KILL,0,676249.1644427938,443938.1880118781,635418.3226898415,990221.824379614,560093.6762273359,443938.1880118781,990221.824379614,0.6564713294361968
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,KILL,0,649739.2570227156,415300.7743833705,608534.4860191554,966587.2816691812,532520.0157030431,415300.7743833705,966587.2816691812,0.6391806711609102
CONTRACT_008,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,KILL,0,668144.9569297567,410240.3983496727,622815.8021023266,1016707.8251647007,539192.6776397147,410240.3983496727,1016707.8251647007,0.6139990942007544
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,SAIL,1,949363.4484378137,583178.3499958622,885002.969064516,1444269.5056263604,766270.899216838,583178.3499958622,1444269.5056263604,0.6142835506838689
CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,thermal coal,SAIL,1,953019.415335163,641895.4477203311,898336.4482089429,1373509.3172024349,797457.4315277471,641895.4477203311,1373509.3172024349,0.6735386891300487
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,SAIL,1,1602450.5182054953,1054157.239086767,1506082.8111868748,2343479.2113614646,1328303.8786461311,1054157.239086767,2343479.2113614646,0.6578407427314918
CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,SAIL,1,1101483.6559435732,714404.5413054023,1033450.85646729,1624628.369534311,907944.0986244878,714404.5413054023,1624628.369534311,0.6485838781633269
CONTRACT_014,14,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,KILL,0,592555.1802981836,373453.7946539358,554046.0485191554,888674.8295004879,483004.4874760597,373453.7946539358,888674.8295004879,0.6302430677696678
CONTRACT_015,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,KILL,0,925587.4679884482,541683.7357509183,858112.7718712812,1444440.592460312,733635.6018696832,541683.7357509183,1444440.592460312,0.5852323572705057
CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,SAIL,1,1954898.011279202,1332523.060753513,1845509.752892397,2796049.4785785014,1643710.5360163576,1332523.060753513,2796049.4785785014,0.6816330330611807
CONTRACT_017,17,"Queensland, Australia","Haldia, India",Panamax,coking coal,SAIL,1,1067693.4218749523,668039.7929302417,997450.5330965682,1607832.8283764308,867866.607402597,668039.7929302417,1607832.8283764308,0.6256850320919952
CONTRACT_018,18,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,KILL,0,516763.9846323041,264765.6373174128,472472.9020528305,857344.4971061426,390764.81097485847,264765.6373174128,857344.4971061426,0.5123531151378573
CONTRACT_019,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,SAIL,1,2549319.8024501926,1773573.8819735297,2412975.151818068,3597755.024191104,2161446.842211861,1773573.8819735297,3597755.024191104,0.6957047445632043
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,KILL,0,817078.8128855842,468612.3482392109,755832.5502561559,1288037.802790814,642845.5805623976,468612.3482392109,1288037.802790814,0.5735216001798725
CONTRACT_021,21,Indonesia,East Coast India,Panamax,coal,KILL,0,615124.2704659824,394625.7165654523,576369.5732089429,913132.2188805912,504874.99351571733,394625.7165654523,913132.2188805912,0.6415381988854167
CONTRACT_022,22,Indonesia,West Coast India,Panamax,coal,KILL,0,601193.3125967176,348210.5967376274,556729.2179759179,943104.2176974072,474701.9546671725,348210.5967376274,943104.2176974072,0.5791990520214056
CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,SAIL,1,2874815.767282543,2005713.6042270265,2722062.8778923973,4049423.7091183495,2440264.6857547844,2005713.6042270265,4049423.7091183495,0.6976842227781969
CONTRACT_024,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,SAIL,1,2314761.4289119956,1441626.5302076652,2161299.7482557725,3494819.6889287727,1878193.9795598304,1441626.5302076652,3494819.6889287727,0.622797024436886
