risk_aversion,bear_to_base_min,contract_id,route_id,origin,destination,vessel_class,assigned_vessel,robust_score_usd
0.0,0.5,CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,PANAMAX_04,3008136.94253338
0.0,0.5,CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,SUPRAMAX_04,710786.6193130144
0.0,0.5,CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,PANAMAX_05,1268462.3599448227
0.0,0.5,CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,PANAMAX_01,1109745.438486066
0.0,0.5,CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,SUPRAMAX_02,649739.2570227156
0.0,0.5,CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,SUPRAMAX_03,953019.415335163
0.0,0.5,CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,PANAMAX_03,1602450.5182054953
0.0,0.5,CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,SUPRAMAX_01,1101483.6559435732
0.0,0.5,CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,CAPESIZE_02,1954898.011279202
0.0,0.5,CONTRACT_019,19,"Richards Bay, South Africa","Kandla, India",Capesize,CAPESIZE_03,2549319.8024501926
0.0,0.5,CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,CAPESIZE_01,2874815.767282543
0.0,0.5,CONTRACT_024,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,PANAMAX_02,2314761.4289119956
0.0,0.6,CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,PANAMAX_04,3008136.94253338
0.0,0.6,CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,SUPRAMAX_02,710786.6193130144
0.0,0.6,CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,PANAMAX_03,1268462.3599448227
0.0,0.6,CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,PANAMAX_05,1109745.438486066
0.0,0.6,CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,SUPRAMAX_01,649739.2570227156
0.0,0.6,CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,SUPRAMAX_04,953019.415335163
0.0,0.6,CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,PANAMAX_01,1602450.5182054953
0.0,0.6,CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,SUPRAMAX_03,1101483.6559435732
0.0,0.6,CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,CAPESIZE_02,1954898.011279202
0.0,0.6,CONTRACT_019,19,"Richards Bay, South Africa","Kandla, India",Capesize,CAPESIZE_03,2549319.8024501926
0.0,0.6,CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,CAPESIZE_01,2874815.767282543
