risk_aversion,bear_to_base_min,status,sail_contracts,kill_contracts,selected_expected_value_usd,selected_bear_value_usd,selected_base_value_usd,selected_bull_value_usd,bear_to_base_ratio,risk_constraint_slack_usd,objective_usd,portfolio_key
0.0,0.5,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,3934539.6029188223,20097619.216708165,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.0,0.6,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,2042595.5327709038,20097619.216708165,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.0,0.7,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,150651.4626229871,20097619.216708165,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.0,0.8,Optimal,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,3934539.6029188223,18421779.400945727,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.25,0.6,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,2042595.5327709038,18421779.400945727,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.25,0.7,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,150651.4626229871,18421779.400945727,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.25,0.8,Optimal,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,3934539.6029188223,16745939.585183289,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.5,0.6,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,2042595.5327709038,16745939.585183289,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.5,0.7,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,150651.4626229871,16745939.585183289,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.5,0.8,Optimal,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,3934539.6029188223,15070099.769420851,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.75,0.6,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,2042595.5327709038,15070099.769420851,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.75,0.7,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,150651.4626229871,15070099.769420851,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
0.75,0.8,Optimal,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.5,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,3934539.6029188223,13394259.953658413,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
1.0,0.6,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,2042595.5327709038,13394259.953658413,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
1.0,0.7,Optimal,12,12,20097619.216708165,13394259.953658413,18919440.70147918,29157335.510215875,0.7079627862683704,150651.4626229871,13394259.953658413,CONTRACT_000|CONTRACT_001|CONTRACT_004|CONTRACT_005|CONTRACT_007|CONTRACT_010|CONTRACT_011|CONTRACT_013|CONTRACT_016|CONTRACT_019|CONTRACT_023|CONTRACT_024
1.0,0.8,Optimal,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
