contract_id,route_id,origin,destination,vessel_class,cargo_type,contract_volume_mt,planned_start,planned_end,voyage_days,assigned_vessel,decision,expected_value_usd,bear_value_usd,base_value_usd,bull_value_usd,robust_score_usd,bear_to_base_ratio,planned_start_planning,planned_end_planning,contract_volume_mt_planning,scenario_bear_5tc,scenario_base_5tc,scenario_bull_5tc,recommendation_priority,recommendation_reason,rules_passed,rules_total,decision_reasons,fallback_available,production_optimizer,generated_at_utc
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,69943.75,2026-08-28,2026-09-16 02:33:33.020025822,19.10663217622482,PANAMAX_04,SAIL,3008136.94253338,2082830.510986513,2845505.6236868748,4258706.011773257,2545483.7267599464,0.7319720241100153,2026-08-28,2026-09-16 02:33:33.020025822,69943.75,31606.93405394277,41155.0,58847.10804934665,1.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,51893.75,2026-08-28,2026-09-12 16:14:31.851683206,15.676757542629671,SUPRAMAX_04,SAIL,710786.6193130144,428145.8318319348,661109.839318068,1092780.966783987,569466.2255724747,0.647616789781204,2026-08-28,2026-09-12 16:14:31.851683206,51893.75,31606.93405394277,41155.0,58847.10804934665,15.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,69943.75,2026-08-28,2026-09-16 00:15:00.475562226,19.01042217085908,,KILL,573896.3054524597,302210.58725359244,526144.9820464647,941084.6704633172,438053.4463530261,0.57438652380211,2026-08-28,2026-09-16 00:15:00.475562226,69943.75,31606.93405394277,41155.0,58847.10804934665,23.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_003,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,51893.75,2026-08-28,2026-09-13 05:52:54.512767165,16.24507537924957,,KILL,645398.1753743349,375903.4710319103,598031.9432861302,1009625.3438931692,510650.8232031226,0.628567546018287,2026-08-28,2026-09-13 05:52:54.512767165,51893.75,31606.93405394277,41155.0,58847.10804934665,19.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,69943.75,2026-08-28,2026-09-16 02:33:33.020025822,19.10663217622482,PANAMAX_03,SAIL,1268462.3599448227,809746.6183481847,1187838.7486868748,1888425.324057357,1039104.4891465036,0.6816974267284501,2026-08-28,2026-09-16 02:33:33.020025822,69943.75,31606.93405394277,41155.0,58847.10804934665,7.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,69943.75,2026-08-28,2026-09-16 00:15:00.475562226,19.01042217085908,PANAMAX_02,SAIL,1109745.438486066,694341.9128341745,1036734.3570464648,1671171.1270171597,902043.6756601202,0.6697394642271465,2026-08-28,2026-09-16 00:15:00.475562226,69943.75,31606.93405394277,41155.0,58847.10804934665,9.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,69943.75,2026-08-28,2026-09-07 08:41:30.373981624,10.362157106268844,,KILL,676249.1644427938,443938.1880118781,635418.3226898415,990221.824379614,560093.6762273359,0.6986549996427659,2026-08-28,2026-09-07 08:41:30.373981624,69943.75,31606.93405394277,41155.0,58847.10804934665,16.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,51893.75,2026-08-28,2026-09-08 13:22:59.538985610,11.557633553074217,SUPRAMAX_03,SAIL,649739.2570227156,415300.7743833705,608534.4860191554,966587.2816691812,532520.0157030431,0.6824605407330977,2026-08-28,2026-09-08 13:22:59.538985610,51893.75,31606.93405394277,41155.0,58847.10804934665,18.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_008,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,69943.75,2026-08-28,2026-09-10 22:56:05.366736401,13.955617670560152,,KILL,668144.9569297567,410240.3983496727,622815.8021023266,1016707.8251647007,539192.6776397147,0.658686560239638,2026-08-28,2026-09-10 22:56:05.366736401,69943.75,31606.93405394277,41155.0,58847.10804934665,17.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,69943.75,2026-08-28,2026-09-15 04:59:01.801524647,18.20765973986859,,KILL,949363.4484378136,583178.3499958622,885002.969064516,1444269.5056263604,766270.899216838,0.6589563768495662,2026-08-28,2026-09-15 04:59:01.801524647,69943.75,31606.93405394277,41155.0,58847.10804934665,12.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,thermal coal,51893.75,2026-08-28,2026-09-07 22:55:19.195249906,10.95508327835536,SUPRAMAX_01,SAIL,953019.415335163,641895.4477203311,898336.4482089429,1373509.3172024349,797457.4315277471,0.714537909488265,2026-08-28,2026-09-07 22:55:19.195249906,51893.75,31606.93405394277,41155.0,58847.10804934665,11.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,69943.75,2026-08-28,2026-09-16 02:33:33.020025822,19.10663217622482,PANAMAX_05,SAIL,1602450.518205495,1054157.239086767,1506082.8111868748,2343479.2113614646,1328303.8786461311,0.6999331187214294,2026-08-28,2026-09-16 02:33:33.020025822,69943.75,31606.93405394277,41155.0,58847.10804934665,6.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,51893.75,2026-08-28,2026-09-12 15:09:31.159862766,15.631610646559755,SUPRAMAX_02,SAIL,1101483.6559435732,714404.5413054023,1033450.85646729,1624628.369534311,907944.0986244878,0.6912806127496921,2026-08-28,2026-09-12 15:09:31.159862766,51893.75,31606.93405394277,41155.0,58847.10804934665,8.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_014,14,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,51893.75,2026-08-28,2026-09-08 13:22:59.538985610,11.557633553074217,,KILL,592555.1802981836,373453.7946539358,554046.0485191554,888674.8295004879,483004.4874760597,0.6740482955380633,2026-08-28,2026-09-08 13:22:59.538985610,51893.75,31606.93405394277,41155.0,58847.10804934665,21.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_015,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,69943.75,2026-08-28,2026-09-18 07:49:22.291883904,21.325952452360035,,KILL,925587.4679884482,541683.7357509183,858112.7718712812,1444440.592460312,733635.6018696832,0.6312500565277358,2026-08-28,2026-09-18 07:49:22.291883904,69943.75,31606.93405394277,41155.0,58847.10804934665,13.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,157937.5,2026-08-28,2026-09-13 11:03:10.234466496,16.460535121139962,CAPESIZE_02,SAIL,1954898.011279202,1332523.060753513,1845509.752892397,2796049.4785785014,1643710.5360163576,0.7220352310060135,2026-08-28,2026-09-13 11:03:10.234466496,157937.5,31606.93405394277,41155.0,58847.10804934665,5.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_017,17,"Queensland, Australia","Haldia, India",Panamax,coking coal,69943.75,2026-08-28,2026-09-15 10:21:45.174865294,18.43177285723718,,KILL,1067693.4218749525,668039.7929302417,997450.5330965682,1607832.8283764308,867866.607402597,0.6697472914835421,2026-08-28,2026-09-15 10:21:45.174865294,69943.75,31606.93405394277,41155.0,58847.10804934665,10.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_018,18,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,69943.75,2026-08-28,2026-09-15 10:41:43.256196021,18.44563953930579,,KILL,516763.9846323041,264765.6373174128,472472.9020528305,857344.4971061426,390764.81097485847,0.5603826932021755,2026-08-28,2026-09-15 10:41:43.256196021,69943.75,31606.93405394277,41155.0,58847.10804934665,24.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_019,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,157937.5,2026-08-28,2026-09-12 16:14:31.851683206,15.676757542629671,CAPESIZE_03,SAIL,2549319.8024501926,1773573.8819735297,2412975.151818068,3597755.024191104,2161446.842211861,0.735015394019794,2026-08-28,2026-09-12 16:14:31.851683206,157937.5,31606.93405394277,41155.0,58847.10804934665,3.0,SAIL: selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,69943.75,2026-08-28,2026-09-17 12:08:52.530079940,20.506163542591903,,KILL,817078.8128855842,468612.3482392109,755832.5502561559,1288037.802790814,642845.5805623976,0.6199949288772963,2026-08-28,2026-09-17 12:08:52.530079940,69943.75,31606.93405394277,41155.0,58847.10804934665,14.0,KILL: not selected by risk-constrained fleet MILP.,9,9,,True,STEP35_RISK_CONSTRAINED_MILP,2026-08-27T20:24:11.784310+00:00
