source_row,report_date,source_file,original_raw_text,repair_status,repair_reason,repair_raw_text,repaired_vessel_or_tbn,repaired_build_year,repaired_cargo_quantity_mt,repaired_lane_raw,repaired_origin,repaired_destination,repaired_laycan_raw,repaired_laycan_start,repaired_laycan_end,repaired_freight_rate,repaired_rate_unit,repaired_cargo_type,repaired_charterer,repaired_vessel_dwt,repaired_vessel_class,match_status,matched_contract_id,matched_route_id,match_score,match_reason,matched_contract_origin,matched_contract_destination,matched_contract_vessel_class,origin_match,destination_match,vessel_class_match,report_age_days,current_operational_evidence
0,2026-06-08,report_00000.html,'TBN' 170000/10 Dampier/Qingdao 22/24 Jun $13.15 fio 90000shinc/30000shinc - Rio Tinto,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 170000/10 Dampier/Qingdao 22/24 Jun $13.15 fio 90000shinc/30000shinc - Rio Tinto,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,81,False
1,2026-06-08,report_00000.html,GRAIN 'TBN' 59000/10 NoPac/Taiwan 1/15 Aug $47.95 fio 11 daps shex - cnr,PARSED,OK,'TBN' 59000/10 NoPac/Taiwan 1/15 Aug $47.95 fio 11 daps shex - cnr,TBN,,59000.0,NoPac/Taiwan,NoPac,Taiwan,1/15 Aug,2026-08-01,2026-08-15,47.95,$/mt,GRAIN,cnr,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,81,False
2,2026-06-10,report_00001.html,'TBN' 170000/10 Dampier/Qingdao 27/29 Jun $12.00 fio 90000shinc/30000shinc - Rio Tinto,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 170000/10 Dampier/Qingdao 27/29 Jun $12.00 fio 90000shinc/30000shinc - Rio Tinto,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,79,False
3,2026-06-10,report_00001.html,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jun $11.95 fio 80000shinc/30000shinc - BHP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 160000/10 Port Hedland/Qingdao 27/29 Jun $11.95 fio 80000shinc/30000shinc - BHP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,79,False
4,2026-06-10,report_00001.html,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jun $11.90 fio 80000shinc/30000shinc - BHP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 160000/10 Port Hedland/Qingdao 27/29 Jun $11.90 fio 80000shinc/30000shinc - BHP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,79,False
5,2026-06-10,report_00001.html,'TBN' 160000/10 Port Hedland/Qingdao 22/23 Jun $12.30 fio 80000shinc/30000shinc - FMG,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 160000/10 Port Hedland/Qingdao 22/23 Jun $12.30 fio 80000shinc/30000shinc - FMG,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,79,False
6,2026-06-10,report_00001.html,COAL 'TBN' 75000/10 Nacala/EC India 5/14 Jul $21.35 fio 33000sshex/40000shinc - SAIL,PARSED,OK,'TBN' 75000/10 Nacala/EC India 5/14 Jul $21.35 fio 33000sshex/40000shinc - SAIL,TBN,,75000.0,Nacala/EC India,Nacala,EC India,5/14 Jul,2026-07-05,2026-07-14,21.35,$/mt,COAL,SAIL,,,PARTIAL,CONTRACT_021,21.0,3.0,origin=PARTIAL; destination=EXACT; vessel_class_match=False,Indonesia,East Coast India,Panamax,PARTIAL,EXACT,False,79,False
7,2026-06-18,report_00002.html,'TBN' 160000/10 Port Hedland/Qingdao 3/5 Jul $11.70 fio 80000shinc/30000shinc - BHP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 160000/10 Port Hedland/Qingdao 3/5 Jul $11.70 fio 80000shinc/30000shinc - BHP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,71,False
8,2026-06-18,report_00002.html,COAL 'Pan Ocean TBN' 80000/10 Newcastle/Boryeong 7/16 Jul $16.98 fio 30000mtsatpmxshexuu/19000ltshinc - Kepco,PARSED,OK,'Pan Ocean TBN' 80000/10 Newcastle/Boryeong 7/16 Jul $16.98 fio 30000mtsatpmxshexuu/19000ltshinc - Kepco,Pan Ocean TBN,,80000.0,Newcastle/Boryeong,Newcastle,Boryeong,7/16 Jul,2026-07-07,2026-07-16,16.98,$/mt,COAL,Kepco,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,71,False
9,2026-06-22,report_00003.html,'TBN' 170000/10 Dampier/Qingdao 8/11 Jul $11.65 fio 90000shinc/30000shinc - Rio Tinto,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 170000/10 Dampier/Qingdao 8/11 Jul $11.65 fio 90000shinc/30000shinc - Rio Tinto,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,67,False
