contract_id,route_id,origin,destination,vessel_class,contract_cargo_type,evidence_observations,best_evidence_score,latest_evidence_score,best_trade_relation,best_evidence_level,latest_report_date,latest_report_age_days,latest_laycan_start,latest_laycan_end,historical_only,current_operational_evidence,exact_evidence_count,close_evidence_count,related_evidence_count,weak_related_evidence_count,cargo_match_count,vessel_match_count,future_laycan_count,evidence_status,evidence_reason
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,27,74.0,41.0,EXACT,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,3,2,0,22,9,0,2,HISTORICAL_EVIDENCE,best=74.0; relation=EXACT; observations=27
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coal,27,66.0,41.0,EXACT,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,2,3,0,22,9,0,2,HISTORICAL_EVIDENCE,best=66.0; relation=EXACT; observations=27
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,27,66.0,41.0,EXACT,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,2,3,0,22,9,0,2,HISTORICAL_EVIDENCE,best=66.0; relation=EXACT; observations=27
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,27,66.0,41.0,EXACT,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,2,3,0,22,9,0,2,HISTORICAL_EVIDENCE,best=66.0; relation=EXACT; observations=27
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,coal,27,65.0,41.0,CLOSE,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,5,0,22,9,0,2,HISTORICAL_EVIDENCE,best=65.0; relation=CLOSE; observations=27
CONTRACT_017,17,"Queensland, Australia","Haldia, India",Panamax,coal,27,65.0,41.0,CLOSE,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,5,0,22,9,0,2,HISTORICAL_EVIDENCE,best=65.0; relation=CLOSE; observations=27
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,coal,27,65.0,41.0,CLOSE,STRONG,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,5,0,22,9,0,2,HISTORICAL_EVIDENCE,best=65.0; relation=CLOSE; observations=27
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
CONTRACT_024,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
CONTRACT_015,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,8,41.0,41.0,WEAK_RELATED,MODERATE,2026-08-19,9.0,2026-09-21,2026-09-30,True,False,0,0,0,8,8,0,2,HISTORICAL_EVIDENCE,best=41.0; relation=WEAK_RELATED; observations=8
