zone_name,fetched_at_utc,data_source,vessel_name,mmsi,imo,vtype,vessel_type,flag,callsign,ais_type,lat,lng,course,speed,nav_status,received,dwt,built,draught,gt,size_a,size_b,size_c,size_d,destination,eta,current_port,current_port_id,current_port_country,last_port,last_port_id,last_port_country,last_port_dep_utc,last_port_dep_local,next_port,next_port_id,next_port_country,next_port_eta_utc,next_port_eta_local,avg_sog,max_sog,distance_covered,wind_knots,wind_direction,humidity,pressure,temperature,visibility,ais_age_minutes,ais_is_recent,derived_vessel_class,is_moving,position_quality,commercial_availability_confirmed,commercial_availability_note
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042120Z,MyShipTracking,CAPE RAINBOW,373033000,9603398,7,Bulk Carrier,PA,3EVI3,70,-23.79231,151.53191,208,3.9,0,2026-08-28T03:08:00Z,207886,2012,10.0,106251,262,38,19,31,AU GLT,2026-08-28T04:00:00.000Z,,,,NEWCASTLE,314.0,Australia,2026-08-24T21:28:50Z,2026-08-25T07:28:50,GLADSTONE,3859.0,Australia,2026-08-28T05:58:59Z,2026-08-28T15:58:59,9.4,13.2,731.48,12,ENE,73.7,1022.7,19.9,24135.3,73.34497453333333,True,Capesize,True,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042122Z,MyShipTracking,ES GLORY SEA,636019494,9465186,7,Bulk Carrier,LR,D5UT9,70,-23.75762,151.47274,64,0.1,1,2026-08-28T03:06:39Z,177000,2007,9.4,91407,251,41,18,27,GLADSTONE AUS,2026-08-19T20:00:00.000Z,,,,JINGTANG,4205.0,China,2026-08-01T05:40:30Z,2026-08-01T13:40:30,GLADSTONE,3859.0,Australia,2026-08-19T20:00:00Z,2026-08-20T06:00:00,9.6,12.8,4544.91,12,ENE,73.7,1022.7,19.9,24135.3,74.72403951666666,True,Capesize,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042123Z,MyShipTracking,MINERAL STONEHENGE,205580000,9519779,7,Bulk Carrier,BE,ONGR,70,-23.81305,151.49913,172,0.0,1,2026-08-28T03:02:37Z,175713,2010,10.4,91971,251,41,25,20,AU GLT,2026-08-22T19:00:00.000Z,,,,BORYEONG,5482.0,Korea,2026-08-04T07:05:24Z,2026-08-04T16:05:24,GLADSTONE,3859.0,Australia,2026-08-22T19:00:00Z,2026-08-23T05:00:00,10.1,13.8,4267.73,12,ENE,73.7,1022.7,19.9,24135.3,78.77784538333334,True,Capesize,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042124Z,MyShipTracking,ANABELA,636019937,9587350,7,Bulk Carrier,LR,D5WW6,70,-23.76171,151.51549,189,0.2,1,2026-08-28T02:33:03Z,177029,2010,10.4,92053,251,40,25,20,AUGLT,2026-08-17T02:00:00.000Z,,,,JINGTANG,4205.0,China,2026-08-01T06:20:44Z,2026-08-01T14:20:44,,,,,,11.6,14.5,4636.66,12,ENE,73.7,1022.7,19.9,24135.3,108.35647333333333,True,Capesize,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042125Z,MyShipTracking,POPEYE,311001257,9599078,7,Bulk Carrier,BS,C6GI7,70,-23.81556,151.2388,138,0.0,5,2026-08-28T03:08:02Z,98730,2013,8.3,51905,211,29,24,14,AU HPT,2026-08-29T20:00:00.000Z,GLADSTONE,3859.0,Australia,QINGDAO,4157.0,China,2026-07-29T01:28:37Z,2026-07-29T09:28:37,DALRYMPLE,133.0,Australia,2026-08-29T20:00:00Z,2026-08-30T06:00:00,,,,10,ENE,62.5,1022.5,21.4,24135.3,73.39870785,True,Panamax,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042126Z,MyShipTracking,RAGA,352035000,9650767,7,Bulk Carrier,PA,3ETH3,70,-23.81918,151.48063,81,0.2,1,2026-08-28T02:55:01Z,95666,2013,7.7,50615,206,29,23,15,CN HUH>AU GLT,2026-08-18T13:00:00.000Z,,,,HUANGHUA,4153.0,China,2026-08-02T09:20:28Z,2026-08-02T17:20:28,GLADSTONE,3859.0,Australia,2026-08-18T13:00:00Z,2026-08-18T23:00:00,12.3,14.9,4894.23,12,ENE,73.7,1022.7,19.9,24135.3,86.42562526666667,True,Panamax,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042127Z,MyShipTracking,ORIENTAL ENTERPRISE,441609000,9290971,7,Bulk Carrier,KR,D7CK,70,-23.83007,151.60824,158,0.0,1,2026-08-28T02:15:07Z,88125,2004,7.6,48042,196,34,22,16,AUGLT,2026-08-13T00:00:00.000Z,,,,BORYEONG,5482.0,Korea,2026-06-21T05:17:27Z,2026-06-21T14:17:27,,,,,,11.1,14.3,4838.22,12,ENE,73.7,1022.7,19.9,24135.3,126.33757575,True,Panamax,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042129Z,MyShipTracking,EFESSOS WAVE,210083000,9454905,7,Bulk Carrier,CY,5BPG3,70,-23.86487,151.59145,122,0.0,1,2026-08-28T03:06:24Z,87332,2012,7.2,47984,199,30,13,24,AU GLT,2026-08-24T21:00:00.000Z,,,,NEWCASTLE,314.0,Australia,2026-06-23T07:07:31Z,2026-06-23T17:07:31,GLADSTONE,3859.0,Australia,2026-08-24T21:00:00Z,2026-08-25T07:00:00,9.2,13.5,7521.73,12,ENE,73.7,1022.7,19.9,24135.3,75.09178538333335,True,Panamax,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042136Z,MyShipTracking,WHITE ROSE,440422000,9324502,7,Bulk Carrier,KR,D7KJ,70,-23.79759,151.47986,133,0.3,1,2026-08-28T03:06:33Z,171827,2006,9.3,89097,247,42,18,27,AUGLT,2026-08-25T23:00:00.000Z,,,,GWANGYANG,5505.0,Korea,2026-08-11T22:32:44Z,2026-08-12T07:32:44,GLADSTONE,3859.0,Australia,2026-08-25T23:00:00Z,2026-08-26T09:00:00,11.3,14.6,3973.53,12,ENE,73.7,1022.7,19.9,24135.3,75.06643331666668,True,Capesize,False,RECENT,False,AIS position does not confirm charter availability.
AUSTRALIA_GLADSTONE_HAY_POINT,20260828T042137Z,MyShipTracking,MAIZURU KICHIJO,636025609,9633159,7,Bulk Carrier,LR,5LYG9,70,-23.85197,151.31129,261,0.0,5,2026-08-28T03:57:06Z,91435,2012,12.5,50626,201,34,23,15,AU_GLT,2026-08-22T00:00:00.000Z,,,,,,,,,GLADSTONE,3859.0,Australia,2026-08-22T00:00:00Z,2026-08-22T10:00:00,,,,10,ENE,62.5,1022.5,21.4,24135.3,24.529907466666668,True,Panamax,False,RECENT,False,AIS position does not confirm charter availability.
