observation_id,batch_id,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,lat,lon,speed,course,nav_status,destination,zone_id,zone_name,source,is_recent,vtype7_candidate
C1_AU_GLADSTONE_HAY_POINT_20260828T085826Z_9708318,C1_AU_GLADSTONE_HAY_POINT_20260828T085826Z,2026-08-28T08:58:28.313374+00:00,2026-08-28T02:58:29Z,359.9885558166667,9708318,636016900,CAROLA,7,-23.89876,151.57304,0.2,146.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C1_AU_GLADSTONE_HAY_POINT_20260828T085826Z_9914371,C1_AU_GLADSTONE_HAY_POINT_20260828T085826Z,2026-08-28T08:58:28.313546+00:00,2026-08-28T02:58:27Z,360.0218922166667,9914371,538012764,METIS TITANIUM,7,-23.84856,151.58976,0.0,128.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,False,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9603398,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.816861+00:00,2026-08-28T08:58:25Z,0.4802798,9603398,373033000,CAPE RAINBOW,7,-23.81563,151.51699,0.0,98.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9790880,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.816972+00:00,2026-08-28T08:50:11Z,8.713615633333335,9790880,431491000,NSU VOYAGER,7,-23.78151,151.51616,0.0,102.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9682576,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817049+00:00,2026-08-28T08:19:48Z,39.0969503,9682576,241355000,MARAN GAS LETO,8,-23.76588,151.53798,16.6,0.6,0,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,False
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9454905,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817142+00:00,2026-08-28T03:06:24Z,352.49695155,9454905,210083000,EFESSOS WAVE,7,-23.86487,151.59145,0.0,122.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9877872,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817222+00:00,2026-08-28T03:07:35Z,351.31361984999995,9877872,538009641,SDTR ERICA,7,-23.85242,151.61422,0.0,231.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9523201,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817311+00:00,2026-08-28T03:07:34Z,351.3302880666667,9523201,413985000,YUN LONG FENG,7,-23.8292,151.58686,0.1,119.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9607136,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817373+00:00,2026-08-28T03:07:49Z,351.08028915,9607136,564856000,RTM DHAMBUL,7,-23.83336,151.51863,0.0,251.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9212452,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817433+00:00,2026-08-28T03:05:40Z,353.23029015,9212452,357800000,WINCANTON,8,-23.86608,151.61309,0.0,209.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,False
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9889306,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817492+00:00,2026-08-28T03:06:42Z,352.1969578,9889306,352393000,AZUL TIERRA,7,-23.79716,151.5176,0.1,181.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z_9565546,C3_AU_GLADSTONE_HAY_POINT_20260828T085852Z,2026-08-28T08:58:53.817550+00:00,2026-08-28T03:07:48Z,351.0969587833333,9565546,351733000,CHESAPEAKE HIGHWAY,7,-23.86656,151.57271,0.1,116.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True
