observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence
zone_australia_gladstone_hay_point_20260828T042118Z.json_103,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T02:58:16Z,83.03333333333333,9631151,503788000,MT LARCOM,8,False,-23.8519,151.31501,0.0,110.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,103,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_102,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T02:58:27Z,82.85,9914371,538012764,METIS TITANIUM,7,True,-23.84856,151.58976,0.0,128.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,102,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_101,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:48Z,73.5,9565546,351733000,CHESAPEAKE HIGHWAY,7,True,-23.86656,151.57271,0.1,116.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,101,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_100,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:57:06Z,24.2,9633159,636025609,MAIZURU KICHIJO,7,True,-23.85197,151.31129,0.0,261.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,100,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_99,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:06:33Z,74.75,9324502,440422000,WHITE ROSE,7,True,-23.79759,151.47986,0.3,133.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,99,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_98,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:06:42Z,74.6,9889306,352393000,AZUL TIERRA,7,True,-23.79716,151.5176,0.1,181.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,98,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_30,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:57:32Z,23.766666666666666,9990703,563266600,KARLA BULKER,7,True,-23.85173,151.31262,0.0,80.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,30,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_24,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:34Z,73.73333333333333,9523201,413985000,YUN LONG FENG,7,True,-23.8292,151.58686,0.1,119.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,24,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_23,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:49Z,73.48333333333333,9607136,564856000,RTM DHAMBUL,7,True,-23.83336,151.51863,0.0,251.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,23,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_22,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:35Z,73.71666666666667,9877872,538009641,SDTR ERICA,7,True,-23.85242,151.61422,0.0,231.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,22,True,2
