imo,mmsi,vessel_name,derived_vessel_class,dwt,gt,built,vessel_age_years,draught,size_a,size_b,size_c,size_d,flag,callsign,ext_destination,extended_metadata_available,metadata_fields_available,metadata_completeness_ratio
102579600,636024708,BH PROGRESS,BULK_CARRIER,,,,,,,,,,,,,False,0,0.0
9212452,357800000,WINCANTON,OTHER,,,,,,,,,,,,,False,0,0.0
9290971,441609000,ORIENTAL ENTERPRISE,BULK_CARRIER,88125.0,48042.0,2004.0,22.0,7.6,196.0,34.0,22.0,16.0,KR,D7CK,AUGLT,True,5,0.7142857142857143
9324502,440422000,WHITE ROSE,BULK_CARRIER,171827.0,89097.0,2006.0,20.0,9.3,247.0,42.0,18.0,27.0,KR,D7KJ,AUGLT,True,7,1.0
9383508,352721000,HPC GALAXY,BULK_CARRIER,32228.0,20250.0,2009.0,17.0,6.3,155.0,22.0,22.0,6.0,PA,3EXV3,AU GLT,True,7,1.0
9454905,210083000,EFESSOS WAVE,BULK_CARRIER,87332.0,47984.0,2012.0,14.0,7.2,199.0,30.0,13.0,24.0,CY,5BPG3,AU GLT,True,7,1.0
9465186,636019494,ES GLORY SEA,BULK_CARRIER,177000.0,91407.0,2007.0,19.0,9.4,251.0,41.0,18.0,27.0,LR,D5UT9,GLADSTONE AUS,True,7,1.0
9519779,205580000,MINERAL STONEHENGE,BULK_CARRIER,175713.0,91971.0,2010.0,16.0,10.4,251.0,41.0,25.0,20.0,BE,ONGR,AU GLT,True,7,1.0
9523201,413985000,YUN LONG FENG,BULK_CARRIER,,,,,7.3,193.0,32.0,12.0,20.0,CN,BRPH,AU GLT,True,4,0.5714285714285714
9557587,503641000,VB KOONGO,OTHER,,,,,,,,,,,,,False,0,0.0
9557599,503642000,VB YALLARM,OTHER,,,,,,,,,,,,,False,0,0.0
9559248,503000216,VB SEA EAGLE,OTHER,,,,,,,,,,,,,False,0,0.0
9565546,351733000,CHESAPEAKE HIGHWAY,BULK_CARRIER,,,,,,,,,,,,,False,0,0.0
9578490,503646000,VB AWOONGA,OTHER,,,,,,,,,,,,,False,0,0.0
9581693,538005240,BOUGAINVILLE,OTHER,,,,,,,,,,,,,False,0,0.0
9587350,636019937,ANABELA,BULK_CARRIER,177029.0,92053.0,2010.0,16.0,10.4,251.0,40.0,25.0,20.0,LR,D5WW6,AUGLT,True,5,0.7142857142857143
9599078,311001257,POPEYE,BULK_CARRIER,98730.0,51905.0,2013.0,13.0,8.3,211.0,29.0,24.0,14.0,BS,C6GI7,AU HPT,True,7,1.0
9603398,373033000,CAPE RAINBOW,BULK_CARRIER,207886.0,106251.0,2012.0,14.0,10.0,262.0,38.0,19.0,31.0,PA,3EVI3,AU GLT,True,7,1.0
9607136,564856000,RTM DHAMBUL,BULK_CARRIER,70373.0,38800.0,2013.0,13.0,11.9,195.0,30.0,22.0,10.0,SG,9V2783,AU GLT,True,7,1.0
9614919,431812000,SG UNITED,BULK_CARRIER,,,,,9.9,254.0,38.0,25.0,20.0,JP,7KMO,AU GLT,True,2,0.2857142857142857
9631151,503788000,MT LARCOM,OTHER,,,,,,,,,,,,,False,0,0.0
9633159,636025609,MAIZURU KICHIJO,BULK_CARRIER,91435.0,50626.0,2012.0,14.0,12.5,201.0,34.0,23.0,15.0,LR,5LYG9,AU_GLT,True,6,0.8571428571428571
963917700,503004550,BRUCE,OTHER,,,,,,,,,,,,,False,0,0.0
9640645,538013005,V GAS OHIO,OTHER,,,,,,,,,,,,,False,0,0.0
9650767,352035000,RAGA,BULK_CARRIER,95666.0,50615.0,2013.0,13.0,7.7,206.0,29.0,23.0,15.0,PA,3ETH3,CN HUH>AU GLT,True,7,1.0
9689897,565285000,STRATEGIC HARMONY,BULK_CARRIER,,,,,6.8,155.0,25.0,10.0,20.0,SG,9V2289,GLADSTONE,True,4,0.5714285714285714
9693472,503020180,SL CURTIS ISLAND,OTHER,,,,,,,,,,,,,False,0,0.0
9693484,503022140,SL QUOIN ISLAND,OTHER,,,,,,,,,,,,,False,0,0.0
9694945,269084000,BREGAGLIA,BULK_CARRIER,,,,,8.1,203.0,37.0,15.0,23.0,CH,HBDU,AUGLT,True,4,0.5714285714285714
9700823,352286000,CAPE HOPE,BULK_CARRIER,,,,,9.8,258.0,41.0,22.0,28.0,PA,3FNK4,AU GLT,True,2,0.2857142857142857
9708318,636016900,CAROLA,BULK_CARRIER,,,,,9.5,200.0,25.0,21.0,11.0,LR,D5II3,TW TXG>AU GLT,True,2,0.2857142857142857
9713442,372754000,CAPE HARVEST,BULK_CARRIER,,,,,8.8,260.0,40.0,15.0,35.0,PA,3FIT2,AUGLT,True,2,0.2857142857142857
9743679,503024450,SL BOYNE ISLAND,OTHER,,,,,,,,,,,,,False,0,0.0
9743681,503026120,VB HERON ISLAND,OTHER,,,,,,,,,,,,,False,0,0.0
9743693,503000093,VB WIGGINS ISLAND,OTHER,,,,,,,,,,,,,False,0,0.0
9747390,538006474,DSI PEGASUS,BULK_CARRIER,,,,,12.8,171.0,29.0,22.0,10.0,MH,V7CG4,AU GLT,True,2,0.2857142857142857
9774472,636017368,KANG MAY,BULK_CARRIER,,,,,12.5,198.0,30.0,12.0,24.0,LR,D5KO5,AU GLT,True,2,0.2857142857142857
9789831,636017377,JIA MAY,BULK_CARRIER,,,,,7.3,198.0,30.0,12.0,24.0,LR,D5KP6,JP HBK>>AU GLT,True,2,0.2857142857142857
9790880,431491000,NSU VOYAGER,BULK_CARRIER,,,,,9.4,257.0,42.0,33.0,17.0,JP,7JZQ,AU GLT,True,4,0.5714285714285714
9795787,503000229,SL LULU,OTHER,,,,,,,,,,,,,False,0,0.0
9795799,503000231,SL MURJAN,OTHER,,,,,,,,,,,,,False,0,0.0
9802205,636018574,MEDI PALMAROLA,BULK_CARRIER,,,,,7.2,202.0,27.0,21.0,11.0,LR,D5QH9,GLADSTONE,True,4,0.5714285714285714
9815939,636018518,MEDI GINEVRA,BULK_CARRIER,,,,,7.5,199.0,30.0,24.0,12.0,LR,D5QB3,AUGLT,True,2,0.2857142857142857
9877872,538009641,SDTR ERICA,BULK_CARRIER,,,,,12.5,195.0,32.0,4.0,32.0,MH,V7A4987,AU AMR>AU GLT,True,4,0.5714285714285714
9883560,357138000,BUENA AMISTAD,OTHER,,,,,,,,,,,,,False,0,0.0
9885063,636020378,BRILLIANT MERCURY,BULK_CARRIER,,,,,7.9,217.0,33.0,26.0,17.0,LR,D5YY2,AU GLT,True,2,0.2857142857142857
9889306,352393000,AZUL TIERRA,BULK_CARRIER,,,,,10.9,261.0,39.0,21.0,29.0,PA,H9PH,AU GLT,True,4,0.5714285714285714
9894818,538009407,DESERT NAMULI,BULK_CARRIER,,,,,6.8,170.0,29.0,10.0,22.0,MH,V7A4695,AU GLT,True,2,0.2857142857142857
9906740,636021216,TAHO CIRCULAR,BULK_CARRIER,,,,,7.4,198.0,31.0,23.0,14.0,LR,5LCV7,AUGLT,True,2,0.2857142857142857
9914371,538012764,METIS TITANIUM,BULK_CARRIER,,,,,,,,,,,,,False,0,0.0
9934204,477833200,JOSCO LIUZHOU,BULK_CARRIER,,,,,7.1,171.0,29.0,19.0,13.0,HK,VRUS9,GLADSTONE,True,2,0.2857142857142857
9947768,636093091,BBC URANUS,BULK_CARRIER,,,,,8.9,151.0,28.0,18.0,12.0,LR,5LFA7,GLADSTONE,True,2,0.2857142857142857
9974149,636025078,PUTERI PAHANG,OTHER,,,,,,,,,,,,,False,0,0.0
9990703,563266600,KARLA BULKER,BULK_CARRIER,,,,,6.3,154.0,29.0,10.0,20.0,SG,9V9536,AU GLT,True,4,0.5714285714285714
,5030267,,OTHER,,,,,,,,,,,,,False,0,0.0
