candidate_id,imo,mmsi,vessel_name,candidate_vessel_class,dwt,dwt_class,gt,built,vessel_age_years,draught,size_a,size_b,flag,lat,lon,speed,avg_sog,max_sog,course,nav_status,destination,last_port,last_port_unloco,last_port_dep_utc,next_port,next_port_unloco,next_port_eta_utc,freshness_minutes,observation_count,first_observation_timestamp,last_observation_timestamp,mean_reported_speed,max_reported_speed,min_reported_speed,mean_freshness_minutes,has_extended_metadata,has_dwt,has_reported_speed,has_avg_sog,has_position,ais_fresh,has_multiple_observations,metadata_non_null_count,metadata_completeness,candidate_usable,candidate_source,source_file,vessel_name_extended,mmsi_extended,vessel_type_extended,vtype_extended,dwt_extended,gt_extended,built_extended,draught_extended,flag_extended,callsign_extended,destination_extended,last_port_extended,last_port_departure_extended,next_port_extended,next_port_eta_extended,avg_sog_extended,max_sog_extended,wind_knots_extended,temperature_extended,humidity_extended,pressure_extended,visibility_extended,dwt_final,built_final,draught_final,next_port_final,next_port_eta_final,last_port_final,destination_final,avg_sog_final,dwt_class_from_final_dwt,dwt_class_enriched,has_local_extended_metadata,has_extended_dwt,has_final_dwt,metadata_completeness_score,optimizer_vessel_ready,optimizer_capacity_ready
IMO_9947768,9947768,636093091,BBC URANUS,BULK_CARRIER,,UNKNOWN,,,,8.9,151.0,28.0,LR,-23.83292,151.26313,0.0,,,109.0,5,,THEVENARD,AUTHE,2026-08-17T17:40:00Z,,,,0.6333333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,4.108333333333333,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9947768_20260828T042135Z.json,BBC URANUS,636093091.0,Cargo,7.0,,,,8.9,LR,5LFA7,GLADSTONE,THEVENARD,2026-08-17T17:40:00Z,,,,,10.0,21.4,62.5,1022.5,24135.3,,,8.9,,,THEVENARD,GLADSTONE,,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
IMO_9934204,9934204,477833200,JOSCO LIUZHOU,BULK_CARRIER,,UNKNOWN,,,,7.1,171.0,29.0,HK,-23.82068,151.24365,0.0,,,140.0,5,,DONGJIAKOU,,2026-07-30T06:24:37Z,,,,3.15,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,3.625,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9934204_20260828T042134Z.json,JOSCO LIUZHOU,477833200.0,Cargo,7.0,,,,7.1,HK,VRUS9,GLADSTONE,DONGJIAKOU,2026-07-30T06:24:37Z,,,,,10.0,21.4,62.5,1022.5,24135.3,,,7.1,,,DONGJIAKOU,GLADSTONE,,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
IMO_9990703,9990703,563266600,KARLA BULKER,BULK_CARRIER,,UNKNOWN,,,,6.3,154.0,29.0,SG,-23.85173,151.31262,0.0,12.4,15.8,80.0,5,,HIGASHIHARIMA,JPHHR,2026-08-13T08:04:45Z,GLADSTONE,AUGLT,2026-08-26T05:00:00Z,23.766666666666666,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,21.241666666666667,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9990703_20260828T042135Z.json,KARLA BULKER,563266600.0,Cargo,7.0,,,,6.3,SG,9V9536,AU GLT,HIGASHIHARIMA,2026-08-13T08:04:45Z,GLADSTONE,2026-08-26T05:00:00Z,12.4,15.8,10.0,21.4,62.5,1022.5,24135.3,,,6.3,GLADSTONE,2026-08-26T05:00:00Z,HIGASHIHARIMA,AU GLT,12.4,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.6,True,False
IMO_9633159,9633159,636025609,MAIZURU KICHIJO,BULK_CARRIER,91435.0,PANAMAX,50626.0,2012.0,14.0,12.5,201.0,34.0,LR,-23.85197,151.31129,0.0,,,261.0,5,,,,,GLADSTONE,AUGLT,2026-08-22T00:00:00Z,24.2,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,21.675,True,True,True,False,True,True,True,7,0.875,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9633159_20260828T042137Z.json,MAIZURU KICHIJO,636025609.0,Bulk Carrier,7.0,91435.0,50626.0,2012.0,12.5,LR,5LYG9,AU_GLT,,,GLADSTONE,2026-08-22T00:00:00Z,,,10.0,21.4,62.5,1022.5,24135.3,91435.0,2012.0,12.5,GLADSTONE,2026-08-22T00:00:00Z,,AU_GLT,,PANAMAX,PANAMAX,True,True,True,1.0,True,True
IMO_9885063,9885063,636020378,BRILLIANT MERCURY,BULK_CARRIER,,UNKNOWN,,,,7.9,217.0,33.0,LR,-23.81812,151.24128,0.0,,,138.0,5,,FUKUYAMA,JPFKY,2026-08-01T00:12:37Z,,,,49.93333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,47.40833333333333,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9885063_20260828T042125Z.json,BRILLIANT MERCURY,636020378.0,Cargo,7.0,,,,7.9,LR,D5YY2,AU GLT,FUKUYAMA,2026-08-01T00:12:37Z,,,,,10.0,21.4,62.5,1022.5,24135.3,,,7.9,,,FUKUYAMA,AU GLT,,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
IMO_9599078,9599078,311001257,POPEYE,BULK_CARRIER,98730.0,PANAMAX,51905.0,2013.0,13.0,8.3,211.0,29.0,BS,-23.81556,151.2388,0.0,,,138.0,5,,QINGDAO,CNQDG,2026-07-29T01:28:37Z,DALRYMPLE,AUHPT,2026-08-29T20:00:00Z,73.26666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,70.74166666666667,True,True,True,False,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9599078_20260828T042125Z.json,POPEYE,311001257.0,Bulk Carrier,7.0,98730.0,51905.0,2013.0,8.3,BS,C6GI7,AU HPT,QINGDAO,2026-07-29T01:28:37Z,DALRYMPLE,2026-08-29T20:00:00Z,,,10.0,21.4,62.5,1022.5,24135.3,98730.0,2013.0,8.3,DALRYMPLE,2026-08-29T20:00:00Z,QINGDAO,AU HPT,,PANAMAX,PANAMAX,True,True,True,1.0,True,True
IMO_9603398,9603398,373033000,CAPE RAINBOW,BULK_CARRIER,207886.0,VLOC_OR_VERY_LARGE,106251.0,2012.0,14.0,10.0,262.0,38.0,PA,-23.79231,151.53191,3.9,9.4,13.2,208.0,0,,NEWCASTLE,AUNTL,2026-08-24T21:28:50Z,GLADSTONE,AUGLT,2026-08-28T05:58:59Z,73.3,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,3.9,3.9,3.9,70.775,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9603398_20260828T042120Z.json,CAPE RAINBOW,373033000.0,Bulk Carrier,7.0,207886.0,106251.0,2012.0,10.0,PA,3EVI3,AU GLT,NEWCASTLE,2026-08-24T21:28:50Z,GLADSTONE,2026-08-28T05:58:59Z,9.4,13.2,12.0,19.9,73.7,1022.7,24135.3,207886.0,2012.0,10.0,GLADSTONE,2026-08-28T05:58:59Z,NEWCASTLE,AU GLT,9.4,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,True,True,1.0,True,True
IMO_9607136,9607136,564856000,RTM DHAMBUL,BULK_CARRIER,70373.0,SUPRAMAX,38800.0,2013.0,13.0,11.9,195.0,30.0,SG,-23.83336,151.51863,0.0,11.5,14.8,251.0,1,,WEIPA,AUWEI,2026-07-24T12:47:35Z,GLADSTONE,AUGLT,2026-08-27T06:00:00Z,73.48333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,70.95833333333334,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9607136_20260828T042132Z.json,RTM DHAMBUL,564856000.0,Cabu Carrier,7.0,70373.0,38800.0,2013.0,11.9,SG,9V2783,AU GLT,WEIPA,2026-07-24T12:47:35Z,GLADSTONE,2026-08-27T06:00:00Z,11.5,14.8,12.0,19.9,73.7,1022.7,24135.3,70373.0,2013.0,11.9,GLADSTONE,2026-08-27T06:00:00Z,WEIPA,AU GLT,11.5,PANAMAX,SUPRAMAX,True,True,True,1.0,True,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,BULK_CARRIER,,UNKNOWN,,,,,,,,-23.86656,151.57271,0.1,,,116.0,1,,,,,,,,73.5,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,70.975,False,False,True,False,True,True,True,0,0.0,True,MYSHIPTRACKING_AIS_TRIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,False,False,False,0.0,True,False
IMO_9774472,9774472,636017368,KANG MAY,BULK_CARRIER,,UNKNOWN,,,,12.5,198.0,30.0,LR,-23.79253,151.18373,0.1,,,306.0,5,,LONGKOU,CNLKU,2026-08-04T02:56:39Z,,,,73.6,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,71.07499999999999,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL,vessel_9774472_20260828T042131Z.json,KANG MAY,636017368.0,Cargo,7.0,,,,12.5,LR,D5KO5,AU GLT,LONGKOU,2026-08-04T02:56:39Z,,,,,10.0,21.4,62.5,1022.5,24135.3,,,12.5,,,LONGKOU,AU GLT,,VLOC_OR_VERY_LARGE,VLOC_OR_VERY_LARGE,True,False,False,0.4,True,False
