model,report_date,target_date,actual,naive,prediction,naive_abs_error,model_abs_error
base_5tc_xgboost,2021-02-22,2021-03-01,11934.0,14224.0,6762.64306640625,2290.0,5171.35693359375
base_5tc_xgboost,2021-03-01,2021-03-08,14794.0,11934.0,14880.8525390625,2860.0,86.8525390625
base_5tc_xgboost,2021-03-22,2021-03-29,19014.0,19437.0,18073.69140625,423.0,940.30859375
base_5tc_xgboost,2021-06-07,2021-06-14,27752.0,20933.0,15143.4697265625,6819.0,12608.5302734375
base_5tc_xgboost,2021-07-19,2021-07-26,32469.0,28572.0,19439.134765625,3897.0,13029.865234375
base_5tc_xgboost,2021-07-26,2021-08-02,35713.0,32469.0,25888.59375,3244.0,9824.40625
base_5tc_xgboost,2022-01-10,2022-01-17,12407.0,19176.0,29468.083984375,6769.0,17061.083984375
base_5tc_xgboost,2022-01-31,2022-02-07,10302.0,8918.0,11893.01171875,1384.0,1591.01171875
base_5tc_xgboost,2022-02-07,2022-02-14,15397.0,10302.0,4469.1796875,5095.0,10927.8203125
base_5tc_xgboost,2022-02-14,2022-02-21,13888.0,15397.0,6991.9365234375,1509.0,6896.0634765625
base_5tc_xgboost,2022-02-21,2022-02-28,14026.0,13888.0,14474.796875,138.0,448.796875
base_5tc_xgboost,2022-03-28,2022-04-04,15460.0,15648.0,25952.25,188.0,10492.25
base_5tc_xgboost,2022-05-16,2022-05-23,37538.0,32733.0,18378.203125,4805.0,19159.796875
base_5tc_xgboost,2026-06-08,2026-06-15,37251.0,44374.0,26968.302734375,7123.0,10282.697265625
base_5tc_xgboost,2026-06-15,2026-06-22,37631.0,37251.0,25030.083984375,380.0,12600.916015625
base_5tc_xgboost,2026-06-22,2026-06-29,33014.0,37631.0,28948.615234375,4617.0,4065.384765625
base_5tc_xgboost,2026-06-29,2026-07-06,37181.0,33014.0,24925.6640625,4167.0,12255.3359375
base_5tc_xgboost,2026-07-06,2026-07-13,21153.0,37181.0,26311.767578125,16028.0,5158.767578125
base_5tc_xgboost,2026-07-13,2026-07-20,37156.0,21153.0,27461.30078125,16003.0,9694.69921875
enriched_market_xgboost,2021-02-22,2021-03-01,11934.0,14224.0,14463.72265625,2290.0,2529.72265625
enriched_market_xgboost,2021-03-01,2021-03-08,14794.0,11934.0,14433.892578125,2860.0,360.107421875
enriched_market_xgboost,2021-03-22,2021-03-29,19014.0,19437.0,18260.578125,423.0,753.421875
enriched_market_xgboost,2021-06-07,2021-06-14,27752.0,20933.0,14633.23046875,6819.0,13118.76953125
enriched_market_xgboost,2021-07-19,2021-07-26,32469.0,28572.0,22793.4140625,3897.0,9675.5859375
enriched_market_xgboost,2021-07-26,2021-08-02,35713.0,32469.0,25810.220703125,3244.0,9902.779296875
enriched_market_xgboost,2022-01-10,2022-01-17,12407.0,19176.0,26970.10546875,6769.0,14563.10546875
enriched_market_xgboost,2022-01-31,2022-02-07,10302.0,8918.0,13038.443359375,1384.0,2736.443359375
enriched_market_xgboost,2022-02-07,2022-02-14,15397.0,10302.0,10113.1767578125,5095.0,5283.8232421875
enriched_market_xgboost,2022-02-14,2022-02-21,13888.0,15397.0,13827.001953125,1509.0,60.998046875
enriched_market_xgboost,2022-02-21,2022-02-28,14026.0,13888.0,14927.076171875,138.0,901.076171875
enriched_market_xgboost,2022-03-28,2022-04-04,15460.0,15648.0,21720.71484375,188.0,6260.71484375
enriched_market_xgboost,2022-05-16,2022-05-23,37538.0,32733.0,22680.806640625,4805.0,14857.193359375
enriched_market_xgboost,2026-06-08,2026-06-15,37251.0,44374.0,30971.8125,7123.0,6279.1875
enriched_market_xgboost,2026-06-15,2026-06-22,37631.0,37251.0,28628.53515625,380.0,9002.46484375
enriched_market_xgboost,2026-06-22,2026-06-29,33014.0,37631.0,31358.076171875,4617.0,1655.923828125
enriched_market_xgboost,2026-06-29,2026-07-06,37181.0,33014.0,24143.35546875,4167.0,13037.64453125
enriched_market_xgboost,2026-07-06,2026-07-13,21153.0,37181.0,33577.28125,16028.0,12424.28125
enriched_market_xgboost,2026-07-13,2026-07-20,37156.0,21153.0,34178.62109375,16003.0,2977.37890625
