imo,vessel_name,route_count,departure_date_count,scenario_rows,max_expected_profit_usd,max_worst_case_profit_usd
9290971,ORIENTAL ENTERPRISE,16,9,228,2992700.0937234513,1961629.7030262216
9324502,WHITE ROSE,16,9,234,2992700.0937234513,1961629.7030262216
9454905,EFESSOS WAVE,16,9,228,2992700.0937234513,1961629.7030262216
9465186,ES GLORY SEA,16,9,234,2992700.0937234513,1961629.7030262216
9519779,MINERAL STONEHENGE,16,9,234,2992700.0937234513,1961629.7030262216
9587350,ANABELA,16,9,234,2992700.0937234513,1961629.7030262216
9599078,POPEYE,16,9,234,2992700.0937234513,1961629.7030262216
9603398,CAPE RAINBOW,16,9,228,2992700.0937234513,1961629.7030262216
9607136,RTM DHAMBUL,5,2,21,969143.1229899606,537820.2656598565
9633159,MAIZURU KICHIJO,16,9,234,2992700.0937234513,1961629.7030262216
9650767,RAGA,16,9,234,2992700.0937234513,1961629.7030262216
