report_date,target_5tc,status,evidence,source,target_date,target_next_5tc,days_to_target,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4,forecast_horizon
2019-09-09,37921.0,GOOD_EXPLICIT,"Fridays 5TC closed down $732 to settle at $37,921.",https://www.drycargomag.com/dry-bulk-week-36-the-baltic-briefing,2019-09-23,31470.0,14.0,29624.0,27145.0,32765.0,19360.0,27223.5,5724.5499677558355,14d
2019-09-23,31470.0,GOOD_EXPLICIT,"The 5TC opened the week at $33,996 to close at $31,470.",https://www.drycargomag.com/dry-bulk-week-38-the-baltic-briefing,2019-10-07,23675.0,14.0,37921.0,29624.0,27145.0,32765.0,31863.75,4647.063974525564,14d
2019-11-25,18930.0,GOOD_EXPLICIT,"The 5TC average opened the week at $20,970 and closed out Friday up $580 to settle at $18,930, illustrating clearly the deteriorating condition of the market.",https://www.drycargomag.com/dry-bulk-week-47-the-baltic-briefing,2019-12-09,23704.0,14.0,23675.0,31470.0,37921.0,29624.0,30672.5,5866.319601476437,14d
2020-02-24,2787.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,445 to close out the week at $2,787.",https://www.drycargomag.com/dry-bulk-week-8,2020-03-09,2542.0,14.0,2445.0,9438.0,10825.0,18002.0,10177.5,6376.531789826399,14d
2021-02-01,15675.0,GOOD_EXPLICIT,"Dropping -8,956 over the course of the week the Capesize 5TC settled at $15,675.",https://www.drycargomag.com/dry-bulk-week-4-2021,2021-02-15,10304.0,14.0,16633.0,14421.0,19952.0,15761.0,16691.75,2356.2175019863244,14d
2021-03-08,14794.0,GOOD_EXPLICIT,"Gaining $920 on the last trading day of the week the Capesize 5TC settled at $14,794, which reflected the solid trading activity.",https://www.drycargomag.com/dry-bulk-week-9-2021,2021-03-22,19437.0,14.0,11934.0,14224.0,10304.0,15675.0,13034.25,2384.2455655126373,14d
2021-08-02,35713.0,GOOD_EXPLICIT,"Dry Bulk: Week 30 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 30 02 August 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market strengthened this week as Pacific routes were affected by weather incidents pushing the 5TC up $3,244 week on week to settle at $35,713.",https://www.drycargomag.com/dry-bulk-week-30-2021,2021-08-16,39526.0,14.0,32469.0,28572.0,27752.0,20933.0,27431.5,4796.191857435787,14d
2021-11-08,27199.0,GOOD_EXPLICIT,"Dry Bulk: Week 44 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 44 08 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market has endured another difficult period of sliding rates as the 5TC sustained losses week-on-week of -8866 to close out at $27,199.",https://www.drycargomag.com/dry-bulk-week-44-2021,2021-11-22,29938.0,14.0,61309.0,46647.0,39526.0,35713.0,45798.75,11289.480778583222,14d
2022-01-17,12407.0,GOOD_EXPLICIT,"Dry Bulk: Week 2 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 2 17 January 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market endured a somewhat traditional post-holiday Q1 drop as the 5TC descended -7760 over the week to settle at $12,407.",https://www.drycargomag.com/dry-bulk-week-2-2022,2022-01-31,8918.0,14.0,19176.0,40035.0,29938.0,27199.0,29087.0,8609.594841415788,14d
2022-02-28,14026.0,GOOD_EXPLICIT,"The Capesize 5TC reached a high of $18,181 Wednesday before shedding -4155 by weeks end to close at $14,026.",https://www.drycargomag.com/dry-bulk-report-week-8-2022,2022-03-14,22195.0,14.0,13888.0,15397.0,10302.0,8918.0,12126.25,3023.371448675583,14d
