Date,Price,Open,High,Low,Vol.,Change %
"Aug 26, 2026",3056.0,3056.0,3056.0,3056.0,,+4.44%
"Aug 25, 2026",2926.0,2926.0,2926.0,2926.0,,+1.53%
"Aug 24, 2026",2882.0,2882.0,2882.0,2882.0,,+1.44%
"Aug 21, 2026",2841.0,2841.0,2841.0,2841.0,,+1.79%
"Aug 20, 2026",2791.0,2791.0,2791.0,2791.0,,+0.54%
"Aug 19, 2026",2776.0,2776.0,2776.0,2776.0,,-1.39%
"Aug 18, 2026",2815.0,2815.0,2815.0,2815.0,,-2.19%
"Aug 17, 2026",2878.0,2878.0,2878.0,2878.0,,+0.52%
"Aug 14, 2026",2863.0,2863.0,2863.0,2863.0,,+0.67%
"Aug 13, 2026",2844.0,2844.0,2844.0,2844.0,,-3.23%
"Aug 12, 2026",2939.0,2939.0,2939.0,2939.0,,-3.51%
"Aug 11, 2026",3046.0,3046.0,3046.0,3046.0,,-1.20%
"Aug 10, 2026",3083.0,3083.0,3083.0,3083.0,,-0.19%
"Aug 07, 2026",3089.0,3089.0,3089.0,3089.0,,+1.05%
"Aug 06, 2026",3057.0,3057.0,3057.0,3057.0,,-0.20%
"Aug 05, 2026",3063.0,3063.0,3063.0,3063.0,,+4.33%
"Aug 04, 2026",2936.0,2936.0,2936.0,2936.0,,+3.27%
"Aug 03, 2026",2843.0,2843.0,2843.0,2843.0,,+4.06%
"Jul 31, 2026",2732.0,2732.0,2732.0,2732.0,,+2.21%
"Jul 30, 2026",2673.0,2673.0,2673.0,2673.0,,+1.56%
"Jul 29, 2026",2632.0,2632.0,2632.0,2632.0,,-1.20%
"Jul 28, 2026",2664.0,2664.0,2664.0,2664.0,,-1.19%
"Jul 27, 2026",2696.0,2696.0,2696.0,2696.0,,-1.71%
