report_date,capesize_5tc_usd_per_day,source,source_sentence
2019-04-15,5737.0,https://www.drycargomag.com/dry-bulk-week-15-the-baltic-briefing,"The Baltic Capesize Index (BCI) 5TC opened on Monday at $5,099, although by Friday’s close most gains were lost, and it finished up at $5,737, a modest gain of $638."
2019-05-27,12243.0,https://www.drycargomag.com/dry-bulk-market-capesize-market-in-full-swing,"The Capesize 5TC closed on Friday at $12,243, a gain of $334 from the previous week."
2019-06-10,15007.0,https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing,"The Cape 5TC opened the week at $12,987 and closed out Friday at $15,007."
2019-07-22,32765.0,https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing,"The Capesize 5TC opened the week at $26,705 to close Friday at $32,765, an increase of more than 22%."
2019-08-19,29624.0,https://www.drycargomag.com/dry-bulk-week-33-the-baltic-briefing,"The Capesize 5TC opened the week at $24,022 to close at $29,624."
2019-08-27,30437.0,https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing,"The Capesize 5TC routes opened the week at $29,624, dropped down to $28,431, before closing the week out at $30,437."
2019-09-02,34583.0,https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing,"Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week."
2019-10-07,23675.0,https://www.drycargomag.com/dry-bulk-week-40-the-baltic-briefing,"The Capesize 5TC opened the week at $24,916, reached a low of $23,425 Thursday, before closing up Friday +$250 to settle at $23,675."
2019-12-09,23704.0,https://www.drycargomag.com/dry-bulk-week-49-the-baltic-briefing,"The Capesize 5TC closed the week down -$525 to settle at $23,704."
2020-01-13,9438.0,https://www.drycargomag.com/dry-bulk-week-2,"Opening the week at $10,825, the Capesize 5TC fell away to $9,020, before staging a small rally to close Friday at $9,438."
2020-01-20,8352.0,https://www.drycargomag.com/dry-bulk-week-3,"While the Capesize 5TC still softened marginally, opening the week at $9,438 and closing it at $8,352, market fundamentals appear to have stabilised with a dismal floor for owners in the Pacific and a tight tonnage situation in the Atlantic commanding a premium."
2020-02-17,2445.0,https://www.drycargomag.com/dry-bulk-week-7,"The Capesize 5TC opened the week at $2,660 to close out at $2,445."
2020-02-24,2787.0,https://www.drycargomag.com/dry-bulk-week-8,"The Capesize 5TC opened the week at $2,445 to close out the week at $2,787."
2020-03-09,2542.0,https://www.drycargomag.com/dry-bulk-week-10,"The Capesize 5TC market closed out the week at $2,542."
2020-03-16,2797.0,https://www.drycargomag.com/dry-bulk-week-11,"The Capesize 5TC opened the week at $2,542 to close at $2,797."
2020-03-23,4067.0,https://www.drycargomag.com/dry-bulk-week-12,"With the market in a constant state of flux on a seemingly endless news cycle, increasing restrictions and disruptions, the Cape 5TC managed a lift out of its recent range to settle the week at $4,067, a lift of +$1,270 for the week."
2020-03-30,3675.0,https://www.drycargomag.com/dry-bulk-week-13,"The Cape 5TC closed out the week at $3,675, down -392."
2020-04-06,5949.0,https://www.drycargomag.com/dry-bulk-week-14,"The market remains a touch above OPEX levels, with the Cape 5TC closing the week at $5,949."
2020-04-20,9875.0,https://www.drycargomag.com/dry-bulk-week-16,"The Capesize 5TC opened the shortened week at $6,762 to close out at $9,875."
2020-09-21,15761.0,https://www.drycargomag.com/dry-bulk-week-38,"The Capesize 5TC opened the week at $15,248 to close at $15,761."
2020-10-19,19952.0,https://www.drycargomag.com/dry-bulk-week-42,"Opening at $29,479, the Capesize 5TC has closed the week at $19,952, a drop of almost -30%."
2020-11-30,12712.0,https://www.drycargomag.com/dry-bulk-week-48,"Dry Bulk: Week 48 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 48 30 November 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market this week continued its recent range bound sideways drift hitting a low of $11,996 Tuesday on the 5TC, before closing the week out at $12,712."
2021-01-11,16633.0,https://www.drycargomag.com/dry-bulk-week-1-2021,"The Capesize 5TC ended 2020 at $16,633 and now closes out its opening week of 2021 at a resounding $21,131."
2021-01-18,23989.0,https://www.drycargomag.com/dry-bulk-week-2-2021,"Opening the second full week of the year at $21,131 the Capesize 5TC peaked mid-week at $26,489, before closing down to end the week at $23,989."
2021-02-01,15675.0,https://www.drycargomag.com/dry-bulk-week-4-2021,"Dropping -8,956 over the course of the week the Capesize 5TC settled at $15,675."
2021-02-15,10304.0,https://www.drycargomag.com/dry-bulk-week-6-2021,"The Capesize 5TC registered a token drop of eight to settle at $10,304 as minimal trading was heard."
2021-02-22,14224.0,https://www.drycargomag.com/dry-bulk-week-7-2021,"From last Friday at $10,304, the Capesize 5TC reached a high on Wednesday of $15,856 before retreating to close the week out at $14,224."
2021-03-08,14794.0,https://www.drycargomag.com/dry-bulk-week-9-2021,"Gaining $920 on the last trading day of the week the Capesize 5TC settled at $14,794, which reflected the solid trading activity."
2021-03-22,19437.0,https://www.drycargomag.com/dry-bulk-week-11-2021,"Dry Bulk: Week 11 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 11 22 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize A steady build for the Capesize market saw the 5TC lift $2,696 to settle the week at $19,437."
2021-05-17,34542.0,https://www.drycargomag.com/dry-bulk-week-19,"Dry Bulk: Week 19 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 19 17 May 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize As the week progressed it became clear that the Capesize market wasn’t having a small retracement but was in for a more significant downturn as the 5TC dropped $6,972 week-on-week to settle at $34,542."
2021-06-07,20933.0,https://www.drycargomag.com/dry-bulk-week-22-2021,"Dry Bulk: Week 22 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 22 07 June 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market found little to support levels this week as a steady slide in rates saw the 5TC drop $4,681 over the week to settle at $20,933."
2021-06-14,27752.0,https://www.drycargomag.com/dry-bulk-week-23-2021,"The Capesize 5TC opened the week with a relatively paltry $20,933, took some moderate losses early in the week to $19,845 before rebounding strongly to close out the week at $27,752."
