date,target_5tc,lag_1,lag_2,lag_3,lag_4,lag_8,rolling_mean_4,rolling_mean_8,rolling_std_4,target_next_week
2019-08-19,29624.0,32765.0,15007.0,12243.0,5737.0,,16438.0,,11557.510054794098,30437.0
2019-08-27,30437.0,29624.0,32765.0,15007.0,12243.0,,22409.75,,10286.562735757105,34583.0
2019-09-02,34583.0,30437.0,29624.0,32765.0,15007.0,,26958.25,,8077.92561552779,23675.0
2019-10-07,23675.0,34583.0,30437.0,29624.0,32765.0,,31852.25,,2255.2264298735104,23704.0
2019-12-09,23704.0,23675.0,34583.0,30437.0,29624.0,5737.0,29579.75,23008.875,4495.75424706467,9438.0
2020-01-13,9438.0,23704.0,23675.0,34583.0,30437.0,12243.0,28099.75,25254.75,5366.448196898952,8352.0
2020-01-20,8352.0,9438.0,23704.0,23675.0,34583.0,15007.0,22850.0,24904.125,10311.077764553358,2445.0
2020-02-17,2445.0,8352.0,9438.0,23704.0,23675.0,32765.0,16292.25,24072.25,8553.115392455937,2787.0
2020-02-24,2787.0,2445.0,8352.0,9438.0,23704.0,29624.0,10984.75,20282.25,9019.06238197741,2542.0
2020-03-09,2542.0,2787.0,2445.0,8352.0,9438.0,30437.0,5755.5,16927.625,3654.8607360609553,2797.0
2020-03-16,2797.0,2542.0,2787.0,2445.0,8352.0,34583.0,4031.5,13440.75,2883.9263166731616,4067.0
2020-03-23,4067.0,2797.0,2542.0,2787.0,2445.0,23675.0,2642.75,9467.5,176.87731152796934,3675.0
2020-03-30,3675.0,4067.0,2797.0,2542.0,2787.0,23704.0,3048.25,7016.5,689.3278731247531,5949.0
2020-04-06,5949.0,3675.0,4067.0,2797.0,2542.0,9438.0,3270.25,4512.875,719.4782252901721,9875.0
2020-04-20,9875.0,5949.0,3675.0,4067.0,2797.0,8352.0,4122.0,4076.75,1328.7071410460228,15761.0
2020-09-21,15761.0,9875.0,5949.0,3675.0,4067.0,2445.0,5891.5,4267.125,2835.0926498676126,19952.0
2020-10-19,19952.0,15761.0,9875.0,5949.0,3675.0,2787.0,8815.0,5931.625,5291.63087651939,12712.0
2020-11-30,12712.0,19952.0,15761.0,9875.0,5949.0,2542.0,12884.25,8077.25,6201.668021589033,16633.0
