report_date,original_value,evidence_level,values_in_sentence,sentence,source
2019-07-15,27389.0,STRONG,27389,"The C5TC continued its rise, closing out on Friday at $27,389 surpassing highs of 2018 while still looking stable and supported.",https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing
2019-08-05,25749.0,MEDIUM,"32963,25749","Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing
2019-08-12,24022.0,MEDIUM,24022,"The Cape 5TC was published at $24,022.",https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing
2019-08-27,29624.0,WEAK,"29624,28431,30437","The Capesize 5TC routes opened the week at $29,624, dropped down to $28,431, before closing the week out at $30,437.",https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing
2019-09-02,34583.0,STRONG,"34583,4146","Dry Bulk Week 35: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 35: The Baltic Briefing 02 September 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 35 Capesize The market continued to firm all week, with the 5TC closing on Friday at $34,583, up $4,146 for the week.",https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing
2019-10-21,26382.0,WEAK,"26382,25117","The 5TC opened the week at $26,382 before closing on a slightly down note Friday at $25,117.",https://www.drycargomag.com/dry-bulk-week-42-the-baltic-briefing
2019-12-02,23865.0,MEDIUM,"18930,23865","Opening the week at $18,930 on the Capesize 5TC, it has now lifted to $23,865.",https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing
2020-01-20,9438.0,WEAK,"9438,8352","While the Capesize 5TC still softened marginally, opening the week at $9,438 and closing it at $8,352, market fundamentals appear to have stabilised with a dismal floor for owners in the Pacific and a tight tonnage situation in the Atlantic commanding a premium.",https://www.drycargomag.com/dry-bulk-week-3
2020-01-27,8352.0,WEAK,"8352,4772","Dry Bulk: Week 4 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 4 27 January 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 4 Capesize The market endured heavy losses throughout the past week, with the Capesize 5TC dropping from $8,352 to $4,772.",https://www.drycargomag.com/dry-bulk-week-4
2020-03-02,2274.0,WEAK,"2274,3000","The Capesize 5TC, now $2,274, has remained below $3,000 for three weeks straight, whilst market conditions seemingly continue to deteriorate.",https://www.drycargomag.com/dry-bulk-week-9
