date,five_tc,lag_1,lag_2,lag_3,lag_4,mean_4,std_4,target_date,target_5tc,days_until_target
2019-08-19,29624.0,32765.0,15007.0,12243.0,5737.0,16438.0,11557.510054794098,2019-08-27,30437.0,8.0
2019-08-27,30437.0,29624.0,32765.0,15007.0,12243.0,22409.75,10286.562735757105,2019-09-02,34583.0,6.0
2019-09-02,34583.0,30437.0,29624.0,32765.0,15007.0,26958.25,8077.92561552779,2019-10-07,23675.0,35.0
2019-10-07,23675.0,34583.0,30437.0,29624.0,32765.0,31852.25,2255.2264298735104,2019-12-09,23704.0,63.0
2019-12-09,23704.0,23675.0,34583.0,30437.0,29624.0,29579.75,4495.75424706467,2020-01-13,9438.0,35.0
2020-01-13,9438.0,23704.0,23675.0,34583.0,30437.0,28099.75,5366.448196898952,2020-01-20,8352.0,7.0
2020-01-20,8352.0,9438.0,23704.0,23675.0,34583.0,22850.0,10311.077764553358,2020-02-17,2445.0,28.0
2020-02-17,2445.0,8352.0,9438.0,23704.0,23675.0,16292.25,8553.115392455937,2020-02-24,2787.0,7.0
2020-02-24,2787.0,2445.0,8352.0,9438.0,23704.0,10984.75,9019.06238197741,2020-03-09,2542.0,14.0
2020-03-09,2542.0,2787.0,2445.0,8352.0,9438.0,5755.5,3654.8607360609553,2020-03-16,2797.0,7.0
2020-03-16,2797.0,2542.0,2787.0,2445.0,8352.0,4031.5,2883.9263166731616,2020-03-23,4067.0,7.0
2020-03-23,4067.0,2797.0,2542.0,2787.0,2445.0,2642.75,176.87731152796934,2020-03-30,3675.0,7.0
2020-03-30,3675.0,4067.0,2797.0,2542.0,2787.0,3048.25,689.3278731247531,2020-04-06,5949.0,7.0
2020-04-06,5949.0,3675.0,4067.0,2797.0,2542.0,3270.25,719.4782252901721,2020-04-20,9875.0,14.0
2020-04-20,9875.0,5949.0,3675.0,4067.0,2797.0,4122.0,1328.7071410460228,2020-09-21,15761.0,154.0
2020-09-21,15761.0,9875.0,5949.0,3675.0,4067.0,5891.5,2835.0926498676126,2020-10-19,19952.0,28.0
2020-10-19,19952.0,15761.0,9875.0,5949.0,3675.0,8815.0,5291.63087651939,2020-11-30,12712.0,42.0
2020-11-30,12712.0,19952.0,15761.0,9875.0,5949.0,12884.25,6201.668021589033,2021-01-11,16633.0,42.0
2021-01-11,16633.0,12712.0,19952.0,15761.0,9875.0,14575.0,4315.842675538583,2021-01-18,23989.0,7.0
2021-01-18,23989.0,16633.0,12712.0,19952.0,15761.0,16264.5,2978.098778303595,2021-02-01,15675.0,14.0
2021-02-01,15675.0,23989.0,16633.0,12712.0,19952.0,18321.5,4799.187743774985,2021-02-15,10304.0,14.0
2021-02-15,10304.0,15675.0,23989.0,16633.0,12712.0,17252.25,4791.271882287629,2021-02-22,14224.0,7.0
2021-02-22,14224.0,10304.0,15675.0,23989.0,16633.0,16650.25,5629.788354518018,2021-03-08,14794.0,14.0
2021-03-08,14794.0,14224.0,10304.0,15675.0,23989.0,16048.0,5759.604210939038,2021-03-22,19437.0,14.0
2021-03-22,19437.0,14794.0,14224.0,10304.0,15675.0,13749.25,2373.1238730135224,2021-05-17,34542.0,56.0
2021-05-17,34542.0,19437.0,14794.0,14224.0,10304.0,14689.75,3741.611807318699,2021-06-07,20933.0,21.0
2021-06-07,20933.0,34542.0,19437.0,14794.0,14224.0,20749.25,9486.93562660427,2021-06-14,27752.0,7.0
2021-06-14,27752.0,20933.0,34542.0,19437.0,14794.0,22426.5,8489.366858998774,2021-07-05,29106.0,21.0
2021-07-05,29106.0,27752.0,20933.0,34542.0,19437.0,25666.0,6936.293486678125,2021-07-19,28572.0,14.0
2021-07-19,28572.0,29106.0,27752.0,20933.0,34542.0,28083.25,5597.537278422841,2021-07-26,4000.0,7.0
2021-07-26,4000.0,28572.0,29106.0,27752.0,20933.0,26590.75,3812.718660396198,2021-08-02,35713.0,7.0
2021-08-02,35713.0,4000.0,28572.0,29106.0,27752.0,22357.5,12250.995864282491,2021-09-06,46647.0,35.0
2021-09-06,46647.0,35713.0,4000.0,28572.0,29106.0,24347.75,13948.537184354975,2021-09-27,61309.0,21.0
2021-09-27,61309.0,46647.0,35713.0,4000.0,28572.0,28733.0,18086.634162644343,2021-10-11,83865.0,14.0
2021-10-11,83865.0,61309.0,46647.0,35713.0,4000.0,36917.25,24321.60266614846,2021-11-08,27199.0,28.0
2021-11-08,27199.0,83865.0,61309.0,46647.0,35713.0,56883.5,20821.16227143272,2021-11-22,29938.0,14.0
2021-11-22,29938.0,27199.0,83865.0,61309.0,46647.0,54755.0,23912.478025778368,2021-12-13,40035.0,21.0
2021-12-13,40035.0,29938.0,27199.0,83865.0,61309.0,50577.75,27054.056816862052,2022-01-10,19176.0,28.0
2022-01-10,19176.0,40035.0,29938.0,27199.0,83865.0,45259.25,26322.424234544455,2022-01-17,12407.0,7.0
2022-01-17,12407.0,19176.0,40035.0,29938.0,27199.0,29087.0,8609.59484141578,2022-02-07,10302.0,21.0
2022-02-07,10302.0,12407.0,19176.0,40035.0,29938.0,25389.0,12142.657726653853,2022-02-14,15397.0,7.0
2022-02-14,15397.0,10302.0,12407.0,19176.0,40035.0,20480.0,13575.264932958025,2022-02-21,13888.0,7.0
2022-02-21,13888.0,15397.0,10302.0,12407.0,19176.0,14320.5,3853.3343569779295,2022-02-28,14026.0,7.0
2022-02-28,14026.0,13888.0,15397.0,10302.0,12407.0,12998.5,2172.939407039808,2022-03-14,22195.0,14.0
2022-03-14,22195.0,14026.0,13888.0,15397.0,10302.0,13403.25,2176.8165402715604,2022-03-28,15648.0,14.0
2022-03-28,15648.0,22195.0,14026.0,13888.0,15397.0,16376.5,3938.3518126241397,2022-05-23,37538.0,56.0
2022-05-23,37538.0,15648.0,22195.0,14026.0,13888.0,16439.25,3919.4977037880562,2022-06-20,24776.0,28.0
2022-06-20,24776.0,37538.0,15648.0,22195.0,14026.0,22351.75,10722.330852788797,2022-07-18,24209.0,28.0
2022-07-18,24209.0,24776.0,37538.0,15648.0,22195.0,25039.25,9175.572402671482,2022-10-17,17965.0,91.0
2022-10-17,17965.0,24209.0,24776.0,37538.0,15648.0,25542.75,9021.43548721598,2026-02-09,26468.0,1211.0
2026-02-09,26468.0,17965.0,24209.0,24776.0,37538.0,26122.0,8212.44969543192,2026-02-16,28849.0,7.0
