report_date,target_5tc,source,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4,target_date,target_next_5tc,days_to_target
2019-06-10,15007.0,https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing,12243.0,11621.0,5737.0,4881.0,8620.5,3848.113780369113,2019-06-17,14203.0,7.0
2019-06-17,14203.0,https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing,15007.0,12243.0,11621.0,5737.0,11152.0,3898.4395168665455,2019-06-24,17947.0,7.0
2019-06-24,17947.0,https://www.drycargomag.com/dry-bulk-week-25-the-baltic-briefing,14203.0,15007.0,12243.0,11621.0,13268.5,1598.0799938259245,2019-07-01,19360.0,7.0
2019-07-22,32765.0,https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing,19360.0,17947.0,14203.0,15007.0,16629.25,2429.8041587749412,2019-07-29,27145.0,7.0
2019-12-09,23704.0,https://www.drycargomag.com/dry-bulk-week-49-the-baltic-briefing,18930.0,23675.0,31470.0,37921.0,27999.0,8395.190329389005,2019-12-16,18002.0,7.0
2020-01-06,10825.0,https://www.drycargomag.com/dry-bulk-week-1,18002.0,23704.0,18930.0,23675.0,21077.75,3039.515572696851,2020-01-13,9438.0,7.0
2020-02-17,2445.0,https://www.drycargomag.com/dry-bulk-week-7,9438.0,10825.0,18002.0,23704.0,15492.25,6637.490709346919,2020-02-24,2787.0,7.0
2020-03-09,2542.0,https://www.drycargomag.com/dry-bulk-week-10,2787.0,2445.0,9438.0,10825.0,6373.75,4378.093449208229,2020-03-16,2797.0,7.0
2020-03-16,2797.0,https://www.drycargomag.com/dry-bulk-week-11,2542.0,2787.0,2445.0,9438.0,4303.0,3426.3569574695516,2020-03-23,4067.0,7.0
2020-03-23,4067.0,https://www.drycargomag.com/dry-bulk-week-12,2797.0,2542.0,2787.0,2445.0,2642.75,176.87731152789212,2020-03-30,3675.0,7.0
2020-04-20,9875.0,https://www.drycargomag.com/dry-bulk-week-16,3675.0,4067.0,2797.0,2542.0,3270.25,719.4782252901531,2020-04-27,8381.0,7.0
