report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category,capesize_5tc_usd_per_day,c5_usd_per_mt,validation_score,validation_status,validation_reason,validated_source,source_context,evidence_text,mentions_5tc,mentions_capesize,mentions_bci,mentions_ultramax,mentions_supramax,has_direct_5tc_signal,promotion_candidate,extracted_source_value,value_matches_target,revalidation_status,target_value_present_in_evidence,has_5tc_semantic,has_capesize_semantic,has_bci_semantic,has_wrong_segment_semantic,corrected_validation_status,corrected_target_tier,target_date,target_next_5tc,days_to_target,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4,change_abs,change_pct,change_pct_100
2019-08-05,25749.0,REVIEW_LEVEL,"Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,,,,,,,25749.0,,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,,"Dry Bulk Week 31: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 31: The Baltic Briefing 05 August 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 31 Capesize Having hit a high of $32,963 early last week, the Capesize 5TC now stands at $25,749.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,25749.0,True,REVALIDATED_CLEAR,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-08-12,24022.0,7.0,32765.0,15007.0,12243.0,11621.0,17909.0,10012.739218948363,-1727.0,-0.06707056584721736,-6.7070565847217365
2019-08-12,24022.0,REVIEW_LEVEL,"The Cape 5TC was published at $24,022.",https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,,,,,,,24022.0,,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,,"The Cape 5TC was published at $24,022.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,24022.0,True,REVALIDATED_CLEAR,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-08-19,29624.0,7.0,25749.0,32765.0,15007.0,12243.0,21441.0,9535.746780754336,5602.0,0.23320289734410124,23.320289734410125
2019-08-19,29624.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $24,022 to close at $29,624.",https://www.drycargomag.com/dry-bulk-week-33-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,24022.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-08-27,30437.0,8.0,24022.0,25749.0,32765.0,15007.0,24385.75,7306.698906939211,813.0,0.027443964353227112,2.7443964353227113
2019-08-27,30437.0,REVIEW_LEVEL,"The Capesize 5TC routes opened the week at $29,624, dropped down to $28,431, before closing the week out at $30,437.",https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing,,,,,,,29624.0,10.498,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing,,"The Capesize 5TC routes opened the week at $29,624, dropped down to $28,431, before closing the week out at $30,437.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,29624.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-09-02,34583.0,6.0,29624.0,24022.0,25749.0,32765.0,28040.0,3925.459038974508,4146.0,0.1362157899924434,13.62157899924434
2019-12-02,23865.0,REVIEW_NO_DIRECT_EVIDENCE,"Opening the week at $18,930 on the Capesize 5TC, it has now lifted to $23,865.",https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing,,,,,,,23865.0,9.95,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing,,"Opening the week at $18,930 on the Capesize 5TC, it has now lifted to $23,865.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,23865.0,True,REVALIDATED_CLEAR,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-12-09,23704.0,7.0,23675.0,34583.0,30437.0,29624.0,29579.75,4495.754247064668,-161.0,-0.006746281164885816,-0.6746281164885816
2019-12-09,23704.0,GOOD_EXPLICIT,"The Capesize 5TC closed the week down -$525 to settle at $23,704.",https://www.drycargomag.com/dry-bulk-week-49-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,525.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2019-12-16,18002.0,7.0,23865.0,23675.0,34583.0,30437.0,28140.0,5322.916118069117,-5702.0,-0.24055011812352345,-24.055011812352344
2020-01-13,9438.0,GOOD_EXPLICIT,"Opening the week at $10,825, the Capesize 5TC fell away to $9,020, before staging a small rally to close Friday at $9,438.",https://www.drycargomag.com/dry-bulk-week-2,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,9020.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2020-01-20,8352.0,7.0,18002.0,23704.0,23865.0,23675.0,22311.5,2874.2153132057906,-1086.0,-0.11506675143038779,-11.506675143038779
2020-01-20,8352.0,REVIEW_NO_DIRECT_EVIDENCE,"While the Capesize 5TC still softened marginally, opening the week at $9,438 and closing it at $8,352, market fundamentals appear to have stabilised with a dismal floor for owners in the Pacific and a tight tonnage situation in the Atlantic commanding a premium.",https://www.drycargomag.com/dry-bulk-week-3,,,,,,,9438.0,6.832,0.0,UNVERIFIED,Could not find exact 5TC context,https://www.drycargomag.com/dry-bulk-week-3,,"While the Capesize 5TC still softened marginally, opening the week at $9,438 and closing it at $8,352, market fundamentals appear to have stabilised with a dismal floor for owners in the Pacific and a tight tonnage situation in the Atlantic commanding a premium.",True,True,False,False,False,True,POTENTIAL_TIER_A_REVIEW,9438.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2020-01-27,4772.0,7.0,9438.0,18002.0,23704.0,23865.0,18752.25,6781.793488205511,-3580.0,-0.428639846743295,-42.8639846743295
2020-02-17,2445.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,660 to close out at $2,445.",https://www.drycargomag.com/dry-bulk-week-7,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,2660.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2020-02-24,2787.0,7.0,4772.0,8352.0,9438.0,18002.0,10141.0,5607.025711848781,342.0,0.13987730061349693,13.987730061349692
2020-02-24,2787.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,445 to close out the week at $2,787.",https://www.drycargomag.com/dry-bulk-week-8,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,,,,,,,,,,,,,,,,2445.0,False,MANUAL_REVIEW_VALUE_MISMATCH,True,True,True,False,False,CORRECTED_REVALIDATED_CLEAR,A_REVALIDATED,2020-03-02,2274.0,7.0,2445.0,4772.0,8352.0,9438.0,6251.75,3227.188908322534,-513.0,-0.18406889128094725,-18.406889128094726
