route_id,assessment_date,origin,destination,vessel_class,cargo_type,source_name,data_type,mvp_core,is_east_coast_india,base_route_freight_rate,freight_rate_unit,scenario,current_5tc,scenario_5tc,market_multiplier,scenario_route_freight_rate,cargo_quantity_mt,distance_nm,distance_source,speed_knots,sea_days,port_days,total_voyage_days,bunker_consumption_mt_per_day,fuel_consumption_mt,daily_opex_usd,other_voyage_cost_usd,assumption_flag,bunker_price_usd_per_mt,bunker_reference_date,bunker_cost_usd,opex_cost_usd,total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,route_feasibility,economics_method,market_scaling_assumption
0,2008-10-07,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,No,Yes,47.0,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,36.095879007054066,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,2657559.0918943556,2294044.4668943556,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
0,2008-10-07,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,No,Yes,47.0,$/mt,base,41155.0,41155.0,1.0,47.0,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,3460375.0,3096860.375,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
0,2008-10-07,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,Tolani Shipping / SAIL Charter Party (ITAT / Indian Kanoon),reported fixture,No,Yes,47.0,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,67.20481298309544,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,4947954.355880401,4584439.730880401,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
1,2020-12-15,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,The Shipping Tribune,estimate,No,No,19.35,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,14.86075018694673,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,811768.4789619651,448253.85396196507,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
1,2020-12-15,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,The Shipping Tribune,estimate,No,No,19.35,$/mt,base,41155.0,41155.0,1.0,19.35,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1056993.75,693479.125,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
1,2020-12-15,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,The Shipping Tribune,estimate,No,No,19.35,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,27.668364494104186,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1511384.4104904411,1147869.7854904411,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
2,2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,coking coal,The Shipping Tribune,reported fixture,Yes,Yes,13.8,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,10.598364474411621,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,780304.5844285556,416789.95942855556,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
2,2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,coking coal,The Shipping Tribune,reported fixture,Yes,Yes,13.8,$/mt,base,41155.0,41155.0,1.0,13.8,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1016025.0,652510.375,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
2,2020-12-15,"Hay Point, Australia","Paradip, India",Panamax,coking coal,The Shipping Tribune,reported fixture,Yes,Yes,13.8,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,19.73247700354717,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1452803.6193861605,1089288.9943861605,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
3,2021-08-06,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,The Shipping Tribune / Platts,estimate,No,No,18.45,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,14.169552503832927,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,774011.8055218736,410497.18052187364,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
