route_id,origin,destination,vessel_class,cargo_type,scenario,alternative_value_usd,sail_value_usd,kill_penalty_threshold_usd,kill_preferred_when_penalty_greater_than,decision_at_zero_penalty
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,0.0,1982830.510986513,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,250000.0,1982830.510986513,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,500000.0,1982830.510986513,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,1000000.0,1982830.510986513,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,0.0,2745505.6236868748,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,250000.0,2745505.6236868748,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,500000.0,2745505.6236868748,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,1000000.0,2745505.6236868748,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bull,0.0,4158706.011773256,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bull,250000.0,4158706.011773256,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bull,500000.0,4158706.011773256,0.0,0.0,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bull,1000000.0,4158706.011773256,0.0,0.0,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,bear,0.0,328145.83183193475,0.0,0.0,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,bear,250000.0,328145.83183193475,0.0,0.0,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,bear,500000.0,328145.83183193475,171854.16816806525,171854.16816806525,KILL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,bear,1000000.0,328145.83183193475,671854.1681680653,671854.1681680653,KILL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,base,0.0,561109.839318068,0.0,0.0,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,base,250000.0,561109.839318068,0.0,0.0,SAIL
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,base,500000.0,561109.839318068,0.0,0.0,SAIL
