route_id,contract_id,origin,destination,vessel_class,cargo_type,sail,decision,expected_incremental_value_usd,bear_incremental_value_usd,base_incremental_value_usd,bull_incremental_value_usd,worst_case_scenario,worst_case_value_usd,best_case_scenario,best_case_value_usd
0,CONTRACT_000,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,1,SAIL,3008136.94253338,2082830.510986513,2845505.6236868748,4258706.011773257,bear,2082830.510986513,bull,4258706.011773257
1,CONTRACT_001,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,0,KILL,710786.6193130144,428145.8318319348,661109.839318068,1092780.966783987,bear,428145.8318319348,bull,1092780.966783987
2,CONTRACT_002,"Hay Point, Australia","Paradip, India",Panamax,coking coal,0,KILL,573896.3054524597,302210.58725359244,526144.9820464647,941084.6704633172,bear,302210.58725359244,bull,941084.6704633172
3,CONTRACT_003,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,0,KILL,645398.1753743349,375903.4710319103,598031.9432861302,1009625.3438931692,bear,375903.4710319103,bull,1009625.3438931692
4,CONTRACT_004,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,1,SAIL,1268462.3599448227,809746.6183481847,1187838.7486868748,1888425.324057357,bear,809746.6183481847,bull,1888425.324057357
5,CONTRACT_005,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,1,SAIL,1109745.438486066,694341.9128341745,1036734.3570464648,1671171.1270171597,bear,694341.9128341745,bull,1671171.1270171597
6,CONTRACT_006,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,0,KILL,676249.1644427938,443938.1880118781,635418.3226898415,990221.824379614,bear,443938.1880118781,bull,990221.824379614
7,CONTRACT_007,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,0,KILL,649739.2570227156,415300.7743833705,608534.4860191554,966587.2816691812,bear,415300.7743833705,bull,966587.2816691812
8,CONTRACT_008,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,0,KILL,668144.9569297567,410240.3983496727,622815.8021023266,1016707.8251647007,bear,410240.3983496727,bull,1016707.8251647007
9,CONTRACT_009,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,1,SAIL,949363.4484378137,583178.3499958622,885002.969064516,1444269.5056263604,bear,583178.3499958622,bull,1444269.5056263604
10,CONTRACT_010,Indonesia,"Paradip, India",Supramax,thermal coal,1,SAIL,953019.415335163,641895.4477203311,898336.4482089429,1373509.3172024349,bear,641895.4477203311,bull,1373509.3172024349
11,CONTRACT_011,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,1,SAIL,1602450.518205495,1054157.239086767,1506082.8111868748,2343479.2113614646,bear,1054157.239086767,bull,2343479.2113614646
13,CONTRACT_013,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,1,SAIL,1101483.6559435732,714404.5413054023,1033450.85646729,1624628.369534311,bear,714404.5413054023,bull,1624628.369534311
14,CONTRACT_014,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,0,KILL,592555.1802981836,373453.7946539358,554046.0485191554,888674.8295004879,bear,373453.7946539358,bull,888674.8295004879
15,CONTRACT_015,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,0,KILL,925587.4679884482,541683.7357509183,858112.7718712812,1444440.592460312,bear,541683.7357509183,bull,1444440.592460312
16,CONTRACT_016,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,1,SAIL,1954898.011279202,1332523.060753513,1845509.752892397,2796049.4785785014,bear,1332523.060753513,bull,2796049.4785785014
17,CONTRACT_017,"Queensland, Australia","Haldia, India",Panamax,coking coal,1,SAIL,1067693.4218749523,668039.7929302417,997450.5330965682,1607832.8283764308,bear,668039.7929302417,bull,1607832.8283764308
18,CONTRACT_018,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,0,KILL,516763.9846323041,264765.6373174128,472472.9020528305,857344.4971061426,bear,264765.6373174128,bull,857344.4971061426
19,CONTRACT_019,"Richards Bay, South Africa","Kandla, India",Capesize,coal,1,SAIL,2549319.8024501926,1773573.8819735297,2412975.151818068,3597755.024191104,bear,1773573.8819735297,bull,3597755.024191104
20,CONTRACT_020,East Coast Australia,East Coast India,Panamax,coal,0,KILL,817078.8128855842,468612.3482392109,755832.5502561559,1288037.802790814,bear,468612.3482392109,bull,1288037.802790814
21,CONTRACT_021,Indonesia,East Coast India,Panamax,coal,0,KILL,615124.2704659824,394625.7165654523,576369.5732089429,913132.2188805912,bear,394625.7165654523,bull,913132.2188805912
22,CONTRACT_022,Indonesia,West Coast India,Panamax,coal,0,KILL,601193.3125967176,348210.5967376274,556729.2179759179,943104.2176974072,bear,348210.5967376274,bull,943104.2176974072
23,CONTRACT_023,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,1,SAIL,2874815.767282543,2005713.6042270265,2722062.8778923973,4049423.7091183495,bear,2005713.6042270265,bull,4049423.7091183495
24,CONTRACT_024,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,1,SAIL,2314761.428911996,1441626.5302076652,2161299.7482557725,3494819.6889287727,bear,1441626.5302076652,bull,3494819.6889287727
