contract_id,route_id,origin,destination,vessel_class,expected_decision,robust_decision,decision_changed,fallback_contract_id,fallback_decision_required,fallback_schema
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,SAIL,SAIL,False,CONTRACT_000,True,"contract_id,decision"
CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,KILL,KILL,False,CONTRACT_001,True,"contract_id,decision"
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,KILL,KILL,False,CONTRACT_002,True,"contract_id,decision"
CONTRACT_003,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,KILL,KILL,False,CONTRACT_003,True,"contract_id,decision"
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,SAIL,SAIL,False,CONTRACT_004,True,"contract_id,decision"
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,SAIL,SAIL,False,CONTRACT_005,True,"contract_id,decision"
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,KILL,KILL,False,CONTRACT_006,True,"contract_id,decision"
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,KILL,KILL,False,CONTRACT_007,True,"contract_id,decision"
CONTRACT_008,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,KILL,KILL,False,CONTRACT_008,True,"contract_id,decision"
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,SAIL,SAIL,False,CONTRACT_009,True,"contract_id,decision"
CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,SAIL,SAIL,False,CONTRACT_010,True,"contract_id,decision"
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,SAIL,SAIL,False,CONTRACT_011,True,"contract_id,decision"
CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,SAIL,SAIL,False,CONTRACT_013,True,"contract_id,decision"
CONTRACT_014,14,"East Kalimantan, Indonesia","Paradip, India",Supramax,KILL,KILL,False,CONTRACT_014,True,"contract_id,decision"
CONTRACT_015,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,KILL,KILL,False,CONTRACT_015,True,"contract_id,decision"
CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,SAIL,SAIL,False,CONTRACT_016,True,"contract_id,decision"
CONTRACT_017,17,"Queensland, Australia","Haldia, India",Panamax,SAIL,SAIL,False,CONTRACT_017,True,"contract_id,decision"
CONTRACT_018,18,"Richards Bay, South Africa","Haldia, India",Panamax,KILL,KILL,False,CONTRACT_018,True,"contract_id,decision"
CONTRACT_019,19,"Richards Bay, South Africa","Kandla, India",Capesize,SAIL,SAIL,False,CONTRACT_019,True,"contract_id,decision"
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,KILL,KILL,False,CONTRACT_020,True,"contract_id,decision"
CONTRACT_021,21,Indonesia,East Coast India,Panamax,KILL,KILL,False,CONTRACT_021,True,"contract_id,decision"
CONTRACT_022,22,Indonesia,West Coast India,Panamax,KILL,KILL,False,CONTRACT_022,True,"contract_id,decision"
CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,SAIL,SAIL,False,CONTRACT_023,True,"contract_id,decision"
CONTRACT_024,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,SAIL,SAIL,False,CONTRACT_024,True,"contract_id,decision"
