route_id,origin,destination,vessel_class,cargo_type,scenario,contract_volume_mt,scenario_route_freight_rate,sail_revenue_usd,total_voyage_cost_usd,sail_value_usd,alternative_value_usd,kill_penalty_usd,kill_value_usd,incremental_sail_value_usd,decision,contract_id,optimizer_decision,selected_value_usd,optimizer
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bear,69943.75,36.09587900705407,2524681.1372996382,541850.6263131252,1982830.510986513,0.0,100000.0,-100000.0,2082830.510986513,SAIL,CONTRACT_000,SAIL,2082830.510986513,expected_value_milp
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,3287356.25,541850.6263131252,2745505.6236868748,0.0,100000.0,-100000.0,2845505.6236868748,SAIL,CONTRACT_000,SAIL,2845505.6236868748,expected_value_milp
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bull,69943.75,67.20481298309544,4700556.638086381,541850.6263131252,4158706.011773256,0.0,100000.0,-100000.0,4258706.011773257,SAIL,CONTRACT_000,SAIL,4258706.011773257,expected_value_milp
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,bear,51893.75,14.86075018694673,771180.0550138669,443034.2231819321,328145.83183193475,0.0,100000.0,-100000.0,428145.8318319348,KILL,CONTRACT_001,KILL,0.0,expected_value_milp
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,base,51893.75,19.35,1004144.0625,443034.2231819321,561109.839318068,0.0,100000.0,-100000.0,661109.839318068,KILL,CONTRACT_001,KILL,0.0,expected_value_milp
1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,bull,51893.75,27.668364494104186,1435815.1899659191,443034.2231819321,992780.966783987,0.0,100000.0,-100000.0,1092780.966783987,KILL,CONTRACT_001,KILL,0.0,expected_value_milp
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,bear,69943.75,10.59836447441162,741289.3552071278,539078.7679535353,202210.58725359244,0.0,100000.0,-100000.0,302210.58725359244,KILL,CONTRACT_002,KILL,0.0,expected_value_milp
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,base,69943.75,13.8,965223.75,539078.7679535353,426144.9820464647,0.0,100000.0,-100000.0,526144.9820464647,KILL,CONTRACT_002,KILL,0.0,expected_value_milp
2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,bull,69943.75,19.73247700354717,1380163.4384168524,539078.7679535353,841084.6704633171,0.0,100000.0,-100000.0,941084.6704633172,KILL,CONTRACT_002,KILL,0.0,expected_value_milp
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bear,51893.75,14.169552503832929,735311.2152457801,459407.7442138698,275903.4710319103,0.0,100000.0,-100000.0,375903.4710319103,KILL,CONTRACT_003,KILL,0.0,expected_value_milp
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,base,51893.75,18.45,957439.6875,459407.7442138698,498031.9432861302,0.0,100000.0,-100000.0,598031.9432861302,KILL,CONTRACT_003,KILL,0.0,expected_value_milp
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bull,51893.75,26.3814638199598,1369033.088107039,459407.7442138698,909625.3438931692,0.0,100000.0,-100000.0,1009625.3438931692,KILL,CONTRACT_003,KILL,0.0,expected_value_milp
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bear,69943.75,17.894340018390636,1251597.24466131,541850.6263131252,709746.6183481847,0.0,100000.0,-100000.0,809746.6183481847,SAIL,CONTRACT_004,SAIL,809746.6183481847,expected_value_milp
