contract_id,route_id,origin,destination,vessel_class,cargo_type,distance_nm,distance_quality,break_even_freight_rate_usd_per_mt,base_freight_rate_usd_per_mt,bear_value_usd,base_value_usd,bull_value_usd,voyage_days,contract_volume_mt,rule1_valid_distance,rule2_valid_vessel,rule3_valid_volume,rule4_above_break_even,rule5_base_value_positive,rule6_bear_value_acceptable,rule7_scenarios_complete,rule8_duration_acceptable,rule9_scenario_dispersion_acceptable,rules_passed,rules_total,scenario_spread_ratio,decision,decision_reasons
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,4926.710066752748,SEAROUTE_CALCULATED,7.359601036511039,47.0,2082830.510986513,2845505.6236868748,4258706.011773257,19.10663217622482,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.49664297842972505,SAIL,
CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,3938.9061722773454,SEAROUTE_CALCULATED,8.110466328273358,19.35,428145.8318319348,661109.839318068,1092780.966783987,15.676757542629671,51893.75,1,1,1,1,1,1,1,1,1,9,9,0.652949179989797,SAIL,
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,4899.001585207413,SEAROUTE_CALCULATED,7.321952705650734,13.8,302210.58725359244,526144.9820464647,941084.6704633172,19.01042217085908,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.7886413490116846,SAIL,
CONTRACT_003,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,4102.581709223877,SEAROUTE_CALCULATED,8.41021042039121,18.45,375903.4710319103,598031.9432861302,1009625.3438931692,16.24507537924957,51893.75,1,1,1,1,1,1,1,1,1,9,9,0.6882465146349396,SAIL,
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,4926.710066752748,SEAROUTE_CALCULATED,7.359601036511039,23.3,809746.6183481847,1187838.7486868748,1888425.324057357,19.10663217622482,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.5897993950314911,SAIL,
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,4899.001585207413,SEAROUTE_CALCULATED,7.321952705650734,21.1,694341.9128341745,1036734.3570464648,1671171.1270171597,19.01042217085908,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.6119569257626719,SAIL,
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,2408.301246605427,SEAROUTE_CALCULATED,3.937764717285685,11.8,443938.1880118781,635418.3226898415,990221.824379614,10.362157106268844,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.5583778261033214,SAIL,
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,2752.598463285374,SEAROUTE_CALCULATED,5.9379441918690095,16.05,415300.7743833705,608534.4860191554,966587.2816691812,11.557633553074217,51893.75,1,1,1,1,1,1,1,1,1,9,9,0.5883853813976865,SAIL,
CONTRACT_008,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,3443.2178891213243,SEAROUTE_CALCULATED,5.343936473992168,13.1,410240.3983496727,622815.8021023266,1016707.8251647007,13.955617670560152,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.6324374264955771,SAIL,
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,4667.806005082153,SEAROUTE_CALCULATED,7.007820454132211,18.6,583178.3499958622,885002.969064516,1444269.5056263604,18.20765973986859,69943.75,1,1,1,1,1,1,1,1,1,9,9,0.6319374692640995,SAIL,
