contract_id,route_id,origin,destination,vessel_class,cargo_type,contract_volume_mt,voyage_days,decision,sail_binary,expected_value_usd,bear_value_usd,base_value_usd,bull_value_usd,robust_score_usd,downside_ratio
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,69943.75,19.10663217622482,SAIL,1,3008136.94253338,2082830.510986513,2845505.6236868748,4258706.011773257,2545483.7267599464,0.6923988338218418
CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,51893.75,15.676757542629671,SAIL,1,710786.6193130144,428145.8318319348,661109.839318068,1092780.966783987,569466.2255724747,0.602354940566754
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,69943.75,19.01042217085908,KILL,0,573896.3054524597,302210.58725359244,526144.9820464647,941084.6704633172,438053.4463530261,0.5265944115380385
CONTRACT_003,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,51893.75,16.24507537924957,KILL,0,645398.1753743349,375903.4710319103,598031.9432861302,1009625.3438931692,510650.8232031226,0.5824365258142913
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,69943.75,19.10663217622482,SAIL,1,1268462.3599448227,809746.6183481847,1187838.7486868748,1888425.324057357,1039104.4891465037,0.6383686610798669
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,69943.75,19.01042217085908,SAIL,1,1109745.438486066,694341.9128341745,1036734.3570464648,1671171.1270171597,902043.6756601202,0.6256767441922607
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,69943.75,10.362157106268844,KILL,0,676249.1644427938,443938.1880118781,635418.3226898415,990221.824379614,560093.6762273359,0.6564713294361968
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,51893.75,11.557633553074217,SAIL,1,649739.2570227156,415300.7743833705,608534.4860191554,966587.2816691812,532520.0157030431,0.6391806711609102
CONTRACT_008,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,69943.75,13.955617670560152,KILL,0,668144.9569297567,410240.3983496727,622815.8021023266,1016707.8251647007,539192.6776397147,0.6139990942007544
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,69943.75,18.20765973986859,KILL,0,949363.4484378137,583178.3499958622,885002.969064516,1444269.5056263604,766270.899216838,0.6142835506838689
CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,thermal coal,51893.75,10.95508327835536,SAIL,1,953019.415335163,641895.4477203311,898336.4482089429,1373509.3172024349,797457.4315277471,0.6735386891300487
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,69943.75,19.10663217622482,SAIL,1,1602450.5182054953,1054157.239086767,1506082.8111868748,2343479.2113614646,1328303.8786461311,0.6578407427314918
CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,51893.75,15.631610646559755,SAIL,1,1101483.6559435732,714404.5413054023,1033450.85646729,1624628.369534311,907944.0986244878,0.6485838781633269
CONTRACT_014,14,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,51893.75,11.557633553074217,KILL,0,592555.1802981836,373453.7946539358,554046.0485191554,888674.8295004879,483004.4874760597,0.6302430677696678
CONTRACT_015,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,69943.75,21.325952452360035,KILL,0,925587.4679884482,541683.7357509183,858112.7718712812,1444440.592460312,733635.6018696832,0.5852323572705057
CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,157937.5,16.460535121139962,SAIL,1,1954898.011279202,1332523.060753513,1845509.752892397,2796049.4785785014,1643710.5360163576,0.6816330330611807
CONTRACT_017,17,"Queensland, Australia","Haldia, India",Panamax,coking coal,69943.75,18.43177285723718,KILL,0,1067693.4218749523,668039.7929302417,997450.5330965682,1607832.8283764308,867866.607402597,0.6256850320919952
CONTRACT_018,18,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,69943.75,18.44563953930579,KILL,0,516763.9846323041,264765.6373174128,472472.9020528305,857344.4971061426,390764.81097485847,0.5123531151378573
CONTRACT_019,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,157937.5,15.676757542629671,SAIL,1,2549319.8024501926,1773573.8819735297,2412975.151818068,3597755.024191104,2161446.842211861,0.6957047445632043
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,69943.75,20.506163542591903,KILL,0,817078.8128855842,468612.3482392109,755832.5502561559,1288037.802790814,642845.5805623976,0.5735216001798725
CONTRACT_021,21,Indonesia,East Coast India,Panamax,coal,69943.75,10.95508327835536,KILL,0,615124.2704659824,394625.7165654523,576369.5732089429,913132.2188805912,504874.99351571733,0.6415381988854167
CONTRACT_022,22,Indonesia,West Coast India,Panamax,coal,69943.75,15.642525104530714,KILL,0,601193.3125967176,348210.5967376274,556729.2179759179,943104.2176974072,474701.9546671725,0.5791990520214056
CONTRACT_023,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,157937.5,16.460535121139962,SAIL,1,2874815.767282543,2005713.6042270265,2722062.8778923973,4049423.7091183495,2440264.6857547844,0.6976842227781969
CONTRACT_024,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,69943.75,36.42167141299969,SAIL,1,2314761.4289119956,1441626.5302076652,2161299.7482557725,3494819.6889287727,1878193.9795598304,0.622797024436886
