source_file,report_date,vessel_or_tbn,origin,destination,cargo_quantity_mt,laycan_start,laycan_end,freight_rate,match_status,matched_contract_id,matched_route_id,origin_match,destination_match,match_reason,matched_contract_origin,matched_contract_destination,matched_contract_vessel_class
report_00000.html,08.06.2026,TBN,Dampier,Qingdao,170000.0,2026-06-20,2026-06-29,13.05,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00000.html,08.06.2026,TBN,Dampier,Qingdao,170000.0,2026-06-22,2026-06-24,13.15,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00000.html,08.06.2026,TBN,APCT-HPCT-DBCT,EC India,75000.0,2026-07-05,2026-07-14,25.1,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00000.html,08.06.2026,TBN,NoPac,Taiwan,59000.0,2026-08-01,2026-08-15,47.95,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00001.html,10.06.2026,Oldendorff TBN,Ponta Da Madeira,Rotterdam,180000.0,2026-07-01,2026-07-07,15.85,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00001.html,10.06.2026,TBN,Dampier,Qingdao,170000.0,2026-06-27,2026-06-29,12.0,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00001.html,10.06.2026,TBN,Port Hedland,Qingdao,160000.0,2026-06-27,2026-06-29,11.95,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00001.html,10.06.2026,TBN,Port Hedland,Qingdao,160000.0,2026-06-27,2026-06-29,11.9,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00001.html,10.06.2026,TBN,Port Hedland,Qingdao,160000.0,2026-06-22,2026-06-23,12.3,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00001.html,10.06.2026,TBN,Nacala,EC India,75000.0,2026-07-05,2026-07-14,21.35,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00002.html,18.06.2026,TBN,Itaguai,Qingdao,180000.0,2026-07-20,2026-07-22,31.0,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00002.html,18.06.2026,TBN,Port Hedland,Qingdao,160000.0,2026-07-03,2026-07-05,11.7,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
report_00002.html,18.06.2026,Pan Ocean TBN,Newcastle,Boryeong,80000.0,2026-07-07,2026-07-16,16.98,NO_MATCH,,,NO_MATCH,NO_MATCH,No existing contract lane could be linked.,,,
