contract_id,route_id,contract_origin,contract_destination,contract_vessel_class,contract_cargo_type,shipoffer_report_date,shipoffer_source_file,shipoffer_vessel_or_tbn,shipoffer_vessel_class,shipoffer_origin_raw,shipoffer_origin_normalized,shipoffer_destination_raw,shipoffer_cargo_type,cargo_quantity_mt,laycan_start,laycan_end,shipoffer_freight_rate,trade_relation,origin_relation,destination_relation,trade_score,cargo_compatibility,cargo_score,vessel_compatibility,vessel_score,recency_category,recency_score,laycan_category,laycan_score,report_age_days,historical_only,current_operational_evidence,operational_evidence_score,evidence_level,raw_text,evidence_reason
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,2026-08-04,report_00010.html,Korea Line TBN,,DBCT,DBCT,EC India,coal,80000.0,2026-09-01,2026-09-10,22.65,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,WITHIN_7_DAYS,8.0,24,True,False,74.0,STRONG,COAL 'Korea Line TBN' 80000/10 DBCT/EC India 1/10 Sep $22.65 fio 30000shinc/35000shinc - SAIL,trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=WITHIN_7_DAYS:8.0
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coal,2026-07-13,report_00006.html,TBN,,coal HPCT-APCT-DBCT-Gladstone,HPCT-APCT-DBCT-Gladstone,Vizag,coal,75000.0,2026-08-10,2026-08-19,21.5,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,46,True,False,66.0,STRONG,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,2026-07-13,report_00006.html,TBN,,coal HPCT-APCT-DBCT-Gladstone,HPCT-APCT-DBCT-Gladstone,Vizag,coal,75000.0,2026-08-10,2026-08-19,21.5,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,46,True,False,66.0,STRONG,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,2026-07-13,report_00006.html,TBN,,coal HPCT-APCT-DBCT-Gladstone,HPCT-APCT-DBCT-Gladstone,Vizag,coal,75000.0,2026-08-10,2026-08-19,21.5,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,46,True,False,66.0,STRONG,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,2026-07-08,report_00005.html,TBN,,coal NQXT-APCT-DBCT- Gladstone,NQXT-APCT-DBCT- Gladstone,EC India,coal,75000.0,2026-08-10,2026-08-19,19.65,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,51,True,False,66.0,STRONG,'TBN' 75000/10 coal NQXT-APCT-DBCT- Gladstone / EC India 10/19 Aug $19.65 fio 40000shinc/40000shinc - SAIL,trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coal,2026-07-06,report_00004.html,TBN,,coal Gladstone,Gladstone,Vizag,coal,75000.0,2026-08-05,2026-08-14,19.6,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,53,True,False,66.0,STRONG,"COAL 'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,2026-07-06,report_00004.html,TBN,,coal Gladstone,Gladstone,Vizag,coal,75000.0,2026-08-05,2026-08-14,19.6,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,53,True,False,66.0,STRONG,"COAL 'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,2026-07-06,report_00004.html,TBN,,coal Gladstone,Gladstone,Vizag,coal,75000.0,2026-08-05,2026-08-14,19.6,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,53,True,False,66.0,STRONG,"COAL 'TBN' 75000/10 coal Gladstone/Vizag 5/14 Aug $19.60 fio 35,000shinc/35,000shinc - SAIL",trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_020,20,East Coast Australia,East Coast India,Panamax,coal,2026-06-08,report_00000.html,TBN,,APCT-HPCT-DBCT,APCT-HPCT-DBCT,EC India,coal,75000.0,2026-07-05,2026-07-14,25.1,EXACT,EXACT,EXACT,45.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,HISTORICAL,0.0,81,True,False,66.0,STRONG,COAL 'TBN' 75000/10 APCT-HPCT-DBCT/EC India 5/14 Jul $25.10 fio 40000shinc/20000sshex - SAIL,trade=EXACT:45.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=HISTORICAL:0.0
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coal,2026-08-04,report_00010.html,Korea Line TBN,,DBCT,DBCT,EC India,coal,80000.0,2026-09-01,2026-09-10,22.65,CLOSE,CLOSE,CLOSE,36.0,MATCH,20.0,UNKNOWN,0.0,HISTORICAL,1.0,WITHIN_7_DAYS,8.0,24,True,False,65.0,STRONG,COAL 'Korea Line TBN' 80000/10 DBCT/EC India 1/10 Sep $22.65 fio 30000shinc/35000shinc - SAIL,trade=CLOSE:36.0; cargo=MATCH:20.0; vessel=UNKNOWN:0.0; recency=HISTORICAL:1.0; laycan=WITHIN_7_DAYS:8.0
