observation_id,batch_cycle,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,lat,lon,speed,course,nav_status,destination,zone_id,zone_name,source,vtype7_candidate,is_recent,batch_id
12_9603398_20260828T090421Z,12,2026-08-28T09:04:21.979187+00:00,2026-08-28T09:01:22Z,2.9996501833333338,9603398,373033000,CAPE RAINBOW,7,-23.8156,151.51699,0.0,99.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9790880_20260828T090421Z,12,2026-08-28T09:04:21.979328+00:00,2026-08-28T08:50:11Z,14.182987716666666,9790880,431491000,NSU VOYAGER,7,-23.78151,151.51616,0.0,102.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9682576_20260828T090421Z,12,2026-08-28T09:04:21.979428+00:00,2026-08-28T08:19:48Z,44.56632295,9682576,241355000,MARAN GAS LETO,8,-23.76588,151.53798,16.6,0.6,0,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,False,True,GLADSTONE_C12_20260828T090420Z
12_9454905_20260828T090421Z,12,2026-08-28T09:04:21.979515+00:00,2026-08-28T03:06:24Z,357.9663245,9454905,210083000,EFESSOS WAVE,7,-23.86487,151.59145,0.0,122.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9877872_20260828T090421Z,12,2026-08-28T09:04:21.979598+00:00,2026-08-28T03:07:35Z,356.78299258333334,9877872,538009641,SDTR ERICA,7,-23.85242,151.61422,0.0,231.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9523201_20260828T090421Z,12,2026-08-28T09:04:21.979677+00:00,2026-08-28T03:07:34Z,356.7996606,9523201,413985000,YUN LONG FENG,7,-23.8292,151.58686,0.1,119.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9607136_20260828T090421Z,12,2026-08-28T09:04:21.979755+00:00,2026-08-28T03:07:49Z,356.5496619,9607136,564856000,RTM DHAMBUL,7,-23.83336,151.51863,0.0,251.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9565546_20260828T090421Z,12,2026-08-28T09:04:21.979833+00:00,2026-08-28T03:07:48Z,356.56632986666665,9565546,351733000,CHESAPEAKE HIGHWAY,7,-23.86656,151.57271,0.1,116.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
12_9212452_20260828T090421Z,12,2026-08-28T09:04:21.979909+00:00,2026-08-28T03:05:40Z,358.6996644833333,9212452,357800000,WINCANTON,8,-23.86608,151.61309,0.0,209.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,False,True,GLADSTONE_C12_20260828T090420Z
12_9889306_20260828T090421Z,12,2026-08-28T09:04:21.979985+00:00,2026-08-28T03:06:42Z,357.6663324333333,9889306,352393000,AZUL TIERRA,7,-23.79716,151.5176,0.1,181.0,1,,AU_GLADSTONE_HAY_POINT,AUSTRALIA_GLADSTONE_HAY_POINT,zone_simple,True,True,GLADSTONE_C12_20260828T090420Z
