imo,vessel_name,observation_count,first_seen,last_seen,min_speed,max_speed,mean_speed,mean_freshness_minutes,unique_zones,observation_span_hours,persistent_candidate
9212452,WINCANTON,1,2026-08-28 09:04:21.979909+00:00,2026-08-28 09:04:21.979909+00:00,0.0,0.0,0.0,358.6996644833333,1,0.0,False
9454905,EFESSOS WAVE,1,2026-08-28 09:04:21.979515+00:00,2026-08-28 09:04:21.979515+00:00,0.0,0.0,0.0,357.9663245,1,0.0,False
9523201,YUN LONG FENG,1,2026-08-28 09:04:21.979677+00:00,2026-08-28 09:04:21.979677+00:00,0.1,0.1,0.1,356.7996606,1,0.0,False
9565546,CHESAPEAKE HIGHWAY,1,2026-08-28 09:04:21.979833+00:00,2026-08-28 09:04:21.979833+00:00,0.1,0.1,0.1,356.56632986666665,1,0.0,False
9603398,CAPE RAINBOW,1,2026-08-28 09:04:21.979187+00:00,2026-08-28 09:04:21.979187+00:00,0.0,0.0,0.0,2.9996501833333338,1,0.0,False
9607136,RTM DHAMBUL,1,2026-08-28 09:04:21.979755+00:00,2026-08-28 09:04:21.979755+00:00,0.0,0.0,0.0,356.5496619,1,0.0,False
9682576,MARAN GAS LETO,1,2026-08-28 09:04:21.979428+00:00,2026-08-28 09:04:21.979428+00:00,16.6,16.6,16.6,44.56632295,1,0.0,False
9790880,NSU VOYAGER,1,2026-08-28 09:04:21.979328+00:00,2026-08-28 09:04:21.979328+00:00,0.0,0.0,0.0,14.182987716666666,1,0.0,False
9877872,SDTR ERICA,1,2026-08-28 09:04:21.979598+00:00,2026-08-28 09:04:21.979598+00:00,0.0,0.0,0.0,356.78299258333334,1,0.0,False
9889306,AZUL TIERRA,1,2026-08-28 09:04:21.979985+00:00,2026-08-28 09:04:21.979985+00:00,0.1,0.1,0.1,357.6663324333333,1,0.0,False
