extended_observation_id,source_file,api_snapshot_timestamp,ais_received_timestamp,imo,mmsi,vessel_name,vtype_raw,vessel_type,callsign,lat,lon,speed,course,nav_status,destination,eta,current_port,current_port_id,current_port_unloco,current_port_country,current_port_arr_utc,last_port,last_port_id,last_port_unloco,last_port_country,last_port_dep_utc,next_port,next_port_id,next_port_unloco,next_port_country,next_port_eta_utc,draught,size_a,size_b,size_c,size_d,gt,dwt,built,flag,avg_sog,max_sog,distance_covered,wind_knots,wind_direction,humidity,pressure,temperature,visibility,source
vessel_9290971_20260828T042127Z.json,vessel_9290971_20260828T042127Z.json,2026-08-28T04:21:27+00:00,2026-08-28T02:15:07Z,9290971,441609000,ORIENTAL ENTERPRISE,7,Bulk Carrier,D7CK,-23.83007,151.60824,0.0,158,1,AUGLT,2026-08-13T00:00:00.000Z,,,,,,BORYEONG,5482.0,KRBOR,Korea,2026-06-21T05:17:27Z,,,,,,7.6,196,34,22,16,48042.0,88125.0,2004.0,KR,11.1,14.3,4838.22,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9324502_20260828T042136Z.json,vessel_9324502_20260828T042136Z.json,2026-08-28T04:21:36+00:00,2026-08-28T03:06:33Z,9324502,440422000,WHITE ROSE,7,Bulk Carrier,D7KJ,-23.79759,151.47986,0.3,133,1,AUGLT,2026-08-25T23:00:00.000Z,,,,,,GWANGYANG,5505.0,KRKAN,Korea,2026-08-11T22:32:44Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-25T23:00:00Z,9.3,247,42,18,27,89097.0,171827.0,2006.0,KR,11.3,14.6,3973.53,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9383508_20260828T042136Z.json,vessel_9383508_20260828T042136Z.json,2026-08-28T04:21:36+00:00,2026-08-28T02:33:42Z,9383508,352721000,HPC GALAXY,7,General Cargo,3EXV3,-23.88196,151.59079,0.3,142,1,AU GLT,2026-08-20T10:00:00.000Z,,,,,,GEELONG,180.0,AUGEX,Australia,2026-08-15T21:31:02Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-20T10:00:00Z,6.3,155,22,22,6,20250.0,32228.0,2009.0,PA,11.0,13.7,1344.24,12,NE,67.0,1022.4,20.5,24135.3,myshiptracking_extended
vessel_9454905_20260828T042129Z.json,vessel_9454905_20260828T042129Z.json,2026-08-28T04:21:29+00:00,2026-08-28T03:06:24Z,9454905,210083000,EFESSOS WAVE,7,Bulk Carrier,5BPG3,-23.86487,151.59145,0.0,122,1,AU GLT,2026-08-24T21:00:00.000Z,,,,,,NEWCASTLE,314.0,AUNTL,Australia,2026-06-23T07:07:31Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-24T21:00:00Z,7.2,199,30,13,24,47984.0,87332.0,2012.0,CY,9.2,13.5,7521.73,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9465186_20260828T042122Z.json,vessel_9465186_20260828T042122Z.json,2026-08-28T04:21:22+00:00,2026-08-28T03:06:39Z,9465186,636019494,ES GLORY SEA,7,Bulk Carrier,D5UT9,-23.75762,151.47274,0.1,64,1,GLADSTONE AUS,2026-08-19T20:00:00.000Z,,,,,,JINGTANG,4205.0,CNTAS,China,2026-08-01T05:40:30Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-19T20:00:00Z,9.4,251,41,18,27,91407.0,177000.0,2007.0,LR,9.6,12.8,4544.91,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9519779_20260828T042123Z.json,vessel_9519779_20260828T042123Z.json,2026-08-28T04:21:23+00:00,2026-08-28T03:02:37Z,9519779,205580000,MINERAL STONEHENGE,7,Bulk Carrier,ONGR,-23.81305,151.49913,0.0,172,1,AU GLT,2026-08-22T19:00:00.000Z,,,,,,BORYEONG,5482.0,KRBOR,Korea,2026-08-04T07:05:24Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-22T19:00:00Z,10.4,251,41,25,20,91971.0,175713.0,2010.0,BE,10.1,13.8,4267.73,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9523201_20260828T042132Z.json,vessel_9523201_20260828T042132Z.json,2026-08-28T04:21:32+00:00,2026-08-28T03:07:34Z,9523201,413985000,YUN LONG FENG,7,Cargo,BRPH,-23.8292,151.58686,0.1,119,1,AU GLT,2026-08-21T09:00:00.000Z,,,,,,RIZHAO,4098.0,CNRZH,China,2026-08-02T23:04:35Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-21T09:00:00Z,7.3,193,32,12,20,,,,CN,10.5,13.7,4454.23,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9587350_20260828T042124Z.json,vessel_9587350_20260828T042124Z.json,2026-08-28T04:21:24+00:00,2026-08-28T02:33:03Z,9587350,636019937,ANABELA,7,Bulk Carrier,D5WW6,-23.76171,151.51549,0.2,189,1,AUGLT,2026-08-17T02:00:00.000Z,,,,,,JINGTANG,4205.0,CNTAS,China,2026-08-01T06:20:44Z,,,,,,10.4,251,40,25,20,92053.0,177029.0,2010.0,LR,11.6,14.5,4636.66,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
vessel_9599078_20260828T042125Z.json,vessel_9599078_20260828T042125Z.json,2026-08-28T04:21:25+00:00,2026-08-28T03:08:02Z,9599078,311001257,POPEYE,7,Bulk Carrier,C6GI7,-23.81556,151.2388,0.0,138,5,AU HPT,2026-08-29T20:00:00.000Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-27T18:05:35Z,QINGDAO,4157.0,CNQDG,China,2026-07-29T01:28:37Z,DALRYMPLE,133.0,AUHPT,Australia,2026-08-29T20:00:00Z,8.3,211,29,24,14,51905.0,98730.0,2013.0,BS,,,,10,ENE,62.5,1022.5,21.4,24135.3,myshiptracking_extended
vessel_9603398_20260828T042120Z.json,vessel_9603398_20260828T042120Z.json,2026-08-28T04:21:20+00:00,2026-08-28T03:08:00Z,9603398,373033000,CAPE RAINBOW,7,Bulk Carrier,3EVI3,-23.79231,151.53191,3.9,208,0,AU GLT,2026-08-28T04:00:00.000Z,,,,,,NEWCASTLE,314.0,AUNTL,Australia,2026-08-24T21:28:50Z,GLADSTONE,3859.0,AUGLT,Australia,2026-08-28T05:58:59Z,10.0,262,38,19,31,106251.0,207886.0,2012.0,PA,9.4,13.2,731.48,12,ENE,73.7,1022.7,19.9,24135.3,myshiptracking_extended
