observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence,previous_api_snapshot_timestamp,observation_interval_hours,previous_lat,previous_lon,position_changed
zone_australia_gladstone_hay_point_20260828T041615Z.json_18,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:06:05+00:00,70.16666666666667,102579600,636024708,BH PROGRESS,7,True,-23.78191,151.47799,0.0,75.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,18,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_19,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:06:05+00:00,75.21666666666667,102579600,636024708,BH PROGRESS,7,True,-23.78191,151.47799,0.0,75.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,19,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.78191,151.47799,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_33,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:05:40+00:00,70.58333333333333,9212452,357800000,WINCANTON,8,False,-23.86608,151.61309,0.0,209.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,33,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_34,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:05:40+00:00,75.63333333333334,9212452,357800000,WINCANTON,8,False,-23.86608,151.61309,0.0,209.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,34,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.86608,151.61309,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_13,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 02:15:07+00:00,121.13333333333334,9290971,441609000,ORIENTAL ENTERPRISE,7,True,-23.83007,151.60824,0.0,158.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,13,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_14,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 02:15:07+00:00,126.18333333333334,9290971,441609000,ORIENTAL ENTERPRISE,7,True,-23.83007,151.60824,0.0,158.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,14,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.83007,151.60824,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_98,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:06:33+00:00,69.7,9324502,440422000,WHITE ROSE,7,True,-23.79759,151.47986,0.3,133.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,98,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_99,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:06:33+00:00,74.75,9324502,440422000,WHITE ROSE,7,True,-23.79759,151.47986,0.3,133.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,99,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.79759,151.47986,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_32,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 02:33:42+00:00,102.55,9383508,352721000,HPC GALAXY,7,True,-23.88196,151.59079,0.3,142.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,32,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_33,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 02:33:42+00:00,107.6,9383508,352721000,HPC GALAXY,7,True,-23.88196,151.59079,0.3,142.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,33,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.88196,151.59079,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_15,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:06:24+00:00,69.85,9454905,210083000,EFESSOS WAVE,7,True,-23.86487,151.59145,0.0,122.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,15,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_17,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:06:24+00:00,74.9,9454905,210083000,EFESSOS WAVE,7,True,-23.86487,151.59145,0.0,122.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,17,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.86487,151.59145,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_5,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:06:39+00:00,69.6,9465186,636019494,ES GLORY SEA,7,True,-23.75762,151.47274,0.1,64.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,5,True,1,,,,,True
