candidate_id,imo,mmsi,vessel_name,candidate_vessel_class,dwt,dwt_class,gt,built,vessel_age_years,draught,size_a,size_b,flag,lat,lon,speed,avg_sog,max_sog,course,nav_status,destination,last_port,last_port_unloco,last_port_dep_utc,next_port,next_port_unloco,next_port_eta_utc,freshness_minutes,observation_count,first_observation_timestamp,last_observation_timestamp,mean_reported_speed,max_reported_speed,min_reported_speed,mean_freshness_minutes,has_extended_metadata,has_dwt,has_reported_speed,has_avg_sog,has_position,ais_fresh,has_multiple_observations,metadata_non_null_count,metadata_completeness,candidate_usable,candidate_source
IMO_102579600,102579600,636024708,BH PROGRESS,BULK_CARRIER,,UNKNOWN,,,,,,,,-23.78191,151.47799,0.0,,,75.0,1,,,,,,,,75.21666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,72.69166666666666,False,False,True,False,True,True,True,0,0.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9290971,9290971,441609000,ORIENTAL ENTERPRISE,BULK_CARRIER,88125.0,PANAMAX,48042.0,2004.0,22.0,7.6,196.0,34.0,KR,-23.83007,151.60824,0.0,11.1,14.3,158.0,1,,BORYEONG,KRBOR,2026-06-21T05:17:27Z,,,,126.18333333333334,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,123.65833333333333,True,True,True,True,True,True,True,6,0.75,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9324502,9324502,440422000,WHITE ROSE,BULK_CARRIER,171827.0,CAPE,89097.0,2006.0,20.0,9.3,247.0,42.0,KR,-23.79759,151.47986,0.3,11.3,14.6,133.0,1,,GWANGYANG,KRKAN,2026-08-11T22:32:44Z,GLADSTONE,AUGLT,2026-08-25T23:00:00Z,74.75,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.3,0.3,0.3,72.225,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9383508,9383508,352721000,HPC GALAXY,BULK_CARRIER,32228.0,HANDYSIZE,20250.0,2009.0,17.0,6.3,155.0,22.0,PA,-23.88196,151.59079,0.3,11.0,13.7,142.0,1,,GEELONG,AUGEX,2026-08-15T21:31:02Z,GLADSTONE,AUGLT,2026-08-20T10:00:00Z,107.6,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.3,0.3,0.3,105.07499999999999,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9454905,9454905,210083000,EFESSOS WAVE,BULK_CARRIER,87332.0,PANAMAX,47984.0,2012.0,14.0,7.2,199.0,30.0,CY,-23.86487,151.59145,0.0,9.2,13.5,122.0,1,,NEWCASTLE,AUNTL,2026-06-23T07:07:31Z,GLADSTONE,AUGLT,2026-08-24T21:00:00Z,74.9,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,72.375,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9465186,9465186,636019494,ES GLORY SEA,BULK_CARRIER,177000.0,CAPE,91407.0,2007.0,19.0,9.4,251.0,41.0,LR,-23.75762,151.47274,0.1,9.6,12.8,64.0,1,,JINGTANG,CNTAS,2026-08-01T05:40:30Z,GLADSTONE,AUGLT,2026-08-19T20:00:00Z,74.65,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,72.125,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9519779,9519779,205580000,MINERAL STONEHENGE,BULK_CARRIER,175713.0,CAPE,91971.0,2010.0,16.0,10.4,251.0,41.0,BE,-23.81305,151.49913,0.0,10.1,13.8,172.0,1,,BORYEONG,KRBOR,2026-08-04T07:05:24Z,GLADSTONE,AUGLT,2026-08-22T19:00:00Z,78.68333333333334,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,76.15833333333333,True,True,True,True,True,True,True,8,1.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9523201,9523201,413985000,YUN LONG FENG,BULK_CARRIER,,UNKNOWN,,,,7.3,193.0,32.0,CN,-23.8292,151.58686,0.1,10.5,13.7,119.0,1,,RIZHAO,CNRZH,2026-08-02T23:04:35Z,GLADSTONE,AUGLT,2026-08-21T09:00:00Z,73.73333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,71.20833333333334,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,BULK_CARRIER,,UNKNOWN,,,,,,,,-23.86656,151.57271,0.1,,,116.0,1,,,,,,,,73.5,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,70.975,False,False,True,False,True,True,True,0,0.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9587350,9587350,636019937,ANABELA,BULK_CARRIER,177029.0,CAPE,92053.0,2010.0,16.0,10.4,251.0,40.0,LR,-23.76171,151.51549,0.2,11.6,14.5,189.0,1,,JINGTANG,CNTAS,2026-08-01T06:20:44Z,,,,108.25,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,105.725,True,True,True,True,True,True,True,6,0.75,True,MYSHIPTRACKING_AIS_TRIAL
