candidate_id,imo,mmsi,vessel_name,vessel_dwt,vessel_dwt_class,route_id,origin,destination,route_vessel_class,cargo_type,class_match,dwt_match,vessel_lat,vessel_lon,origin_latitude,origin_longitude,destination_latitude,destination_longitude,reposition_distance_nm,route_distance_nm,ais_speed_knots,selected_speed_knots,speed_source,reposition_hours,sea_hours,port_days,total_voyage_hours,observation_count,route_freight_rate,freight_rate_unit,cargo_quantity_mt,typical_dwt_min,typical_dwt_max,average_dwt_assumption,bunker_mt_per_day,daily_opex_usd,other_voyage_cost_usd,route_distance_source,route_distance_quality,match_status,candidate_usable
IMO_9324502,9324502,440422000,WHITE ROSE,171827.0,CAPE,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,True,True,-23.79759,151.47986,-28.7707857,32.0577775,13.2351728,78.7511018,6095.538243663349,4164.634114888308,0.3,12.0,ROUTE_SPEED,513.961520305279,347.05284290735904,2.0,909.014363212638,2.0,14.0,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9324502,9324502,440422000,WHITE ROSE,171827.0,CAPE,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,True,True,-23.79759,151.47986,-28.7707857,32.0577775,23.0177525,70.2096164,6095.538243663349,3938.9061722773454,0.3,12.0,ROUTE_SPEED,513.961520305279,328.2421810231121,2.0,890.2037013283912,2.0,17.45,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9324502,9324502,440422000,WHITE ROSE,171827.0,CAPE,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,True,True,-23.79759,151.47986,-28.7707857,32.0577775,14.2592415,80.0564758,6095.538243663349,4164.634114888308,0.3,12.0,ROUTE_SPEED,513.961520305279,347.05284290735904,2.0,909.014363212638,2.0,19.55,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9383508,9383508,352721000,HPC GALAXY,32228.0,HANDYSIZE,12,Mozambique (Beira / Maputo),East Coast India,Handysize,coking coal,True,,-23.88196,151.59079,-25.966213,32.56745,20.286946,86.6739979,6172.277734879844,4601.384016575973,0.3,12.0,ROUTE_SPEED,520.3564779066536,383.4486680479977,2.0,951.8051459546514,2.0,43.75,$/mt,,,,,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,CLASS_MATCH_DWT_UNKNOWN,True
IMO_9465186,9465186,636019494,ES GLORY SEA,177000.0,CAPE,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,True,True,-23.75762,151.47274,-28.7707857,32.0577775,13.2351728,78.7511018,6096.737359707118,4164.634114888308,0.1,12.0,ROUTE_SPEED,514.0614466422599,347.05284290735904,2.0,909.1142895496189,2.0,14.0,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9465186,9465186,636019494,ES GLORY SEA,177000.0,CAPE,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,True,True,-23.75762,151.47274,-28.7707857,32.0577775,23.0177525,70.2096164,6096.737359707118,3938.9061722773454,0.1,12.0,ROUTE_SPEED,514.0614466422599,328.2421810231121,2.0,890.303627665372,2.0,17.45,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9465186,9465186,636019494,ES GLORY SEA,177000.0,CAPE,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,True,True,-23.75762,151.47274,-28.7707857,32.0577775,14.2592415,80.0564758,6096.737359707118,4164.634114888308,0.1,12.0,ROUTE_SPEED,514.0614466422599,347.05284290735904,2.0,909.1142895496189,2.0,19.55,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9519779,9519779,205580000,MINERAL STONEHENGE,175713.0,CAPE,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,True,True,-23.81305,151.49913,-28.7707857,32.0577775,13.2351728,78.7511018,6095.781136246191,4164.634114888308,0.0,12.0,ROUTE_SPEED,513.9817613538492,347.05284290735904,2.0,909.0346042612082,2.0,14.0,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9519779,9519779,205580000,MINERAL STONEHENGE,175713.0,CAPE,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,True,True,-23.81305,151.49913,-28.7707857,32.0577775,23.0177525,70.2096164,6095.781136246191,3938.9061722773454,0.0,12.0,ROUTE_SPEED,513.9817613538492,328.2421810231121,2.0,890.2239423769613,2.0,17.45,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9519779,9519779,205580000,MINERAL STONEHENGE,175713.0,CAPE,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,True,True,-23.81305,151.49913,-28.7707857,32.0577775,14.2592415,80.0564758,6095.781136246191,4164.634114888308,0.0,12.0,ROUTE_SPEED,513.9817613538492,347.05284290735904,2.0,909.0346042612082,2.0,19.55,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,STRONG,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,,,-23.8292,151.58686,-21.298313,149.2693543,17.6935526,83.2921297,198.98887200212567,4926.710066752748,0.1,12.0,ROUTE_SPEED,22.58240600017714,410.5591722293957,2.0,481.1415782295728,2.0,47.0,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,,,-23.8292,151.58686,-21.298313,149.2693543,20.286946,86.6739979,198.98887200212567,4899.001585207413,0.1,12.0,ROUTE_SPEED,22.58240600017714,408.25013210061775,2.0,478.83253810079486,2.0,13.8,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,,,-23.8292,151.58686,-21.298313,149.2693543,17.6935526,83.2921297,198.98887200212567,4926.710066752748,0.1,12.0,ROUTE_SPEED,22.58240600017714,410.5591722293957,2.0,481.1415782295728,2.0,23.3,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,,,-23.8292,151.58686,-21.298313,149.2693543,20.286946,86.6739979,198.98887200212567,4899.001585207413,0.1,12.0,ROUTE_SPEED,22.58240600017714,408.25013210061775,2.0,478.83253810079486,2.0,21.1,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,,,-23.8292,151.58686,-21.298313,149.2693543,17.6935526,83.2921297,198.98887200212567,4926.710066752748,0.1,12.0,ROUTE_SPEED,22.58240600017714,410.5591722293957,2.0,481.1415782295728,2.0,27.85,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,20,East Coast Australia,East Coast India,Panamax,coal,,,-23.8292,151.58686,-27.4689623,153.0235009,20.286946,86.6739979,231.94682867838154,5329.775100266468,0.1,12.0,ROUTE_SPEED,25.328902389865128,444.1479250222057,2.0,517.4768274120709,2.0,17.7,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,17,"Queensland, Australia","Haldia, India",Panamax,coking coal,,,-23.8292,151.58686,-22.1646782,144.5844903,22.028124,88.0632655,399.6519511789836,4732.350582884308,0.1,12.0,ROUTE_SPEED,39.3043292649153,394.3625485736923,2.0,481.6668778386076,2.0,20.3,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,10,Indonesia,"Paradip, India",Supramax,thermal coal,,,-23.8292,151.58686,-2.4833826,117.8902853,20.286946,86.6739979,2337.7021043842237,2579.0639841663437,0.1,12.0,ROUTE_SPEED,200.8085086986853,214.92199868052865,2.0,463.7305073792139,2.0,21.3,$/mt,54625.0,50000.0,65000.0,57500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,21,Indonesia,East Coast India,Panamax,coal,,,-23.8292,151.58686,-2.4833826,117.8902853,20.286946,86.6739979,2337.7021043842237,2579.0639841663437,0.1,12.0,ROUTE_SPEED,200.8085086986853,214.92199868052865,2.0,463.7305073792139,2.0,11.2,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,22,Indonesia,West Coast India,Panamax,coal,,,-23.8292,151.58686,-2.4833826,117.8902853,23.0177525,70.2096164,2337.7021043842237,3929.0472301048458,0.1,12.0,ROUTE_SPEED,200.8085086986853,327.42060250873715,2.0,576.2291112074224,2.0,12.85,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,,,-23.8292,151.58686,-1.7376896,116.3477513,23.0177525,70.2096164,2438.897155528812,3925.9038662092103,0.1,12.0,ROUTE_SPEED,209.241429627401,327.15865551743417,2.0,584.4000851448352,2.0,26.5,$/mt,54625.0,50000.0,65000.0,57500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,,,-23.8292,151.58686,-3.3187496,114.5925828,14.2592415,80.0564758,2471.795435670701,2408.301246605427,0.1,12.0,ROUTE_SPEED,211.98295297255842,200.69177055045225,2.0,460.6747235230107,2.0,11.8,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,,,-23.8292,151.58686,-3.3187496,114.5925828,21.709301,72.5893963,2471.795435670701,3443.2178891213243,0.1,12.0,ROUTE_SPEED,211.98295297255842,286.9348240934437,2.0,546.9177770660021,2.0,13.1,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
