imo_key,source_file,vessel_name_extended,mmsi_extended,vessel_type_extended,vtype_extended,dwt_extended,gt_extended,built_extended,draught_extended,flag_extended,callsign_extended,destination_extended,last_port_extended,last_port_departure_extended,next_port_extended,next_port_eta_extended,avg_sog_extended,max_sog_extended,wind_knots_extended,temperature_extended,humidity_extended,pressure_extended,visibility_extended
9290971,vessel_9290971_20260828T042127Z.json,ORIENTAL ENTERPRISE,441609000,Bulk Carrier,7,88125.0,48042.0,2004.0,7.6,KR,D7CK,AUGLT,BORYEONG,2026-06-21T05:17:27Z,,,11.1,14.3,12,19.9,73.7,1022.7,24135.3
9324502,vessel_9324502_20260828T042136Z.json,WHITE ROSE,440422000,Bulk Carrier,7,171827.0,89097.0,2006.0,9.3,KR,D7KJ,AUGLT,GWANGYANG,2026-08-11T22:32:44Z,GLADSTONE,2026-08-25T23:00:00Z,11.3,14.6,12,19.9,73.7,1022.7,24135.3
9383508,vessel_9383508_20260828T042136Z.json,HPC GALAXY,352721000,General Cargo,7,32228.0,20250.0,2009.0,6.3,PA,3EXV3,AU GLT,GEELONG,2026-08-15T21:31:02Z,GLADSTONE,2026-08-20T10:00:00Z,11.0,13.7,12,20.5,67.0,1022.4,24135.3
9454905,vessel_9454905_20260828T042129Z.json,EFESSOS WAVE,210083000,Bulk Carrier,7,87332.0,47984.0,2012.0,7.2,CY,5BPG3,AU GLT,NEWCASTLE,2026-06-23T07:07:31Z,GLADSTONE,2026-08-24T21:00:00Z,9.2,13.5,12,19.9,73.7,1022.7,24135.3
9465186,vessel_9465186_20260828T042122Z.json,ES GLORY SEA,636019494,Bulk Carrier,7,177000.0,91407.0,2007.0,9.4,LR,D5UT9,GLADSTONE AUS,JINGTANG,2026-08-01T05:40:30Z,GLADSTONE,2026-08-19T20:00:00Z,9.6,12.8,12,19.9,73.7,1022.7,24135.3
9519779,vessel_9519779_20260828T042123Z.json,MINERAL STONEHENGE,205580000,Bulk Carrier,7,175713.0,91971.0,2010.0,10.4,BE,ONGR,AU GLT,BORYEONG,2026-08-04T07:05:24Z,GLADSTONE,2026-08-22T19:00:00Z,10.1,13.8,12,19.9,73.7,1022.7,24135.3
9523201,vessel_9523201_20260828T042132Z.json,YUN LONG FENG,413985000,Cargo,7,,,,7.3,CN,BRPH,AU GLT,RIZHAO,2026-08-02T23:04:35Z,GLADSTONE,2026-08-21T09:00:00Z,10.5,13.7,12,19.9,73.7,1022.7,24135.3
9587350,vessel_9587350_20260828T042124Z.json,ANABELA,636019937,Bulk Carrier,7,177029.0,92053.0,2010.0,10.4,LR,D5WW6,AUGLT,JINGTANG,2026-08-01T06:20:44Z,,,11.6,14.5,12,19.9,73.7,1022.7,24135.3
9599078,vessel_9599078_20260828T042125Z.json,POPEYE,311001257,Bulk Carrier,7,98730.0,51905.0,2013.0,8.3,BS,C6GI7,AU HPT,QINGDAO,2026-07-29T01:28:37Z,DALRYMPLE,2026-08-29T20:00:00Z,,,10,21.4,62.5,1022.5,24135.3
9603398,vessel_9603398_20260828T042120Z.json,CAPE RAINBOW,373033000,Bulk Carrier,7,207886.0,106251.0,2012.0,10.0,PA,3EVI3,AU GLT,NEWCASTLE,2026-08-24T21:28:50Z,GLADSTONE,2026-08-28T05:58:59Z,9.4,13.2,12,19.9,73.7,1022.7,24135.3
9607136,vessel_9607136_20260828T042132Z.json,RTM DHAMBUL,564856000,Cabu Carrier,7,70373.0,38800.0,2013.0,11.9,SG,9V2783,AU GLT,WEIPA,2026-07-24T12:47:35Z,GLADSTONE,2026-08-27T06:00:00Z,11.5,14.8,12,19.9,73.7,1022.7,24135.3
9614919,vessel_9614919_20260828T042123Z.json,SG UNITED,431812000,Cargo,7,,,,9.9,JP,7KMO,AU GLT,KASHIMA,2026-07-27T09:08:21Z,,,10.4,14.3,12,19.9,73.7,1022.7,24135.3
9633159,vessel_9633159_20260828T042137Z.json,MAIZURU KICHIJO,636025609,Bulk Carrier,7,91435.0,50626.0,2012.0,12.5,LR,5LYG9,AU_GLT,,,GLADSTONE,2026-08-22T00:00:00Z,,,10,21.4,62.5,1022.5,24135.3
9650767,vessel_9650767_20260828T042126Z.json,RAGA,352035000,Bulk Carrier,7,95666.0,50615.0,2013.0,7.7,PA,3ETH3,CN HUH>AU GLT,HUANGHUA,2026-08-02T09:20:28Z,GLADSTONE,2026-08-18T13:00:00Z,12.3,14.9,12,19.9,73.7,1022.7,24135.3
9689897,vessel_9689897_20260828T042135Z.json,STRATEGIC HARMONY,565285000,Cargo,7,,,,6.8,SG,9V2289,GLADSTONE,LUMUT,2026-08-01T09:13:54Z,GLADSTONE,2026-08-21T12:00:00Z,9.8,13.8,12,19.9,73.7,1022.7,24135.3
9694945,vessel_9694945_20260828T042125Z.json,BREGAGLIA,269084000,Cargo,7,,,,8.1,CH,HBDU,AUGLT,HITACHINAKA,2026-08-08T10:24:31Z,GLADSTONE,2026-08-24T13:30:00Z,10.6,13.8,12,19.9,73.7,1022.7,24135.3
9700823,vessel_9700823_20260828T042121Z.json,CAPE HOPE,352286000,Cargo,7,,,,9.8,PA,3FNK4,AU GLT,MIZUSHIMA,2026-07-19T02:00:29Z,,,11.2,15.9,12,19.9,73.7,1022.7,24135.3
9708318,vessel_9708318_20260828T042133Z.json,CAROLA,636016900,Cargo,7,,,,9.5,LR,D5II3,TW TXG>AU GLT,TAICHUNG,2026-07-30T16:44:36Z,,,11.8,14.8,12,20.5,67.0,1022.4,24135.3
9713442,vessel_9713442_20260828T042120Z.json,CAPE HARVEST,372754000,Cargo,7,,,,8.8,PA,3FIT2,AUGLT,MIZUSHIMA,2026-08-02T05:32:38Z,,,10.2,15.8,12,19.9,73.7,1022.7,24135.3
9747390,vessel_9747390_20260828T042133Z.json,DSI PEGASUS,538006474,Cargo,7,,,,12.8,MH,V7CG4,AU GLT,LIANYUNGANG,2026-08-04T01:36:37Z,,,,,10,21.4,62.5,1022.5,24135.3
9774472,vessel_9774472_20260828T042131Z.json,KANG MAY,636017368,Cargo,7,,,,12.5,LR,D5KO5,AU GLT,LONGKOU,2026-08-04T02:56:39Z,,,,,10,21.4,62.5,1022.5,24135.3
9789831,vessel_9789831_20260828T042131Z.json,JIA MAY,636017377,Cargo,7,,,,7.3,LR,D5KP6,JP HBK>>AU GLT,KITAKYUSHU,2026-07-31T16:44:00Z,,,12.1,15.1,12,19.9,73.7,1022.7,24135.3
9790880,vessel_9790880_20260828T042121Z.json,NSU VOYAGER,431491000,Cargo,7,,,,9.4,JP,7JZQ,AU GLT,NAGOYA,2026-08-05T04:44:30Z,GLADSTONE,2026-08-18T07:00:00Z,11.6,15.3,12,19.9,73.7,1022.7,24135.3
9802205,vessel_9802205_20260828T042128Z.json,MEDI PALMAROLA,636018574,Cargo,7,,,,7.2,LR,D5QH9,GLADSTONE,NEWCASTLE,2026-06-25T17:28:45Z,GLADSTONE,2026-08-24T13:00:00Z,10.9,15.3,12,20.5,67.0,1022.4,24135.3
9815939,vessel_9815939_20260828T042128Z.json,MEDI GINEVRA,636018518,Cargo,7,,,,7.5,LR,D5QB3,AUGLT,MIZUSHIMA,2026-08-01T23:56:37Z,,,11.0,15.5,12,20.5,67.0,1022.4,24135.3
9877872,vessel_9877872_20260828T042132Z.json,SDTR ERICA,538009641,Cargo,7,,,,12.5,MH,V7A4987,AU AMR>AU GLT,HUANGHUA,2026-08-03T04:28:41Z,GLADSTONE,2026-08-24T14:45:00Z,10.1,14.3,12,19.9,73.7,1022.7,24135.3
9885063,vessel_9885063_20260828T042125Z.json,BRILLIANT MERCURY,636020378,Cargo,7,,,,7.9,LR,D5YY2,AU GLT,FUKUYAMA,2026-08-01T00:12:37Z,,,,,10,21.4,62.5,1022.5,24135.3
9889306,vessel_9889306_20260828T042136Z.json,AZUL TIERRA,352393000,Cargo,7,,,,10.9,PA,H9PH,AU GLT,DALRYMPLE,2026-08-25T22:12:50Z,GLADSTONE,2026-08-26T21:00:00Z,9.7,12.3,12,19.9,73.7,1022.7,24135.3
9894818,vessel_9894818_20260828T042134Z.json,DESERT NAMULI,538009407,Cargo,7,,,,6.8,MH,V7A4695,AU GLT,TIANJIN,2026-07-18T12:44:26Z,,,,,10,21.4,62.5,1022.5,24135.3
9906740,vessel_9906740_20260828T042130Z.json,TAHO CIRCULAR,636021216,Cargo,7,,,,7.4,LR,5LCV7,AUGLT,GLADSTONE,2026-06-26T20:27:15Z,,,11.1,15.5,12,19.9,73.7,1022.7,24135.3
9934204,vessel_9934204_20260828T042134Z.json,JOSCO LIUZHOU,477833200,Cargo,7,,,,7.1,HK,VRUS9,GLADSTONE,DONGJIAKOU,2026-07-30T06:24:37Z,,,,,10,21.4,62.5,1022.5,24135.3
9947768,vessel_9947768_20260828T042135Z.json,BBC URANUS,636093091,Cargo,7,,,,8.9,LR,5LFA7,GLADSTONE,THEVENARD,2026-08-17T17:40:00Z,,,,,10,21.4,62.5,1022.5,24135.3
9990703,vessel_9990703_20260828T042135Z.json,KARLA BULKER,563266600,Cargo,7,,,,6.3,SG,9V9536,AU GLT,HIGASHIHARIMA,2026-08-13T08:04:45Z,GLADSTONE,2026-08-26T05:00:00Z,12.4,15.8,10,21.4,62.5,1022.5,24135.3
