decision_id,imo,vessel_name,route_id,origin,destination,departure_date,estimated_eta,scenario,scenario_profit_usd,objective_mode
V9633159_R11_D20260830,9633159,MAIZURU KICHIJO,11,"Hay Point, Australia","Visakhapatnam, India",2026-08-30,2026-09-18 02:33:33.020025825+00:00,bear,878815.7326054362,robust
V9633159_R11_D20260830,9633159,MAIZURU KICHIJO,11,"Hay Point, Australia","Visakhapatnam, India",2026-08-30,2026-09-18 02:33:33.020025825+00:00,base,1354526.8611318655,robust
V9633159_R11_D20260830,9633159,MAIZURU KICHIJO,11,"Hay Point, Australia","Visakhapatnam, India",2026-08-30,2026-09-18 02:33:33.020025825+00:00,bull,2235996.7560524866,robust
V9465186_R4_D20260903,9465186,ES GLORY SEA,4,"Hay Point, Australia","Visakhapatnam, India",2026-09-03,2026-09-22 02:33:33.020025825+00:00,bear,621541.3949858759,robust
V9465186_R4_D20260903,9465186,ES GLORY SEA,4,"Hay Point, Australia","Visakhapatnam, India",2026-09-03,2026-09-22 02:33:33.020025825+00:00,base,1019533.1111318654,robust
V9465186_R4_D20260903,9465186,ES GLORY SEA,4,"Hay Point, Australia","Visakhapatnam, India",2026-09-03,2026-09-22 02:33:33.020025825+00:00,bull,1756992.664153426,robust
V9454905_R0_D20260904,9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",2026-09-04,2026-09-23 02:33:33.020025825+00:00,bear,1961629.7030262216,robust
V9454905_R0_D20260904,9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",2026-09-04,2026-09-23 02:33:33.020025825+00:00,base,2764445.611131865,robust
V9454905_R0_D20260904,9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",2026-09-04,2026-09-23 02:33:33.020025825+00:00,bull,4252024.967012267,robust
V9650767_R5_D20260905,9650767,RAGA,5,"Hay Point, Australia","Paradip, India",2026-09-05,2026-09-24 00:15:00.475562224+00:00,bear,500523.426299452,robust
V9650767_R5_D20260905,9650767,RAGA,5,"Hay Point, Australia","Paradip, India",2026-09-05,2026-09-24 00:15:00.475562224+00:00,base,860936.5254702837,robust
V9650767_R5_D20260905,9650767,RAGA,5,"Hay Point, Australia","Paradip, India",2026-09-05,2026-09-24 00:15:00.475562224+00:00,bull,1528764.7043868047,robust
V9587350_R10_D20260906,9587350,ANABELA,10,Indonesia,"Paradip, India",2026-09-06,2026-09-16 22:55:19.195249904+00:00,bear,483886.8554293813,robust
V9587350_R10_D20260906,9587350,ANABELA,10,Indonesia,"Paradip, India",2026-09-06,2026-09-16 22:55:19.195249904+00:00,base,753824.7506805515,robust
V9587350_R10_D20260906,9587350,ANABELA,10,Indonesia,"Paradip, India",2026-09-06,2026-09-16 22:55:19.195249904+00:00,bull,1254006.7180421222,robust
V9607136_R13_D20260907,9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2026-09-07,2026-09-22 15:09:31.159862762+00:00,bear,537820.2656598565,robust
V9607136_R13_D20260907,9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2026-09-07,2026-09-22 15:09:31.159862762+00:00,base,873658.4921460542,robust
V9607136_R13_D20260907,9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2026-09-07,2026-09-22 15:09:31.159862762+00:00,bull,1495950.611163971,robust
V9599078_R17_D20260907,9599078,POPEYE,17,"Queensland, Australia","Haldia, India",2026-09-07,2026-09-25 10:21:45.174865291+00:00,bear,475607.6485746149,robust
V9599078_R17_D20260907,9599078,POPEYE,17,"Queensland, Australia","Haldia, India",2026-09-07,2026-09-25 10:21:45.174865291+00:00,base,822355.7961181165,robust
V9599078_R17_D20260907,9599078,POPEYE,17,"Queensland, Australia","Haldia, India",2026-09-07,2026-09-25 10:21:45.174865291+00:00,bull,1464863.4753600769,robust
V9519779_R20_D20260907,9519779,MINERAL STONEHENGE,20,East Coast Australia,East Coast India,2026-09-07,2026-09-27 12:08:52.530079941+00:00,bear,1751061.700185706,robust
V9519779_R20_D20260907,9519779,MINERAL STONEHENGE,20,East Coast Australia,East Coast India,2026-09-07,2026-09-27 12:08:52.530079941+00:00,base,2505113.5672018854,robust
V9519779_R20_D20260907,9519779,MINERAL STONEHENGE,20,East Coast Australia,East Coast India,2026-09-07,2026-09-27 12:08:52.530079941+00:00,bull,3902335.494808152,robust
V9324502_R21_D20260907,9324502,WHITE ROSE,21,Indonesia,East Coast India,2026-09-07,2026-09-17 22:55:19.195249904+00:00,bear,1818320.7824231428,robust
V9324502_R21_D20260907,9324502,WHITE ROSE,21,Indonesia,East Coast India,2026-09-07,2026-09-17 22:55:19.195249904+00:00,base,2491374.7506805514,robust
V9324502_R21_D20260907,9324502,WHITE ROSE,21,Indonesia,East Coast India,2026-09-07,2026-09-17 22:55:19.195249904+00:00,bull,3738511.458441642,robust
V9603398_R22_D20260907,9603398,CAPE RAINBOW,22,Indonesia,West Coast India,2026-09-07,2026-09-22 15:25:14.169031453+00:00,bear,426538.176199725,robust
V9603398_R22_D20260907,9603398,CAPE RAINBOW,22,Indonesia,West Coast India,2026-09-07,2026-09-22 15:25:14.169031453+00:00,base,728875.230954404,robust
V9603398_R22_D20260907,9603398,CAPE RAINBOW,22,Indonesia,West Coast India,2026-09-07,2026-09-22 15:25:14.169031453+00:00,bull,1289091.2862540442,robust
V9290971_R6_D20260907,9290971,ORIENTAL ENTERPRISE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2026-09-07,2026-09-17 08:41:30.373981627+00:00,bear,278349.81671025034,robust
