contract_id,route_id,origin,destination,vessel_class,vessel_class_norm,cargo_type,base_rate,bear_rate,bull_rate,contract_volume_mt,kill_penalty_usd,kill_alternative_value_usd,decision,imo,vessel_name,departure_date,estimated_eta,vessel_dwt,assigned_vessel,assigned_vessel_imo,planned_start,planned_end,live_bunker_price_usd_per_mt,bunker_grade,bunker_reference
CONTRACT_000,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,PANAMAX,coking coal,47.0,36.09587900705407,67.20481298309544,69943.75,100000.0,0.0,SAIL,9290971,ORIENTAL ENTERPRISE,2026-09-04,2026-09-23 02:33:33.020025825+00:00,88125.0,ORIENTAL ENTERPRISE,9290971,2026-09-04,2026-09-23 02:33:33.020025825+00:00,770.5,VLSFO,Singapore
CONTRACT_001,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,SUPRAMAX,coal,19.35,14.86075018694673,27.668364494104186,51893.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_002,2,"Hay Point, Australia","Paradip, India",Panamax,PANAMAX,coking coal,13.8,10.59836447441162,19.73247700354717,69943.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_003,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,SUPRAMAX,coal,18.45,14.169552503832929,26.3814638199598,51893.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_004,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,PANAMAX,metallurgical coal,23.3,17.894340018390636,33.31642856396007,69943.75,100000.0,0.0,SAIL,9454905,EFESSOS WAVE,2026-09-06,2026-09-25 02:33:33.020025825+00:00,87332.0,EFESSOS WAVE,9454905,2026-09-06,2026-09-25 02:33:33.020025825+00:00,770.5,VLSFO,Singapore
CONTRACT_005,5,"Hay Point, Australia","Paradip, India",Panamax,PANAMAX,metallurgical coal,21.1,16.20474568189023,30.17067136049604,69943.75,100000.0,0.0,SAIL,9650767,RAGA,2026-09-03,2026-09-22 00:15:00.475562224+00:00,95666.0,RAGA,9650767,2026-09-03,2026-09-22 00:15:00.475562224+00:00,770.5,VLSFO,Singapore
CONTRACT_006,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,PANAMAX,thermal coal,11.8,9.062369623047616,16.87269772767077,69943.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_007,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,SUPRAMAX,coal,16.05,12.326358682196124,22.94972868890812,51893.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_008,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,PANAMAX,thermal coal,13.1,10.06076627643422,18.731554256990428,69943.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_009,9,"Richards Bay, South Africa","Paradip, India",Panamax,PANAMAX,thermal coal,18.6,14.284752117685228,26.595947265650533,69943.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_010,10,Indonesia,"Paradip, India",Supramax,SUPRAMAX,thermal coal,21.3,16.35834516702663,30.456649288083675,51893.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_011,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,PANAMAX,coal,27.85,21.388728305243745,39.82242641657889,69943.75,100000.0,0.0,SAIL,9633159,MAIZURU KICHIJO,2026-08-31,2026-09-19 02:33:33.020025825+00:00,91435.0,MAIZURU KICHIJO,9633159,2026-08-31,2026-09-19 02:33:33.020025825+00:00,770.5,VLSFO,Singapore
CONTRACT_013,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,SUPRAMAX,steam coal,26.5,20.35193178057304,37.89207540536232,51893.75,100000.0,0.0,SAIL,9607136,RTM DHAMBUL,2026-09-07,2026-09-22 15:09:31.159862762+00:00,70373.0,RTM DHAMBUL,9607136,2026-09-07,2026-09-22 15:09:31.159862762+00:00,770.5,VLSFO,Singapore
CONTRACT_014,14,"East Kalimantan, Indonesia","Paradip, India",Supramax,SUPRAMAX,thermal coal,15.0,11.519961385230022,21.44834456907301,51893.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_015,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,PANAMAX,coal,19.5,14.975949800799029,27.88284793979492,69943.75,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
CONTRACT_016,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,CAPE,coal,14.0,10.75196395954802,20.01845493113481,157937.5,100000.0,0.0,KILL,,,,,,,,,,770.5,VLSFO,Singapore
