report_date,target_5tc,status,evidence,source,target_date,target_next_5tc,days_to_target,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4,forecast_horizon
2019-07-01,19360.0,GOOD_EXPLICIT,"The C5TC opened the week at $17,947 to close Friday at $19,360.",https://www.drycargomag.com/dry-bulk-week-26-the-baltic-briefing,2019-07-22,32765.0,21.0,17947.0,14203.0,15007.0,12243.0,14850.0,2368.622384425175,21d
2019-07-29,27145.0,GOOD_EXPLICIT,"The 5TC opened the week at $32,765 and closed on Friday at $27,145.",https://www.drycargomag.com/dry-bulk-week-30-the-baltic-briefing,2019-08-19,29624.0,21.0,32765.0,19360.0,17947.0,14203.0,21068.75,8095.388332254358,21d
2019-08-19,29624.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $24,022 to close at $29,624.",https://www.drycargomag.com/dry-bulk-week-33-the-baltic-briefing,2019-09-09,37921.0,21.0,27145.0,32765.0,19360.0,17947.0,24304.25,6940.5664214097105,21d
2019-12-16,18002.0,GOOD_EXPLICIT,"While downward momentum may have slowed a touch by Friday, the Capesize 5TC took a trouncing, losing $5,702 to settle at an almost six-month low of $18,002.",https://www.drycargomag.com/dry-bulk-week-50-the-baltic-briefing,2020-01-06,10825.0,21.0,23704.0,18930.0,23675.0,31470.0,24444.75,5193.195251159605,21d
2020-03-30,3675.0,GOOD_EXPLICIT,"The Cape 5TC closed out the week at $3,675, down -392.",https://www.drycargomag.com/dry-bulk-week-13,2020-04-20,9875.0,21.0,4067.0,2797.0,2542.0,2787.0,3048.25,689.3278731247333,21d
2020-10-19,19952.0,GOOD_EXPLICIT,"Opening at $29,479, the Capesize 5TC has closed the week at $19,952, a drop of almost -30%.",https://www.drycargomag.com/dry-bulk-week-42,2020-11-09,14421.0,21.0,15761.0,8381.0,9875.0,3675.0,9423.0,4983.29930869098,21d
2021-01-11,16633.0,GOOD_EXPLICIT,"The Capesize 5TC ended 2020 at $16,633 and now closes out its opening week of 2021 at a resounding $21,131.",https://www.drycargomag.com/dry-bulk-week-1-2021,2021-02-01,15675.0,21.0,14421.0,19952.0,15761.0,8381.0,14628.75,4785.273268058994,21d
2021-04-26,34762.0,GOOD_EXPLICIT,"The 5TC rose $6,242 to settle at the end of the week at $34,762.",https://www.drycargomag.com/dry-bulk-week-16-2021,2021-05-17,34542.0,21.0,19014.0,19437.0,14794.0,11934.0,16294.75,3584.0594651874862,21d
2021-05-17,34542.0,GOOD_EXPLICIT,"Dry Bulk: Week 19 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 19 17 May 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize As the week progressed it became clear that the Capesize market wasn’t having a small retracement but was in for a more significant downturn as the 5TC dropped $6,972 week-on-week to settle at $34,542.",https://www.drycargomag.com/dry-bulk-week-19,2021-06-07,20933.0,21.0,34762.0,19014.0,19437.0,14794.0,22001.75,8761.282873148964,21d
2021-08-16,39526.0,GOOD_EXPLICIT,"By the end of the week both 5TC and BCI reached a new high since mid-May, at 4,766 and $39,526 respectively.",https://www.drycargomag.com/dry-bulk-week-32-2021,2021-09-06,46647.0,21.0,35713.0,32469.0,28572.0,27752.0,31126.5,3685.603026190785,21d
2021-09-06,46647.0,GOOD_EXPLICIT,"Dry Bulk: Week 35 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 35 06 September 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market crested over the past week as the 5TC retracted $4452 since last Friday to close out at $46,647.",https://www.drycargomag.com/dry-bulk-week-35-2021,2021-09-27,61309.0,21.0,39526.0,35713.0,32469.0,28572.0,34070.0,4663.996497997543,21d
2021-11-22,29938.0,GOOD_EXPLICIT,"Dry Bulk: Week 46 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 46 22 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market closed out a generally underwhelming week with positive sentiment and an uptick in the final days with the 5TC lifting +2905 to settle at $29,938.",https://www.drycargomag.com/dry-bulk-week-46-2021,2021-12-13,40035.0,21.0,27199.0,61309.0,46647.0,39526.0,43670.25,14241.528789073174,21d
2023-03-13,14466.0,GOOD_EXPLICIT,"Subsequently, the time charter average for the 5TC rose over $4,000 compared with last Friday and finished proceedings at $14,466.",https://www.drycargomag.com/dry-bulk-shipping-report-1023,2023-04-03,13806.0,21.0,5271.0,17965.0,37538.0,32733.0,23376.75,14664.98820035893,21d
