report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category,target_date,target_next_5tc,days_to_target,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4
2019-06-10,15007.0,GOOD_EXPLICIT,"The Cape 5TC opened the week at $12,987 and closed out Friday at $15,007.",https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2019-06-17,14203.0,7.0,12243.0,11621.0,5737.0,4881.0,8620.5,3848.113780369113
2019-06-17,14203.0,GOOD_EXPLICIT,"The 5TC average closed Friday at $14,203.",https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,2019-06-24,17947.0,7.0,15007.0,12243.0,11621.0,5737.0,11152.0,3898.4395168665455
2019-06-24,17947.0,GOOD_EXPLICIT,"The C5TC market opened Monday at $14,203 and closed Friday at $17,947.",https://www.drycargomag.com/dry-bulk-week-25-the-baltic-briefing,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,2019-07-01,19360.0,7.0,14203.0,15007.0,12243.0,11621.0,13268.5,1598.0799938259245
2019-07-22,32765.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $26,705 to close Friday at $32,765, an increase of more than 22%.",https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2019-07-29,27145.0,7.0,19360.0,17947.0,14203.0,15007.0,16629.25,2429.8041587749412
2019-12-09,23704.0,GOOD_EXPLICIT,"The Capesize 5TC closed the week down -$525 to settle at $23,704.",https://www.drycargomag.com/dry-bulk-week-49-the-baltic-briefing,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2019-12-16,18002.0,7.0,18930.0,23675.0,31470.0,37921.0,27999.0,8395.190329389005
2020-01-06,10825.0,GOOD_EXPLICIT,"A Pacific round voyage at week’s end was assessed at $6,200 and the 5TC average at $10,825 which, on 24 December 2019, were at $11,525 and $14,337 respectively.",https://www.drycargomag.com/dry-bulk-week-1,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT,2020-01-13,9438.0,7.0,18002.0,23704.0,18930.0,23675.0,21077.75,3039.515572696851
2020-02-17,2445.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,660 to close out at $2,445.",https://www.drycargomag.com/dry-bulk-week-7,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2020-02-24,2787.0,7.0,9438.0,10825.0,18002.0,23704.0,15492.25,6637.490709346919
2020-03-09,2542.0,GOOD_EXPLICIT,"The Capesize 5TC market closed out the week at $2,542.",https://www.drycargomag.com/dry-bulk-week-10,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2020-03-16,2797.0,7.0,2787.0,2445.0,9438.0,10825.0,6373.75,4378.093449208229
2020-03-16,2797.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $2,542 to close at $2,797.",https://www.drycargomag.com/dry-bulk-week-11,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2020-03-23,4067.0,7.0,2542.0,2787.0,2445.0,9438.0,4303.0,3426.3569574695516
2020-03-23,4067.0,GOOD_EXPLICIT,"With the market in a constant state of flux on a seemingly endless news cycle, increasing restrictions and disruptions, the Cape 5TC managed a lift out of its recent range to settle the week at $4,067, a lift of +$1,270 for the week.",https://www.drycargomag.com/dry-bulk-week-12,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2020-03-30,3675.0,7.0,2797.0,2542.0,2787.0,2445.0,2642.75,176.87731152789212
2020-04-20,9875.0,GOOD_EXPLICIT,"The Capesize 5TC opened the shortened week at $6,762 to close out at $9,875.",https://www.drycargomag.com/dry-bulk-week-16,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2020-04-27,8381.0,7.0,3675.0,4067.0,2797.0,2542.0,3270.25,719.4782252901531
2021-02-15,10304.0,GOOD_EXPLICIT,"The Capesize 5TC registered a token drop of eight to settle at $10,304 as minimal trading was heard.",https://www.drycargomag.com/dry-bulk-week-6-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2021-02-22,14224.0,7.0,15675.0,16633.0,14421.0,19952.0,16670.25,2367.9047524481794
2021-02-22,14224.0,GOOD_EXPLICIT,"From last Friday at $10,304, the Capesize 5TC reached a high on Wednesday of $15,856 before retreating to close the week out at $14,224.",https://www.drycargomag.com/dry-bulk-week-7-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2021-03-01,11934.0,7.0,10304.0,15675.0,16633.0,14421.0,14258.25,2787.4240647355177
2021-03-01,11934.0,GOOD_EXPLICIT,"Dry Bulk: Week 8 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 8 01 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market took on a mild downward slide during this week with the 5TC opening at $14,224 to close out at $11,934.",https://www.drycargomag.com/dry-bulk-week-8-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC,2021-03-08,14794.0,7.0,14224.0,10304.0,15675.0,16633.0,14209.0,2785.3295436387193
