date,vlsfo_usd_per_mt,mgo_usd_per_mt,notes
2019-01-04,462.98,589.90,approximate real
2019-01-11,460.96,570.10,approximate real
2019-01-18,467.46,580.92,approximate real
2019-01-25,474.50,588.61,approximate real
2019-02-01,465.74,591.80,approximate real
2019-02-08,467.52,590.69,approximate real
2019-02-15,480.19,602.13,approximate real
2019-02-22,477.10,591.46,approximate real
2019-03-01,471.47,601.72,approximate real
2019-03-08,479.33,606.68,approximate real
2019-03-15,475.08,612.69,approximate real
2019-03-22,476.85,617.12,approximate real
2019-03-29,482.88,605.29,approximate real
2019-04-05,471.73,604.87,approximate real
2019-04-12,474.65,630.22,approximate real
2019-04-19,483.55,621.50,approximate real
2019-04-26,482.77,611.70,approximate real
2019-05-03,492.65,628.95,approximate real
2019-05-10,487.24,616.31,approximate real
2019-05-17,486.14,623.67,approximate real
2019-05-24,505.33,613.62,approximate real
2019-05-31,497.11,628.41,approximate real
2019-06-07,500.79,624.81,approximate real
2019-06-14,493.76,607.62,approximate real
2019-06-21,500.96,616.23,approximate real
2019-06-28,506.82,612.47,approximate real
2019-07-05,501.17,617.10,approximate real
2019-07-12,512.25,597.28,approximate real
2019-07-19,508.70,611.26,approximate real
2019-07-26,512.87,615.01,approximate real
2019-08-02,513.31,593.24,approximate real
2019-08-09,530.34,598.61,approximate real
2019-08-16,521.46,592.53,approximate real
2019-08-23,517.50,607.46,approximate real
2019-08-30,531.09,616.12,approximate real
2019-09-06,521.14,623.17,approximate real
2019-09-13,532.02,612.52,approximate real
2019-09-20,521.32,625.72,approximate real
2019-09-27,527.42,602.42,approximate real
2019-10-04,538.87,600.60,approximate real
2019-10-11,544.43,614.56,approximate real
2019-10-18,549.92,624.18,approximate real
2019-10-25,557.08,626.96,approximate real
2019-11-01,564.86,616.79,approximate real
2019-11-08,566.68,638.73,approximate real
2019-11-15,580.13,635.12,approximate real
2019-11-22,590.57,657.02,approximate real
2019-11-29,608.56,660.71,approximate real
2019-12-06,613.17,656.37,approximate real
2019-12-13,609.42,665.89,approximate real
2019-12-20,644.44,679.03,approximate real
2019-12-27,662.69,704.50,approximate real
2020-01-03,683.44,730.14,approximate real
2020-01-10,713.67,732.11,approximate real
2020-01-17,682.19,712.03,approximate real
2020-01-24,647.59,671.76,approximate real
2020-01-31,602.96,637.66,approximate real
2020-02-07,572.14,611.14,approximate real
2020-02-14,541.99,571.72,approximate real
2020-02-21,493.85,529.57,approximate real
2020-02-28,433.12,478.42,approximate real
2020-03-06,382.89,457.72,approximate real
2020-03-13,325.36,396.28,approximate real
2020-03-20,272.82,344.40,approximate real
2020-03-27,270.88,333.71,approximate real
2020-04-03,260.14,313.10,approximate real
2020-04-10,237.57,294.23,approximate real
2020-04-17,230.02,282.91,approximate real
2020-04-24,212.17,266.06,approximate real
2020-05-01,219.88,269.51,approximate real
2020-05-08,239.67,282.89,approximate real
2020-05-15,260.48,299.05,approximate real
2020-05-22,264.79,296.58,approximate real
2020-05-29,288.14,316.63,approximate real
2020-06-05,276.78,353.43,approximate real
2020-06-12,311.18,369.41,approximate real
2020-06-19,320.52,368.01,approximate real
2020-06-26,319.36,375.38,approximate real
2020-07-03,322.86,374.03,approximate real
2020-07-10,311.54,396.94,approximate real
2020-07-17,323.30,382.03,approximate real
2020-07-24,327.91,372.82,approximate real
2020-07-31,335.79,366.97,approximate real
2020-08-07,324.97,362.53,approximate real
2020-08-14,324.38,377.78,approximate real
2020-08-21,327.37,370.87,approximate real
2020-08-28,337.03,366.31,approximate real
2020-09-04,334.66,373.29,approximate real
2020-09-11,330.67,370.58,approximate real
2020-09-18,338.08,393.50,approximate real
2020-09-25,340.58,392.05,approximate real
2020-10-02,350.81,389.94,approximate real
2020-10-09,345.79,406.84,approximate real
2020-10-16,353.03,400.62,approximate real
2020-10-23,357.65,398.11,approximate real
2020-10-30,356.22,422.18,approximate real
2020-11-06,371.78,419.31,approximate real
2020-11-13,376.57,411.70,approximate real
2020-11-20,380.03,423.48,approximate real
2020-11-27,383.59,423.00,approximate real
2020-12-04,381.51,423.94,approximate real
2020-12-11,392.48,447.41,approximate real
2020-12-18,397.94,460.28,approximate real
2020-12-25,404.35,443.39,approximate real
2021-01-01,417.37,468.67,approximate real
2021-01-08,429.92,468.54,approximate real
2021-01-15,447.98,479.44,approximate real
2021-01-22,446.88,488.18,approximate real
2021-01-29,456.55,495.59,approximate real
2021-02-05,463.72,512.47,approximate real
2021-02-12,461.82,515.02,approximate real
2021-02-19,482.34,533.41,approximate real
2021-02-26,492.03,540.43,approximate real
2021-03-05,515.61,548.51,approximate real
2021-03-12,508.85,552.74,approximate real
2021-03-19,513.59,558.96,approximate real
2021-03-26,513.36,573.19,approximate real
2021-04-02,508.35,574.72,approximate real
2021-04-09,524.00,566.47,approximate real
2021-04-16,523.44,578.65,approximate real
2021-04-23,525.46,587.44,approximate real
2021-04-30,517.04,571.64,approximate real
2021-05-07,532.70,592.92,approximate real
2021-05-14,517.66,586.84,approximate real
2021-05-21,531.38,600.28,approximate real
2021-05-28,542.79,593.18,approximate real
2021-06-04,525.49,588.42,approximate real
2021-06-11,529.82,593.41,approximate real
2021-06-18,535.60,610.38,approximate real
2021-06-25,533.23,612.70,approximate real
2021-07-02,528.20,604.02,approximate real
2021-07-09,539.16,616.98,approximate real
2021-07-16,533.63,599.21,approximate real
2021-07-23,544.09,612.60,approximate real
2021-07-30,536.98,604.06,approximate real
2021-08-06,553.05,609.16,approximate real
2021-08-13,540.30,615.38,approximate real
2021-08-20,552.07,619.62,approximate real
2021-08-27,567.88,634.92,approximate real
2021-09-03,564.61,657.55,approximate real
2021-09-10,582.36,656.38,approximate real
2021-09-17,597.84,679.19,approximate real
2021-09-24,589.36,674.96,approximate real
2021-10-01,609.11,699.74,approximate real
2021-10-08,618.56,718.53,approximate real
2021-10-15,630.69,698.73,approximate real
2021-10-22,627.58,723.62,approximate real
2021-10-29,622.70,729.62,approximate real
2021-11-05,629.38,718.38,approximate real
2021-11-12,623.66,717.97,approximate real
2021-11-19,619.00,705.17,approximate real
2021-11-26,615.20,705.69,approximate real
2021-12-03,604.67,698.75,approximate real
2021-12-10,605.77,704.34,approximate real
2021-12-17,601.76,692.04,approximate real
2021-12-24,613.71,711.70,approximate real
2021-12-31,647.19,724.70,approximate real
2022-01-07,656.84,743.10,approximate real
2022-01-14,664.85,762.54,approximate real
2022-01-21,693.94,788.16,approximate real
2022-01-28,731.29,843.77,approximate real
2022-02-04,789.01,911.60,approximate real
2022-02-11,838.38,988.03,approximate real
2022-02-18,873.65,1040.54,approximate real
2022-02-25,931.49,1093.11,approximate real
2022-03-04,975.33,1167.47,approximate real
2022-03-11,1024.93,1216.74,approximate real
2022-03-18,1005.38,1187.70,approximate real
2022-03-25,966.53,1179.94,approximate real
2022-04-01,937.48,1157.03,approximate real
2022-04-08,910.66,1153.19,approximate real
2022-04-15,885.11,1140.15,approximate real
2022-04-22,913.29,1180.91,approximate real
2022-04-29,939.55,1197.62,approximate real
2022-05-06,962.91,1220.75,approximate real
2022-05-13,989.96,1256.64,approximate real
2022-05-20,1008.83,1259.81,approximate real
2022-05-27,1041.22,1306.88,approximate real
2022-06-03,1054.66,1338.67,approximate real
2022-06-10,1096.32,1348.17,approximate real
2022-06-17,1048.75,1327.48,approximate real
2022-06-24,1004.86,1279.37,approximate real
2022-07-01,968.57,1231.68,approximate real
2022-07-08,942.89,1198.40,approximate real
2022-07-15,903.66,1169.83,approximate real
2022-07-22,874.28,1111.45,approximate real
2022-07-29,854.09,1096.99,approximate real
2022-08-05,832.06,1076.33,approximate real
2022-08-12,808.67,1058.20,approximate real
2022-08-19,785.91,1056.64,approximate real
2022-08-26,773.57,1028.15,approximate real
2022-09-02,762.64,1020.57,approximate real
2022-09-09,740.03,1001.18,approximate real
2022-09-16,712.53,993.83,approximate real
2022-09-23,714.12,987.28,approximate real
2022-09-30,708.47,987.53,approximate real
2022-10-07,693.93,969.77,approximate real
2022-10-14,693.23,966.30,approximate real
2022-10-21,685.73,955.25,approximate real
2022-10-28,671.60,954.14,approximate real
2022-11-04,673.69,955.33,approximate real
2022-11-11,667.98,952.98,approximate real
2022-11-18,664.19,934.16,approximate real
2022-11-25,657.09,943.11,approximate real
2022-12-02,635.58,941.61,approximate real
2022-12-09,631.30,928.69,approximate real
2022-12-16,633.09,935.01,approximate real
2022-12-23,635.30,909.37,approximate real
2022-12-30,637.53,901.15,approximate real
2023-01-06,659.78,892.44,approximate real
2023-01-13,642.31,914.19,approximate real
2023-01-20,647.92,903.01,approximate real
2023-01-27,649.06,892.89,approximate real
2023-02-03,649.46,891.13,approximate real
2023-02-10,645.89,875.44,approximate real
2023-02-17,654.55,899.57,approximate real
2023-02-24,638.70,868.53,approximate real
2023-03-03,635.25,855.88,approximate real
2023-03-10,627.09,848.31,approximate real
2023-03-17,623.82,833.85,approximate real
2023-03-24,630.55,819.29,approximate real
2023-03-31,598.80,798.68,approximate real
2023-04-07,607.45,796.27,approximate real
2023-04-14,586.99,795.06,approximate real
2023-04-21,587.17,778.26,approximate real
2023-04-28,589.87,767.75,approximate real
2023-05-05,577.05,738.41,approximate real
2023-05-12,563.53,722.08,approximate real
2023-05-19,571.42,740.42,approximate real
2023-05-26,585.51,753.30,approximate real
2023-06-02,582.76,773.04,approximate real
2023-06-09,594.16,762.17,approximate real
2023-06-16,598.84,799.38,approximate real
2023-06-23,600.38,797.31,approximate real
2023-06-30,622.86,806.58,approximate real
2023-07-07,619.52,813.33,approximate real
2023-07-14,609.28,819.62,approximate real
2023-07-21,628.26,850.87,approximate real
2023-07-28,628.89,856.30,approximate real
2023-08-04,643.69,856.82,approximate real
2023-08-11,639.53,868.21,approximate real
2023-08-18,649.31,887.31,approximate real
2023-08-25,656.15,908.35,approximate real
2023-09-01,661.44,897.92,approximate real
2023-09-08,652.17,892.97,approximate real
2023-09-15,660.49,908.03,approximate real
2023-09-22,662.78,912.82,approximate real
2023-09-29,664.83,898.42,approximate real
2023-10-06,682.47,924.57,approximate real
2023-10-13,677.43,928.15,approximate real
2023-10-20,660.21,918.90,approximate real
2023-10-27,666.06,911.46,approximate real
2023-11-03,666.07,889.01,approximate real
2023-11-10,652.31,861.18,approximate real
2023-11-17,629.77,837.81,approximate real
2023-11-24,628.76,850.59,approximate real
2023-12-01,632.05,813.81,approximate real
2023-12-08,612.98,796.78,approximate real
2023-12-15,612.66,779.81,approximate real
2023-12-22,619.09,786.03,approximate real
2023-12-29,613.33,787.73,approximate real
2024-01-05,622.98,788.74,approximate real
2024-01-12,608.33,793.40,approximate real
