report_date,target_5tc,source,source_sentence
2019-04-08,4881.0,https://www.drycargomag.com/dry-bulk-week-14-the-baltic-briefing,"lk Week 14: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 14: The Baltic Briefing 08 April 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 14 Capesize The Capesize market over the past week looked to have found a floor on Tuesday with the BCI 5TC at $3460 before firming into the rest of the week, ending at $4881. Iron ore cargo trades from West Australia to China dominated early week business, while the Atlantic basin became active mid-week. A slim but constant trickle of business was heard out of Brazil heading to China, but details were hard to confirm. Thursday saw a flurry of North Atlantic fronthaul tenders by Korean and Japanese charterers. The North Atlantic tonnage situation is currently tight, with little activity. These tender fixtures gave an immediate lift to rates, lifting the bid offers in the Atlantic basin. Ending the week, holidays in the East made for a quiet market, while most eyes were fixed on tracking Cyclone Wallace’s arrival in what is hoped to be the last cyclone in the Pilbara region of West Australia for this season. Panamax Overall a relatively flat week, with a healthy volume of fixing. The Pacific has been heavily reliant on Indian coal demand for support. That has favoured the Kamsarmaxes which have been fixing in the mid/high $8,000s from North China via Australia, with the Panamaxes having to discount to compete. Despite small flurries of activity both Indonesia and the North Pacific were s"
2019-04-15,5737.0,https://www.drycargomag.com/dry-bulk-week-15-the-baltic-briefing,"The Baltic Capesize Index (BCI) 5TC opened on Monday at $5,099, although by Friday’s close most gains were lost, and it finished up at $5,737, a modest gain of $638."
2019-05-13,11621.0,https://www.drycargomag.com/dry-bulk-week-19-the-baltic-briefing,"ivacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 19: The Baltic Briefing 13 May 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Dry Bulk Report – Week 19 Capesize The market continued its rollercoaster ride last week opening with negative sentiment, but turning around in dramatic fashion by the week’s end. The BCI 5TC reduced from $11,182 at the end of the previous week to a low of $9,898 on Tuesday, but rebounded to $11,621 by Friday. Reasonable cargo volumes were reported out of West Australia to China with rates for C5 lingering around $6.50-$6.75, whilst time charter rates in the Pacific lifted from low to mid-teens level by Friday. In the Atlantic Basin sentiment was given a much needed boost mid-week, with an influx of fronthaul cargoes fixing at stronger levels. Early in the week it was heard that the Vale Brucutu mine had been ordered to close once again on the authority of a Brazilian high court ruling. The saga continues with no clear resolution date in sight. Closing Singapore iron ore week saw improved sentiment, with rates on an upward tangent. Panamax Last week appeared to be one of consolidation. The Atlantic in general was flat with South American front haul remaining around $15,500 plus $550,000 ballast bonus for modern Kamsarmaxes for May dates, whilst the North Continent tonnage supply appeared to tighten, although this hadn’t yet had much influence on rates. Tonnage open in the Mediterranean had fewer options as the Black Sea market remained quiet, but several modern Kamsarm"
2019-05-27,12243.0,https://www.drycargomag.com/dry-bulk-market-capesize-market-in-full-swing,"The Capesize 5TC closed on Friday at $12,243, a gain of $334 from the previous week."
2019-06-10,15007.0,https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing,"The Cape 5TC opened the week at $12,987 and closed out Friday at $15,007."
2019-06-17,14203.0,https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing,"s Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 24: The Baltic Briefing 17 June 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 24 Capesize The market closed on a quiet Friday last week after a few hectic days of mid-week trading. Trade routes from Brazil to the Far East were especially busy, marking possibly the highest volume of trading out of the region this year. While Vale was heard to be present in the Brazilian trade from early on, many other traders, operators, owners and charterers were active at week’s end, pushing rates up on closing. The 5TC average opened the week at $15,007 and largely softened throughout. This was until Thursday, when the market was thought to have found a floor. Solid activity Thursday in European hours had paper markets rallying, with C3 pushing from $16.85 to $17.14. The 5TC average closed Friday at $14,203. The Pacific market saw declines throughout the week, with C5 opening at $7.732, reaching a low of $7.123, and closing out at $7.314. Constant period activity was seen this week, with rates reaching levels at mid to high teens. Panamax The week began with another holiday in most of Europe, a lack of transatlantic enquiry lead to rumours of some very poor voyage fixtures being concluded. Most owners turned their attention to the fronthaul market. However, by the end of the week, prompt tonnage had begun achieving better numbers within the Atlantic and the fronthaul appeared softer. South American activity continued and rates were generally steady, if a little off. With a full week for the Asian market, trade volume increased. The South was especially busy with Indonesian coal, meaning few wanted to ballast. However, as the week ended, the oversupply of tonnage saw charterers begin to cover bel"
2019-06-24,17947.0,https://www.drycargomag.com/dry-bulk-week-25-the-baltic-briefing,"tic basin has encountered growing demand from Brazil to China which is primarily serviced by the ballaster fleet. Those vessels in the Atlantic already have been steadily picked off for longer north Atlantic fronthauls, exacerbating the fundamentals situation. The addition of a small uptick in transatlantic business has ignited the market. Meanwhile the Pacific reached heights earlier in the week on West Australia to China C5 route of $8.00, closing the week trading last at $7.40 and looks to be steady there. With a charging Atlantic market those vessels looking to make a choice on their next business will increasingly favour the West which will likely trigger a response from the East. The C5TC market opened Monday at $14,203 and closed Friday at $17,947. Panamax Rates everywhere slipped throughout last week. Initially transatlantic rates held firm due to limited available tonnage, however enquiry was also thin and the recently active North coast South American front haul market had slowed, giving north Atlantic tonnage fewer options. The South American market was hit much harder with pressure on first half June positions seeing rates tumble to around $14,500 plus $450,000 ballast bonus for modern Kamsarmaxes. This compares to around $15,500 plus $550,000 ballast bonus the previous week, as the dwindling cargo volume took effect. In the East the Indonesian market was very busy to various destinations. However, there was limited support from Australasia or NoPac, meaning a steady decline in levels fixed with brokers commenting on a wide bid/offer spread all week apart from prompt positions. There were few period discussions, although a Panamax in North China agreed $11,250 for four to six months with a Japanese charterer. Supramax The BSI has been climbing since last Thursday and gradually back to the level last seen in early June. The Mediterranean market showed signs of"
2019-07-01,19360.0,https://www.drycargomag.com/dry-bulk-week-26-the-baltic-briefing,"active West Australian market. Charterers were usually able to achieve lower than last done, albeit with minimal trade volumes heard. Several trades on Asian vessels for Brazil rounds were heard at healthy levels, which highlighted the options owners now have to choose from. Further west, Brazil to China voyage rates initially maintained their level before being seen to soften towards the end of the week. The North Atlantic was an animal of its own, as consecutively higher fronthaul fixtures were heard throughout the week. Many of these stemmed from the Black Sea, which, while at a higher headline rate, were largely viewed lower on the case of being a shorter duration back to the East. The C5TC opened the week at $17,947 to close Friday at $19,360. The West Australian C5 market opened the week at $7.45 to close the week out at $7.205. Panamax It was a strong week in the Atlantic with sources commenting they had rarely seen so few available ships on early positions. The index increased over $2,500 during the week for transatlantic rounds, with a modern Kamsarmax agreeing $12,500 for a round, admittedly from a good delivery in Aughinish, via the US East Coast to Jorf Lasfar. Fronthaul rates also increased by over $1,500 on the week before, with a modern Kamsarmax fixed at $19,000 delivery Gibraltar for a long trip via the US Gulf and the Cape of Good Hope to the East. Several vessels were also fixed basis delivery dropping outward pilot station (DOP) India for trips via South America, again, with a Panamax/Kamsarmax fixed at $12,000/$13,000 respectively. There was less excitement in the East, but rates also rose with the improved market sentiment. A newbuilding Kamsarmax ex-yard was reported fixed for one year at $12,250. The same charterer was later linked to another modern Kamsarmax in direct continuation at $12,200. Supramax/Ultramax Positive sentiment remained across a"
2019-07-15,27389.0,https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing,"arket over the past week. Largely traded in European hours, ballaster tonnage was being secured for an ever-tightening window at the end of July. The C3 opened the week at $22.195 to close at $23.864. The lift in voyage rates across the indices on Friday was thought to have been substantially affected by the bunker market, which has been highly volatile this week, particularly in Asia, pushing vessel operating costs up. Trading activity on the West Australian C5 route was relatively mild, with sporadic trading from charterers. The route opened the week at $9.15 to close at $9.509. The Atlantic basin remains tight, although rumours for more competitive offers are being heard in trading. The C5TC continued its rise, closing out on Friday at $27,389 surpassing highs of 2018 while still looking stable and supported. Panamax Last Monday started very slowly with little appearing to trade anywhere. However, the market quickly continued its rapid rise as the Atlantic remained starved of early tonnage. In addition, Vale started taking multiple larger units to cover Brazilian iron ore stems to China. Talk of up to 10 vessels being taken in quick succession fanned the flames on an already bullish market, which then saw Panamaxes being taken for two laden legs with minimum durations at $20,000, redelivery in the Atlantic. The East rose steadily, but unspectacularly, until the end of the week. This was driven by Atlantic gains and the paper market, with tonnage in the South fixing South American rounds, or short period, at higher than last done. The North Pacific was subdued until the end of the week. An injection of fresh enquiry from the North Pacific and Australia then saw rates jump further, as charterers were forced to cover with no sign of the market easing in the short term. Supramax/Ultramax The Baltic Supramax Index (BSI) remained firmly in positive territory; this was cause"
2019-07-22,32765.0,https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing,"The Capesize 5TC opened the week at $26,705 to close Friday at $32,765, an increase of more than 22%."
