report_date,original_value,strict_5tc,status,pattern,source_sentence,source
2019-04-08,3460.0,4881.0,ACCEPT,"\bending\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","lk Week 14: The Baltic Briefing About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Week 14: The Baltic Briefing 08 April 2019 Dry Bulk | Trade & Commodities | Shipping & Transport Bulk report – Week 14 Capesize The Capesize market over the past week looked to have found a floor on Tuesday with the BCI 5TC at $3460 before firming into the rest of the week, ending at $4881.",https://www.drycargomag.com/dry-bulk-week-14-the-baltic-briefing
2019-04-15,5099.0,5737.0,ACCEPT,"\bfinished?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The Baltic Capesize Index (BCI) 5TC opened on Monday at $5,099, although by Friday’s close most gains were lost, and it finished up at $5,737, a modest gain of $638.",https://www.drycargomag.com/dry-bulk-week-15-the-baltic-briefing
2019-05-13,11182.0,11621.0,ACCEPT,"\bto\s+\$([0-9][0-9,]*(?:\.[0-9]+)?).{0,50}?\bby\s+Friday\b","The BCI 5TC reduced from $11,182 at the end of the previous week to a low of $9,898 on Tuesday, but rebounded to $11,621 by Friday.",https://www.drycargomag.com/dry-bulk-week-19-the-baltic-briefing
2019-05-20,11621.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-20-the-baltic-briefing
2019-05-27,12243.0,12243.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The Capesize 5TC closed on Friday at $12,243, a gain of $334 from the previous week.",https://www.drycargomag.com/dry-bulk-market-capesize-market-in-full-swing
2019-06-10,12987.0,15007.0,ACCEPT,"\bclosed\s+out\s+Friday\b.{0,60}?\$([0-9][0-9,]*(?:\.[0-9]+)?)","The Cape 5TC opened the week at $12,987 and closed out Friday at $15,007.",https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing
2019-06-17,15007.0,14203.0,ACCEPT,"\bclose(?:d)?\s+Friday\b.{0,60}?\$([0-9][0-9,]*(?:\.[0-9]+)?)","The 5TC average closed Friday at $14,203.",https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing
2019-06-24,14203.0,17947.0,ACCEPT,"\bclose(?:d)?\s+Friday\b.{0,60}?\$([0-9][0-9,]*(?:\.[0-9]+)?)","The C5TC market opened Monday at $14,203 and closed Friday at $17,947.",https://www.drycargomag.com/dry-bulk-week-25-the-baltic-briefing
2019-07-01,17947.0,19360.0,ACCEPT,explicit_to_close_settle_finish,"The C5TC opened the week at $17,947 to close Friday at $19,360.",https://www.drycargomag.com/dry-bulk-week-26-the-baltic-briefing
2019-07-15,27389.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing
2019-07-22,26705.0,32765.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC opened the week at $26,705 to close Friday at $32,765, an increase of more than 22%.",https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing
2019-07-29,32765.0,27145.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The 5TC opened the week at $32,765 and closed on Friday at $27,145.",https://www.drycargomag.com/dry-bulk-week-30-the-baltic-briefing
2019-08-05,25749.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing
2019-08-12,24022.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing
2019-08-19,24022.0,29624.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC opened the week at $24,022 to close at $29,624.",https://www.drycargomag.com/dry-bulk-week-33-the-baltic-briefing
2019-08-27,29624.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-34-the-baltic-briefing
2019-09-02,34583.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-35-the-baltic-briefing
2019-09-09,38014.0,37921.0,ACCEPT,explicit_to_close_settle_finish,"Fridays 5TC closed down $732 to settle at $37,921.",https://www.drycargomag.com/dry-bulk-week-36-the-baltic-briefing
2019-09-23,33996.0,31470.0,ACCEPT,explicit_to_close_settle_finish,"The 5TC opened the week at $33,996 to close at $31,470.",https://www.drycargomag.com/dry-bulk-week-38-the-baltic-briefing
2019-10-07,24916.0,23675.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC opened the week at $24,916, reached a low of $23,425 Thursday, before closing up Friday +$250 to settle at $23,675.",https://www.drycargomag.com/dry-bulk-week-40-the-baltic-briefing
2019-10-21,26382.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-42-the-baltic-briefing
2019-11-11,24637.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-45-the-baltic-briefing
2019-11-25,20970.0,18930.0,ACCEPT,explicit_to_close_settle_finish,"The 5TC average opened the week at $20,970 and closed out Friday up $580 to settle at $18,930, illustrating clearly the deteriorating condition of the market.",https://www.drycargomag.com/dry-bulk-week-47-the-baltic-briefing
2019-12-02,23865.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-48-the-baltic-brefing
2019-12-09,25202.0,23704.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC closed the week down -$525 to settle at $23,704.",https://www.drycargomag.com/dry-bulk-week-49-the-baltic-briefing
2019-12-16,5702.0,18002.0,ACCEPT,explicit_to_close_settle_finish,"While downward momentum may have slowed a touch by Friday, the Capesize 5TC took a trouncing, losing $5,702 to settle at an almost six-month low of $18,002.",https://www.drycargomag.com/dry-bulk-week-50-the-baltic-briefing
2019-12-23,14451.0,14451.0,ACCEPT,"\bsettle(?:d)?\s+(?:on|at)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The C5TC settled at $14,451 on Friday, with two days left to price for the year.",https://www.drycargomag.com/dry-bulk-week-51-the-baltic-briefing
2020-01-06,10825.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-1
2020-01-13,9020.0,9438.0,ACCEPT,explicit_to_close_settle_finish,"Opening the week at $10,825, the Capesize 5TC fell away to $9,020, before staging a small rally to close Friday at $9,438.",https://www.drycargomag.com/dry-bulk-week-2
2020-01-20,9438.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-3
2020-01-27,8352.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-4
2020-02-17,2660.0,2445.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC opened the week at $2,660 to close out at $2,445.",https://www.drycargomag.com/dry-bulk-week-7
2020-02-24,2445.0,,REVIEW_MULTI,explicit_to_close_settle_finish | explicit_to_close_settle_finish,"The Capesize 5TC opened the week at $2,445 to close out the week at $2,787. || The 5TC average duly climbed $1,170 to close at $7,087, an almost 20 per cent gain for the week.",https://www.drycargomag.com/dry-bulk-week-8
2020-03-02,2274.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-9
2020-03-09,2542.0,2542.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The Capesize 5TC market closed out the week at $2,542.",https://www.drycargomag.com/dry-bulk-week-10
2020-03-16,2542.0,2797.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC opened the week at $2,542 to close at $2,797.",https://www.drycargomag.com/dry-bulk-week-11
2020-03-23,4067.0,4067.0,ACCEPT,explicit_to_close_settle_finish,"With the market in a constant state of flux on a seemingly endless news cycle, increasing restrictions and disruptions, the Cape 5TC managed a lift out of its recent range to settle the week at $4,067, a lift of +$1,270 for the week.",https://www.drycargomag.com/dry-bulk-week-12
2020-03-30,3675.0,3675.0,ACCEPT,"\bclosed?\b.{0,60}?(?:at|on)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","The Cape 5TC closed out the week at $3,675, down -392.",https://www.drycargomag.com/dry-bulk-week-13
2020-04-06,5949.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-14
2020-04-20,6762.0,9875.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC opened the shortened week at $6,762 to close out at $9,875.",https://www.drycargomag.com/dry-bulk-week-16
2020-04-27,10081.0,8381.0,ACCEPT,"\bto\s+\$([0-9][0-9,]*(?:\.[0-9]+)?).{0,50}?\bby\s+Friday\b","The Capesize 5TC peaked early in the week at $10,081, before gains were gradually eroded down to $8,381 by Friday.",https://www.drycargomag.com/dry-bulk-week-17
2020-06-08,7307.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-23
2020-06-15,12410.0,12410.0,ACCEPT,"\bsettling\b.{0,40}?\$([0-9][0-9,]*(?:\.[0-9]+)?)","Earnings have lifted from sub operating cost levels under two weeks ago, to now having surged up to have the Capesize 5TC settling at $12,410.",https://www.drycargomag.com/dry-bulk-week-24
2020-06-29,29641.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-26
2020-07-20,25085.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-29
2020-07-27,25085.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-30
