report_date,capesize_5tc_usd_per_day,c5_usd_per_mt,source,validation_score,validation_status,validation_reason,source_context
2019-04-01,4035.0,,https://www.drycargomag.com/dry-bulk-week-13-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-04-08,3460.0,,https://www.drycargomag.com/dry-bulk-week-14-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-04-15,5099.0,,https://www.drycargomag.com/dry-bulk-week-15-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-05-13,11621.0,6.5,https://www.drycargomag.com/dry-bulk-week-19-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-05-20,11705.0,,https://www.drycargomag.com/dry-bulk-week-20-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-05-27,12243.0,6.5,https://www.drycargomag.com/dry-bulk-market-capesize-market-in-full-swing,0,UNVERIFIED,Could not find exact 5TC context,
2019-06-10,12987.0,7.223,https://www.drycargomag.com/dry-bulk-week-23-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-06-17,15007.0,7.732,https://www.drycargomag.com/dry-bulk-week-24-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-06-24,14203.0,8.0,https://www.drycargomag.com/dry-bulk-week-25-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-07-01,17947.0,17.0,https://www.drycargomag.com/dry-bulk-week-26-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-07-15,27389.0,9.15,https://www.drycargomag.com/dry-bulk-week-28-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-07-22,26705.0,9.277,https://www.drycargomag.com/dry-bulk-week-29-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-07-29,32765.0,10.9,https://www.drycargomag.com/dry-bulk-week-30-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-08-05,25749.0,,https://www.drycargomag.com/dry-bulk-week-31-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-08-12,24022.0,,https://www.drycargomag.com/dry-bulk-week-32-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
2019-08-19,24022.0,9.164,https://www.drycargomag.com/dry-bulk-week-33-the-baltic-briefing,0,UNVERIFIED,Could not find exact 5TC context,
