report_date,c5_usd_per_mt,source
2026-06-08,14.0,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-monday-08-06-2026
2026-06-10,12.3,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-wednesday-10-06-2026
2026-06-18,11.515,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-thursday-18-06-2026
2026-06-22,11.875,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-monday-22-06-2026
2026-07-06,12.77,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-monday-06-07-2026
2026-07-08,12.97,https://www.shipoffer.com/en/news/dry-bulk-fixture-report-for-wednesday-08-07-2026
2026-07-13,13.485,https://www.shipoffer.com/en/news/dry-bulk-fixture-report-for-monday-13-07-2026
2026-07-21,11.125,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-tuesday-21-07-2026
2026-07-21,11.0,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-tuesday-21-07-2026
2026-07-29,11.945,https://www.shipoffer.com/en/news/dry-bulk-fixture-report-for-wednesday-29-07-2026
2026-08-04,15.245,https://www.shipoffer.com/en/news/dry-bulk-fixture-report-for-tuesday-04-08-2026
2026-08-04,15.0,https://www.shipoffer.com/en/news/dry-bulk-fixture-report-for-tuesday-04-08-2026
2026-08-19,13.285,https://www.shipoffer.com/en/news/dry-bulk-fixtures-report-for-wednesday-19-08-2026
