imo,vessel_name,route_id,origin,destination,feasible_departure_dates,first_feasible_departure,last_feasible_departure,reposition_distance_nm,reposition_hours,estimated_total_voyage_days
9290971,ORIENTAL ENTERPRISE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,199.79561936411042,16.6496349470092,19.10663217622482
9290971,ORIENTAL ENTERPRISE,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2338.7624542698995,194.8968711891583,10.95508327835536
9290971,ORIENTAL ENTERPRISE,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,199.79561936411042,16.6496349470092,19.10663217622482
9290971,ORIENTAL ENTERPRISE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2439.9616509386024,203.33013757821686,15.631610646559757
9290971,ORIENTAL ENTERPRISE,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2536.19739405554,211.34978283796167,11.557633553074217
9290971,ORIENTAL ENTERPRISE,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,400.80756921829914,33.4006307681916,18.43177285723718
9290971,ORIENTAL ENTERPRISE,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,199.79561936411042,16.6496349470092,19.010422170859073
9290971,ORIENTAL ENTERPRISE,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,231.5123100750461,19.29269250625384,20.506163542591903
9290971,ORIENTAL ENTERPRISE,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2338.7624542698995,194.8968711891583,10.95508327835536
9290971,ORIENTAL ENTERPRISE,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2338.7624542698995,194.8968711891583,15.642525104530714
9290971,ORIENTAL ENTERPRISE,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2536.19739405554,211.34978283796167,16.245075379249574
9290971,ORIENTAL ENTERPRISE,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,199.79561936411042,16.6496349470092,19.10663217622482
9290971,ORIENTAL ENTERPRISE,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,199.79561936411042,16.6496349470092,19.010422170859073
9290971,ORIENTAL ENTERPRISE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",1,2026-09-07,2026-09-07,2472.8884289885823,206.07403574904853,10.362157106268844
9290971,ORIENTAL ENTERPRISE,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2536.19739405554,211.34978283796167,11.557633553074217
9290971,ORIENTAL ENTERPRISE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",1,2026-09-07,2026-09-07,2472.8884289885823,206.07403574904853,13.955617670560153
9324502,WHITE ROSE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,193.7471419824236,16.145595165201968,19.10663217622482
9324502,WHITE ROSE,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2331.6245514149614,194.30204595124678,10.95508327835536
9324502,WHITE ROSE,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,193.7471419824236,16.145595165201968,19.10663217622482
9324502,WHITE ROSE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2432.810714901545,202.73422624179543,15.631610646559757
9324502,WHITE ROSE,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2529.1358222191398,210.76131851826165,11.557633553074217
9324502,WHITE ROSE,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,393.4975647794035,32.79146373161696,18.43177285723718
9324502,WHITE ROSE,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,193.7471419824236,16.145595165201968,19.010422170859073
9324502,WHITE ROSE,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,235.7282908570943,19.64402423809119,20.506163542591903
9324502,WHITE ROSE,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2331.6245514149614,194.30204595124678,10.95508327835536
9324502,WHITE ROSE,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2331.6245514149614,194.30204595124678,15.642525104530714
9324502,WHITE ROSE,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2529.1358222191398,210.76131851826165,16.245075379249574
9324502,WHITE ROSE,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,193.7471419824236,16.145595165201968,19.10663217622482
9324502,WHITE ROSE,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,193.7471419824236,16.145595165201968,19.010422170859073
9324502,WHITE ROSE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2,2026-09-06,2026-09-07,2465.656149563569,205.4713457969641,10.362157106268844
9324502,WHITE ROSE,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2529.1358222191398,210.76131851826165,11.557633553074217
9324502,WHITE ROSE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2,2026-09-06,2026-09-07,2465.656149563569,205.4713457969641,13.955617670560153
9454905,EFESSOS WAVE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,200.78114079640898,16.73176173303408,19.10663217622482
9454905,EFESSOS WAVE,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2338.934288274634,194.91119068955285,10.95508327835536
9454905,EFESSOS WAVE,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,200.78114079640898,16.73176173303408,19.10663217622482
9454905,EFESSOS WAVE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2440.1146642029003,203.342888683575,15.631610646559757
9454905,EFESSOS WAVE,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2536.467624131243,211.37230201093692,11.557633553074217
9454905,EFESSOS WAVE,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,400.38765916573095,33.365638263810915,18.43177285723718
9454905,EFESSOS WAVE,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,200.78114079640898,16.73176173303408,19.010422170859073
9454905,EFESSOS WAVE,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,229.8425497238841,19.153545810323674,20.506163542591903
9454905,EFESSOS WAVE,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2338.934288274634,194.91119068955285,10.95508327835536
9454905,EFESSOS WAVE,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2338.934288274634,194.91119068955285,15.642525104530714
9454905,EFESSOS WAVE,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2536.467624131243,211.37230201093692,16.245075379249574
9454905,EFESSOS WAVE,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,200.78114079640898,16.73176173303408,19.10663217622482
9454905,EFESSOS WAVE,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,200.78114079640898,16.73176173303408,19.010422170859073
9454905,EFESSOS WAVE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",1,2026-09-07,2026-09-07,2472.901761372035,206.0751467810029,10.362157106268844
9454905,EFESSOS WAVE,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2536.467624131243,211.37230201093692,11.557633553074217
9454905,EFESSOS WAVE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",1,2026-09-07,2026-09-07,2472.901761372035,206.0751467810029,13.955617670560153
9465186,ES GLORY SEA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,191.65418072113022,15.971181726760852,19.10663217622482
9465186,ES GLORY SEA,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2330.146908827083,194.17890906892356,10.95508327835536
9465186,ES GLORY SEA,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,191.65418072113022,15.971181726760852,19.10663217622482
9465186,ES GLORY SEA,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2431.3490994497542,202.61242495414618,15.631610646559757
9465186,ES GLORY SEA,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2527.5757518594974,210.63131265495812,11.557633553074217
9465186,ES GLORY SEA,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,392.58052748519236,32.71504395709936,18.43177285723718
9465186,ES GLORY SEA,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,191.65418072113022,15.971181726760852,19.010422170859073
9465186,ES GLORY SEA,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,238.11418342575215,19.842848618812678,20.506163542591903
9465186,ES GLORY SEA,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2330.146908827083,194.17890906892356,10.95508327835536
9465186,ES GLORY SEA,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2330.146908827083,194.17890906892356,15.642525104530714
9465186,ES GLORY SEA,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2527.5757518594974,210.63131265495812,16.245075379249574
