metric,value
step51a_input_rows,2343
unique_contracts,24
complete_physical_candidates,781
capacity_excluded,0
exact_class_candidates,358
cross_class_review_candidates,423
production_candidate_rows,358
review_only_rows,423
production_contracts,16
production_vessels,6
production_routes,16
production_rows_missing_bear,0
production_rows_missing_base,0
production_rows_missing_bull,0
production_rows_missing_kill_value,0
api_calls_myshiptracking,0
myshiptracking_credits_consumed,0
api_calls_oilpriceapi,0
