contract_id,decision,imo,vessel_name,route_id,origin,destination,departure_date,estimated_eta,worst_incremental,base_incremental,expected_incremental
CONTRACT_000,SAIL,9650767,RAGA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",2026-08-30 00:00:00+00:00,2026-09-18 02:33:33.020025825+00:00,1974981.7484315038,2737656.8611318655,2954498.619593872
CONTRACT_002,KILL,9290971,ORIENTAL ENTERPRISE,2,"Hay Point, Australia","Paradip, India",2026-08-30 00:00:00+00:00,2026-09-18 00:15:00.475562224+00:00,194968.38067741133,418902.7754702836,482571.20667827694
CONTRACT_003,KILL,9607136,RTM DHAMBUL,3,"East Kalimantan, Indonesia","Navlakhi, India",2026-09-07 00:00:00+00:00,2026-09-23 05:52:54.512767164+00:00,286095.39330343134,508223.86555765127,571378.8416752577
CONTRACT_004,SAIL,9290971,ORIENTAL ENTERPRISE,4,"Hay Point, Australia","Visakhapatnam, India",2026-09-02 00:00:00+00:00,2026-09-21 02:33:33.020025825+00:00,701897.8557931754,1079989.9861318655,1187488.1344757963
CONTRACT_005,KILL,9290971,ORIENTAL ENTERPRISE,5,"Hay Point, Australia","Paradip, India",2026-08-30 00:00:00+00:00,2026-09-18 00:15:00.475562224+00:00,587099.7062579934,929492.1504702836,1026840.2590564186
CONTRACT_006,SAIL,9633159,MAIZURU KICHIJO,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2026-09-06 00:00:00+00:00,2026-09-16 08:41:30.373981627+00:00,391218.9685354062,582699.1032133696,637140.2255506393
CONTRACT_007,KILL,9607136,RTM DHAMBUL,7,"East Kalimantan, Indonesia","Paradip, India",2026-09-07 00:00:00+00:00,2026-09-18 13:22:59.538985611+00:00,355044.6736480141,548278.3852837989,603218.0799552127
CONTRACT_008,KILL,9290971,ORIENTAL ENTERPRISE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2026-09-07 00:00:00+00:00,2026-09-20 22:56:05.366736398+00:00,334866.2067456263,547441.6104982803,607880.4836015203
CONTRACT_010,KILL,9607136,RTM DHAMBUL,10,Indonesia,"Paradip, India",2026-09-06 00:00:00+00:00,2026-09-16 22:55:19.195249904+00:00,585438.1251919398,841879.1256805515,914789.7485155117
CONTRACT_011,SAIL,9599078,POPEYE,11,"Hay Point, Australia","Visakhapatnam, India",2026-09-02 00:00:00+00:00,2026-09-21 02:33:33.020025825+00:00,946308.4765317576,1398234.0486318655,1526724.3246566926
CONTRACT_013,SAIL,9607136,RTM DHAMBUL,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2026-09-07 00:00:00+00:00,2026-09-22 15:09:31.159862762+00:00,628464.0519841664,947510.3671460542,1038220.7664477652
CONTRACT_014,KILL,9607136,RTM DHAMBUL,14,"East Kalimantan, Indonesia","Paradip, India",2026-09-07 00:00:00+00:00,2026-09-18 13:22:59.538985611+00:00,313197.6939185794,493789.9477837989,545135.4568225032
CONTRACT_017,SAIL,9454905,EFESSOS WAVE,17,"Queensland, Australia","Haldia, India",2026-09-06 00:00:00+00:00,2026-09-24 10:21:45.174865291+00:00,564445.6809517898,893856.4211181164,987513.6061559618
CONTRACT_020,KILL,9290971,ORIENTAL ENTERPRISE,20,East Coast Australia,East Coast India,2026-08-30 00:00:00+00:00,2026-09-19 12:08:52.530079941+00:00,351940.2401849403,639160.4422018853,720822.1257077897
CONTRACT_021,KILL,9290971,ORIENTAL ENTERPRISE,21,Indonesia,East Coast India,2026-09-06 00:00:00+00:00,2026-09-16 22:55:19.195249904+00:00,338168.3940370609,519912.2506805515,571585.180356604
CONTRACT_022,KILL,9290971,ORIENTAL ENTERPRISE,22,Indonesia,West Coast India,2026-09-06 00:00:00+00:00,2026-09-21 15:25:14.169031453+00:00,262201.29721611354,470719.918454404,530005.3779488037
